,dollar_male,dollar_female,tuple,general_male,general_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.22315976,-0.52583206,"('unsociable', 'sociable')",1.0330696,0.8280387,-0.03270112,-0.12045264,0.2590696,0.0605847,-0.1984849
1,0.5099828,0.30044484,"('unfriendly', 'friendly')",-0.44635078,-0.60565764,1.6322263,1.5080713,0.5652861,0.4009528,-0.1643333
2,0.95642346,0.95563424,"('unlikable', 'likable')",0.7428181,0.7035716,0.5135758,0.57140553,0.7376058,0.7435371,0.0059313
3,-0.8276648,-0.76726544,"('repellent', 'pleasant')",-0.35826916,-0.21805684,0.6211865,0.72945285,-0.1882492,-0.0852898,0.1029594
4,0.23993059,0.31501275,"('disliked', 'liked')",-0.2512939,-0.2446496,-7.175459,-7.2473187,-2.3956075,-2.3923186,0.0032889
5,0.5601921,0.582485,"('distant', 'outgoing')",-0.7092445,-0.7995286,-0.026258606,-0.09060798,-0.058437,-0.1025505,-0.0441135
6,0.22199571,0.29731056,"('distant', 'open')",-1.3291,-1.3619186,-0.17549397,-0.21056601,-0.4275328,-0.425058,0.0024748
7,0.27806,0.22706708,"('insensitive', 'sensitive')",0.022702135,0.16251093,0.49685895,0.55745333,0.2658737,0.3156771,0.0498034
8,0.065843955,-0.030291717,"('unaffectionate', 'affectionate')",-0.9158721,-1.0098271,0.6337539,0.5633201,-0.0720914,-0.1589329,-0.0868415
9,1.3319411,1.2162898,"('unaffectionate', 'caring')",-0.10963999,-0.1432819,1.45124,1.4611979,0.8911804,0.8447352,-0.0464452
10,-0.70223695,-0.8506698,"('unsympathetic', 'sympathetic')",-0.28098762,-0.24113631,-0.3964523,-0.33561057,-0.4598923,-0.4758056,-0.0159133
11,0.3550876,0.35766968,"('unhelpful', 'helpful')",0.8474553,0.8708887,1.9658875,2.0537338,1.0561434,1.0940975,0.0379541
12,0.9365721,0.8959903,"('unsupportive', 'supportive')",0.6765789,0.7672531,-2.03343,-2.0154426,-0.140093,-0.1173997,0.0226933
