,mass_male,mass_female,tuple,average_male,average_female,female-male
0,-0.1557506,-0.3504715,"('unsociable', 'sociable')",-0.1557506,-0.3504715,-0.1947209
1,1.3539945,1.4002459,"('unfriendly', 'friendly')",1.3539945,1.4002459,0.0462514
2,0.67623395,0.8163999,"('unlikable', 'likable')",0.6762339,0.8163999,0.140166
3,0.6705285,0.979019,"('repellent', 'pleasant')",0.6705285,0.979019,0.3084905
4,-6.7531476,-6.633484,"('disliked', 'liked')",-6.7531476,-6.6334839,0.1196637
5,-0.14824885,-0.014962848,"('distant', 'outgoing')",-0.1482489,-0.0149628,0.1332861
6,-0.16774838,-0.026170097,"('distant', 'open')",-0.1677484,-0.0261701,0.1415783
7,1.0586132,1.1088507,"('insensitive', 'sensitive')",1.0586132,1.1088507,0.0502375
8,1.0127943,1.0320507,"('unaffectionate', 'affectionate')",1.0127943,1.0320507,0.0192564
9,1.6334108,1.6774331,"('unaffectionate', 'caring')",1.6334108,1.6774331,0.0440223
10,0.7976311,0.8726502,"('unsympathetic', 'sympathetic')",0.7976311,0.8726502,0.0750191
11,1.9190656,1.8387288,"('unhelpful', 'helpful')",1.9190656,1.8387288,-0.0803368
12,-0.9972897,-1.0502169,"('unsupportive', 'supportive')",-0.9972897,-1.0502169,-0.0529272
13,0.1448564,-0.038144886,"('impolite', 'polite')",0.1448564,-0.0381449,-0.1830013
14,0.13812052,0.052833088,"('antisocial', 'social')",0.1381205,0.0528331,-0.0852874
15,0.26015416,0.22032838,"('boring', 'funny')",0.2601542,0.2203284,-0.0398258
16,-0.5571059,-0.4827598,"('unpopular', 'popular')",-0.5571059,-0.4827598,0.0743461
17,0.0863461,0.15363511,"('nasty', 'nice')",0.0863461,0.1536351,0.067289
18,-0.7265248,-0.708575,"('disagreeable', 'welcoming')",-0.7265248,-0.708575,0.0179498
19,-0.121518254,0.0022142073,"('inhospitable', 'hospitable')",-0.1215183,0.0022142,0.1237325
20,0.73161197,0.6645372,"('rough', 'thoughtful')",0.731612,0.6645372,-0.0670748
21,0.32600296,0.4176384,"('immoral', 'moral')",0.326003,0.4176384,0.0916354
22,0.1321755,0.10213785,"('untrustworthy', 'trustworthy')",0.1321755,0.1021378,-0.0300377
23,6.3437343,6.373718,"('insincere', 'sincere')",6.3437343,6.3737178,0.0299835
24,2.268703,2.2974238,"('dishonest', 'honest')",2.268703,2.2974238,0.0287208
25,0.43521997,0.44863594,"('egoistic', 'altruistic')",0.43522,0.4486359,0.0134159
26,0.13191748,0.06365388,"('hardhearted', 'benevolent')",0.1319175,0.0636539,-0.0682636
27,1.1452272,1.1480933,"('hardhearted', 'softhearted')",1.1452272,1.1480933,0.0028661
28,1.1416863,1.164302,"('disloyal', 'loyal')",1.1416863,1.164302,0.0226157
29,0.081394605,-0.0060843565,"('unfair', 'fair')",0.0813946,-0.0060844,-0.087479
30,1.1208267,0.9236578,"('intolerant', 'tolerant')",1.1208267,0.9236578,-0.1971689
31,-1.1418328,-0.9719807,"('evil', 'good')",-1.1418328,-0.9719807,0.1698521
32,1.2323856,1.1730722,"('unkind', 'kind')",1.2323856,1.1730722,-0.0593134
33,-0.09814624,-0.1545815,"('wrong', 'right')",-0.0981462,-0.1545815,-0.0564353
34,4.4546304,4.552626,"('mean', 'honorable')",4.4546304,4.5526261,0.0979957
35,-0.56174254,-0.53343123,"('corrupt', 'incorrupt')",-0.5617425,-0.5334312,0.0283113
36,-0.18458603,-0.1999237,"('hostile', 'amicable')",-0.184586,-0.1999237,-0.0153377
37,0.72297674,0.74467623,"('fake', 'genuine')",0.7229767,0.7446762,0.0216995
38,0.6325246,0.49744904,"('untruthful', 'truthful')",0.6325246,0.497449,-0.1350756
39,0.14397606,0.07964583,"('exploitative', 'cooperative')",0.1439761,0.0796458,-0.0643303
40,-1.3684131,-1.3587443,"('stingy', 'generous')",-1.3684131,-1.3587443,0.0096688
41,0.42644882,0.21143754,"('unforgiving', 'forgiving')",0.4264488,0.2114375,-0.2150113
42,-1.9490513,-1.8911856,"('unreliable', 'reliable')",-1.9490513,-1.8911856,0.0578657
43,1.1438954,0.97890896,"('irresponsible', 'responsible')",1.1438954,0.978909,-0.1649864
44,-1.2762367,-1.4340142,"('prejudiced', 'unprejudiced')",-1.2762367,-1.4340142,-0.1577775
45,0.23785552,0.3035625,"('incompetent', 'competent')",0.2378555,0.3035625,0.065707
46,-0.93574655,-0.83866763,"('uncompetitive', 'competitive')",-0.9357466,-0.8386676,0.097079
47,5.318008,5.436813,"('stupid', 'smart')",5.3180079,5.4368129,0.118805
48,1.0658407,0.93104273,"('unintelligent', 'intelligent')",1.0658407,0.9310427,-0.134798
49,0.10547388,0.27762026,"('unable', 'able')",0.1054739,0.2776203,0.1721464
50,0.13042563,0.27848956,"('clumsy', 'skillful')",0.1304256,0.2784896,0.148064
51,0.6748297,0.7234959,"('uneducated', 'educated')",0.6748297,0.7234959,0.0486662
52,-0.29535672,-0.27822965,"('irrational', 'rational')",-0.2953567,-0.2782297,0.017127
53,0.2918052,0.40179333,"('uncreative', 'creative')",0.2918052,0.4017933,0.1099881
54,1.0176861,1.2484674,"('incapable', 'capable')",1.0176861,1.2484674,0.2307813
55,0.68283,0.67558277,"('incompetent', 'clever')",0.68283,0.6755828,-0.0072472
56,0.88002414,0.7850202,"('impractical', 'practical')",0.8800241,0.7850202,-0.0950039
57,-2.9680471,-2.8272994,"('unimaginative', 'imaginative')",-2.9680471,-2.8272994,0.1407477
58,-0.22727925,-0.26150274,"('undiscriminating', 'discriminating')",-0.2272792,-0.2615027,-0.0342235
59,0.4992067,0.5924791,"('foolish', 'wise')",0.4992067,0.5924791,0.0932724
60,0.47370577,0.38797763,"('inefficient', 'efficient')",0.4737058,0.3879776,-0.0857282
61,0.54607785,0.4015344,"('illogical', 'logical')",0.5460778,0.4015344,-0.1445434
62,1.3322352,1.408121,"('incompetent', 'brilliant')",1.3322352,1.408121,0.0758858
63,0.78561264,0.7981063,"('unperceptive', 'insightful')",0.7856126,0.7981063,0.0124937
64,-5.4818487,-5.51723,"('shy', 'confident')",-5.4818487,-5.51723,-0.0353813
65,0.70383894,0.68012565,"('insecure', 'secure')",0.7038389,0.6801257,-0.0237132
66,-0.19611052,-0.10597086,"('inactive', 'active')",-0.1961105,-0.1059709,0.0901396
67,-0.61272466,-0.775216,"('doubtful', 'determined')",-0.6127247,-0.775216,-0.1624913
68,-0.46230307,-0.43232188,"('dependent', 'independent')",-0.4623031,-0.4323219,0.0299812
69,-1.0237634,-1.0287856,"('lazy', 'industrious')",-1.0237634,-1.0287856,-0.0050222
70,1.1328437,1.20846,"('lethargic', 'energetic')",1.1328437,1.20846,0.0756163
71,0.3281312,0.4972744,"('diffident', 'self-confident')",0.3281312,0.4972744,0.1691432
72,0.7870949,0.77710426,"('unambitious', 'ambitious')",0.7870949,0.7771043,-0.0099906
73,-2.4729483,-2.4568796,"('helpless', 'self-reliant')",-2.4729483,-2.4568796,0.0160687
74,-0.10068769,-0.11253029,"('undedicated', 'dedicated')",-0.1006877,-0.1125303,-0.0118426
75,-0.63952565,-0.5105288,"('meek', 'impulsive')",-0.6395257,-0.5105288,0.1289969
76,0.30176663,0.2675366,"('anxious', 'daring')",0.3017666,0.2675366,-0.03423
77,-0.76738083,-0.7736444,"('unmotivated', 'motivated')",-0.7673808,-0.7736444,-0.0062636
78,-0.77440494,-0.6851236,"('nonresilient', 'resilient')",-0.7744049,-0.6851236,0.0892813
79,0.11025725,0.26941067,"('wavering', 'unwavering')",0.1102573,0.2694107,0.1591534
80,0.16567414,0.039591286,"('dominated', 'dominating')",0.1656741,0.0395913,-0.1260828
81,0.13816115,0.09520698,"('submissive', 'aggressive')",0.1381612,0.095207,-0.0429542
82,5.6214733,6.0214267,"('poor', 'rich')",5.6214733,6.0214267,0.3999534
83,-0.13132064,-0.27683446,"('powerless', 'powerful')",-0.1313206,-0.2768345,-0.1455139
84,0.10721406,-0.027944604,"('inferior', 'superior')",0.1072141,-0.0279446,-0.1351587
85,-1.047719,-1.0178808,"('insignificant', 'prestigious')",-1.047719,-1.0178808,0.0298382
86,0.37584212,0.40754497,"('uninfluential', 'influential')",0.3758421,0.407545,0.0317029
87,0.1176837,0.26794976,"('unsuccessful', 'successful')",0.1176837,0.2679498,0.1502661
88,-0.2788289,-0.06017124,"('low', 'eminent')",-0.2788289,-0.0601712,0.2186577
