,paddock_male,paddock_female,tuple,average_male,average_female,female-male
0,0.33127242,0.31519946,"('unsociable', 'sociable')",0.3312724,0.3151995,-0.0160729
1,-0.18738824,-0.2737262,"('unfriendly', 'friendly')",-0.1873882,-0.2737262,-0.086338
2,-0.23728672,-0.18475771,"('unlikable', 'likable')",-0.2372867,-0.1847577,0.052529
3,-0.7968852,-0.590539,"('repellent', 'pleasant')",-0.7968852,-0.590539,0.2063462
4,-1.4131659,-1.3936279,"('disliked', 'liked')",-1.4131659,-1.3936279,0.019538
5,-0.32887605,-0.28817126,"('distant', 'outgoing')",-0.328876,-0.2881713,0.0407047
6,-0.43746358,-0.41154817,"('distant', 'open')",-0.4374636,-0.4115482,0.0259154
7,0.3183072,0.3233052,"('insensitive', 'sensitive')",0.3183072,0.3233052,0.004998
8,-0.19744761,-0.32967365,"('unaffectionate', 'affectionate')",-0.1974476,-0.3296736,-0.132226
9,-0.031421468,-0.14244536,"('unaffectionate', 'caring')",-0.0314215,-0.1424454,-0.1110239
10,-0.6807087,-0.86741185,"('unsympathetic', 'sympathetic')",-0.6807087,-0.8674119,-0.1867032
11,0.032653525,-0.035221383,"('unhelpful', 'helpful')",0.0326535,-0.0352214,-0.0678749
12,-0.5841034,-0.56931084,"('unsupportive', 'supportive')",-0.5841034,-0.5693108,0.0147926
13,0.15594727,0.058448784,"('impolite', 'polite')",0.1559473,0.0584488,-0.0974985
14,0.33004394,0.38518006,"('antisocial', 'social')",0.3300439,0.3851801,0.0551362
15,0.71140844,0.7070396,"('boring', 'funny')",0.7114084,0.7070396,-0.0043688
16,0.014944708,0.11632866,"('unpopular', 'popular')",0.0149447,0.1163287,0.101384
17,-0.5280341,-0.47642648,"('nasty', 'nice')",-0.5280341,-0.4764265,0.0516076
18,-1.2651892,-1.0802903,"('disagreeable', 'welcoming')",-1.2651892,-1.0802903,0.1848989
19,-0.8799199,-0.9617326,"('inhospitable', 'hospitable')",-0.8799199,-0.9617326,-0.0818127
20,-1.0539454,-1.0812849,"('rough', 'thoughtful')",-1.0539454,-1.0812849,-0.0273395
21,-0.54024166,-0.3991449,"('immoral', 'moral')",-0.5402417,-0.3991449,0.1410968
22,-0.25725225,-0.30087438,"('untrustworthy', 'trustworthy')",-0.2572522,-0.3008744,-0.0436222
23,1.3490503,1.3798456,"('insincere', 'sincere')",1.3490503,1.3798456,0.0307953
24,-0.2136876,-0.22468823,"('dishonest', 'honest')",-0.2136876,-0.2246882,-0.0110006
25,0.23583566,0.4009645,"('egoistic', 'altruistic')",0.2358357,0.4009645,0.1651288
26,0.38352904,0.11221753,"('hardhearted', 'benevolent')",0.383529,0.1122175,-0.2713115
27,-0.28757718,-0.33401844,"('hardhearted', 'softhearted')",-0.2875772,-0.3340184,-0.0464412
28,0.15175675,-0.05673575,"('disloyal', 'loyal')",0.1517567,-0.0567358,-0.2084925
29,-0.1354752,-0.18143865,"('unfair', 'fair')",-0.1354752,-0.1814387,-0.0459635
30,-0.047880605,-0.01874926,"('intolerant', 'tolerant')",-0.0478806,-0.0187493,0.0291313
31,-0.76005065,-0.5604076,"('evil', 'good')",-0.7600507,-0.5604076,0.1996431
32,-0.4080622,-0.59085417,"('unkind', 'kind')",-0.4080622,-0.5908542,-0.182792
33,0.79041433,0.83783865,"('wrong', 'right')",0.7904143,0.8378386,0.0474243
34,0.8511379,1.0445857,"('mean', 'honorable')",0.8511379,1.0445857,0.1934478
35,0.011012804,-0.16983777,"('corrupt', 'incorrupt')",0.0110128,-0.1698378,-0.1808506
36,-0.669041,-0.72628665,"('hostile', 'amicable')",-0.669041,-0.7262866,-0.0572456
37,-0.12371512,-0.13447553,"('fake', 'genuine')",-0.1237151,-0.1344755,-0.0107604
38,0.28561914,0.1337037,"('untruthful', 'truthful')",0.2856191,0.1337037,-0.1519154
39,0.07803887,0.14844139,"('exploitative', 'cooperative')",0.0780389,0.1484414,0.0704025
40,-0.9880352,-0.8116682,"('stingy', 'generous')",-0.9880352,-0.8116682,0.176367
41,0.16610558,0.18586229,"('unforgiving', 'forgiving')",0.1661056,0.1858623,0.0197567
42,-1.2216758,-1.112513,"('unreliable', 'reliable')",-1.2216758,-1.1125129,0.1091629
43,-0.5403036,-0.6939563,"('irresponsible', 'responsible')",-0.5403036,-0.6939563,-0.1536527
44,-0.8989075,-0.9543009,"('prejudiced', 'unprejudiced')",-0.8989075,-0.9543009,-0.0553934
45,0.6482241,0.5355795,"('incompetent', 'competent')",0.6482241,0.5355795,-0.1126446
46,-0.04871492,-0.2584276,"('uncompetitive', 'competitive')",-0.0487149,-0.2584276,-0.2097127
47,1.5578345,1.557621,"('stupid', 'smart')",1.5578345,1.557621,-0.0002135
48,-0.36924842,-0.4292831,"('unintelligent', 'intelligent')",-0.3692484,-0.4292831,-0.0600347
49,-0.81334347,-0.7478529,"('unable', 'able')",-0.8133435,-0.7478529,0.0654906
50,-0.60707664,-0.58899355,"('clumsy', 'skillful')",-0.6070766,-0.5889935,0.0180831
51,-0.7477772,-0.7365494,"('uneducated', 'educated')",-0.7477772,-0.7365494,0.0112278
52,0.020342344,0.10003924,"('irrational', 'rational')",0.0203423,0.1000392,0.0796969
53,-0.72434807,-0.7891845,"('uncreative', 'creative')",-0.7243481,-0.7891845,-0.0648364
54,0.054584675,-0.04299227,"('incapable', 'capable')",0.0545847,-0.0429923,-0.097577
55,0.033716165,0.13748407,"('incompetent', 'clever')",0.0337162,0.1374841,0.1037679
56,0.13112958,0.15024842,"('impractical', 'practical')",0.1311296,0.1502484,0.0191188
57,-0.6146911,-0.8185548,"('unimaginative', 'imaginative')",-0.6146911,-0.8185548,-0.2038637
