,hospira_male,hospira_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.7815221,-0.77548933,"('unsociable', 'sociable')",-0.10847982,-0.18471809,-0.4450009,-0.4801037,-0.0351028
1,-1.5977424,-1.7073842,"('unfriendly', 'friendly')",1.9998454,1.8436558,0.2010515,0.0681358,-0.1329157
2,0.46233067,0.5076878,"('unlikable', 'likable')",0.5049161,0.57191205,0.4836234,0.5397999,0.0561765
3,-0.6102189,-0.475221,"('repellent', 'pleasant')",0.2110256,0.28064752,-0.1995966,-0.0972867,0.1023099
4,-0.14314476,-0.15370373,"('disliked', 'liked')",-6.688438,-6.836831,-3.4157913,-3.4952674,-0.0794761
5,-1.0095869,-1.0561874,"('distant', 'outgoing')",-0.05881302,-0.177334,-0.5342,-0.6167607,-0.0825607
6,-1.4082344,-1.4491109,"('distant', 'open')",0.33850965,0.18791226,-0.5348623,-0.6305993,-0.095737
7,-0.96204877,-0.85914946,"('insensitive', 'sensitive')",0.47003198,0.5334668,-0.2460084,-0.1628413,0.0831671
8,-0.7847091,-0.87326056,"('unaffectionate', 'affectionate')",1.0019476,0.871414,0.1086193,-0.0009233,-0.1095426
9,-1.567734,-1.6023483,"('unaffectionate', 'caring')",0.9353361,0.87668717,-0.3161989,-0.3628306,-0.0466317
10,-1.6153189,-1.4558294,"('unsympathetic', 'sympathetic')",-0.43679914,-0.42327082,-1.026059,-0.9395501,0.0865089
11,-0.78777754,-0.7079361,"('unhelpful', 'helpful')",1.3859215,1.5045291,0.299072,0.3982965,0.0992245
12,-0.9936106,-0.8388821,"('unsupportive', 'supportive')",-1.8062598,-1.8009852,-1.3999352,-1.3199337,0.0800015
13,-0.4519949,-0.41109353,"('impolite', 'polite')",-0.54403293,-0.50104344,-0.4980139,-0.4560685,0.0419454
14,0.48901036,0.5681014,"('antisocial', 'social')",-0.11394863,-0.09654606,0.1875309,0.2357777,0.0482468
15,0.08093211,-0.031210827,"('boring', 'funny')",0.5571566,0.51314294,0.3190444,0.2409661,-0.0780783
16,-0.5644475,-0.55009985,"('unpopular', 'popular')",0.33458,0.35712454,-0.1149338,-0.0964877,0.0184461
17,-0.53647846,-0.4703552,"('nasty', 'nice')",-0.20695007,-0.18816869,-0.3717143,-0.329262,0.0424523
18,-0.14070249,-0.0853951,"('disagreeable', 'welcoming')",-0.21035038,-0.293136,-0.1755264,-0.1892655,-0.0137391
19,-1.256464,-1.2523155,"('inhospitable', 'hospitable')",-0.23287857,-0.2445358,-0.7446713,-0.7484257,-0.0037544
20,0.12480377,0.14489798,"('rough', 'thoughtful')",1.3938326,1.3752506,0.7593182,0.7600743,0.0007561
21,-0.08829257,-0.024861675,"('immoral', 'moral')",-0.38039994,-0.27888954,-0.2343463,-0.1518756,0.0824707
22,0.27770373,0.352179,"('untrustworthy', 'trustworthy')",-0.69555235,-0.725141,-0.2089243,-0.186481,0.0224433
23,-1.0861217,-1.0642756,"('insincere', 'sincere')",5.582346,5.594328,2.2481122,2.2650261,0.0169139
24,-0.7482235,-0.7728234,"('dishonest', 'honest')",0.68983525,0.6334097,-0.0291941,-0.0697069,-0.0405128
25,-0.2174365,-0.31721005,"('egoistic', 'altruistic')",1.4374728,1.3465215,0.6100181,0.5146557,-0.0953624
26,0.20956972,0.14960463,"('hardhearted', 'benevolent')",1.8900824,1.8726556,1.049826,1.0111301,-0.0386959
27,0.15153605,0.17325684,"('hardhearted', 'softhearted')",1.6502736,1.5211138,0.9009048,0.8471853,-0.0537195
28,-0.93516946,-1.0203953,"('disloyal', 'loyal')",0.78141224,0.69634724,-0.0768786,-0.162024,-0.0851454
29,-0.3865654,-0.4661042,"('unfair', 'fair')",-0.30050105,-0.4765897,-0.3435332,-0.471347,-0.1278138
30,0.49525672,0.5506585,"('intolerant', 'tolerant')",1.5113019,1.4946907,1.0032793,1.0226746,0.0193953
31,-0.86586,-0.85171646,"('evil', 'good')",-0.8202482,-0.9363621,-0.8430541,-0.8940393,-0.0509852
32,-0.5178783,-0.5299257,"('unkind', 'kind')",0.659186,0.5511691,0.0706539,0.0106217,-0.0600322
33,0.06397453,-0.0010212027,"('wrong', 'right')",-0.39816013,-0.49293083,-0.1670928,-0.246976,-0.0798832
34,-0.28994608,-0.18064544,"('mean', 'honorable')",6.0033903,6.163504,2.8567221,2.9914293,0.1347072
35,0.66219294,0.4570135,"('corrupt', 'incorrupt')",-0.13306136,-0.33289889,0.2645658,0.0620573,-0.2025085
