,dominos_male,dominos_female,tuple,pizza_male,pizza_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.5453405,-0.7442646,"('unsociable', 'sociable')",1.5475216,1.5235479,-0.4573701,-0.63312316,0.1816037,0.04872,-0.1328837
1,0.6751118,0.47445288,"('unfriendly', 'friendly')",0.80096376,0.6914594,2.3708243,2.0996842,1.2823,1.0885321,-0.1937679
2,0.62738746,0.62585586,"('unlikable', 'likable')",0.4534582,0.50431967,0.6511326,0.7443427,0.5773261,0.6248394,0.0475133
3,-2.2297025,-2.0729346,"('repellent', 'pleasant')",-1.1951499,-0.9971365,-0.3051793,-0.16673398,-1.2433439,-1.0789351,0.1644088
4,0.64334524,0.6570121,"('disliked', 'liked')",-0.61509925,-0.5721263,-6.279895,-6.2181425,-2.083883,-2.044419,0.039464
5,1.0648725,0.9664247,"('distant', 'outgoing')",0.06506704,0.029914372,0.5406818,0.47485167,0.5568738,0.4903969,-0.0664769
6,0.7318178,0.71484166,"('distant', 'open')",-0.23129857,-0.272629,0.80527896,0.6878656,0.4352661,0.3766928,-0.0585733
7,-1.2032397,-1.134349,"('insensitive', 'sensitive')",-0.37645996,-0.2243194,0.25437313,0.34922162,-0.4417755,-0.3364822,0.1052933
8,0.0074351337,-0.062398266,"('unaffectionate', 'affectionate')",-0.4418107,-0.5453961,0.83465505,0.69400424,0.1334265,0.0287366,-0.1046899
9,-0.036663048,-0.11791064,"('unaffectionate', 'caring')",0.1757327,0.14330246,1.3548878,1.302101,0.4979858,0.4424976,-0.0554882
10,-2.1044888,-2.1167452,"('unsympathetic', 'sympathetic')",-0.17065197,-0.21217214,-0.6403936,-0.6605235,-0.9718448,-0.9964802,-0.0246354
11,-0.85897774,-0.82941455,"('unhelpful', 'helpful')",0.43848968,0.57164717,1.9726664,2.0988243,0.5173928,0.6136856,0.0962928
12,-0.256926,-0.24495023,"('unsupportive', 'supportive')",0.3970117,0.5055691,-1.5883543,-1.5537978,-0.4827562,-0.4310597,0.0516965
13,-0.39914882,-0.45716923,"('impolite', 'polite')",0.8304789,0.83672535,-0.19862549,-0.20811483,0.0775682,0.0571471,-0.0204211
14,-1.0440078,-1.0058442,"('antisocial', 'social')",0.37488213,0.5230365,-1.2356201,-1.1459893,-0.6349153,-0.5429324,0.0919829
15,0.6797017,0.6124694,"('boring', 'funny')",0.7810449,0.76114684,0.6267465,0.54062474,0.695831,0.6380803,-0.0577507
16,-0.19761635,-0.11747074,"('unpopular', 'popular')",-0.69205517,-0.65098524,0.82012415,0.82856447,-0.0231825,0.0200362,0.0432187
17,-0.19344416,-0.094119966,"('nasty', 'nice')",-0.25572795,-0.16960628,-0.36766958,-0.3535458,-0.2722806,-0.2057573,0.0665233
18,0.16391012,0.24169359,"('disagreeable', 'welcoming')",-0.08400814,-0.110062465,-0.3614977,-0.43720448,-0.0938652,-0.1018578,-0.0079926
19,0.50943226,0.44857427,"('inhospitable', 'hospitable')",-1.067167,-1.0690813,0.21641836,0.16599812,-0.1137721,-0.151503,-0.0377309
20,-0.6054194,-0.5320046,"('rough', 'thoughtful')",-0.1155045,-0.07373123,0.6290213,0.6225023,-0.0306342,0.0055888,0.036223
21,-1.0609576,-1.0935271,"('immoral', 'moral')",0.80441904,0.75476515,-0.9361136,-0.8788803,-0.3975507,-0.4058808,-0.0083301
22,-0.9396831,-0.8943769,"('untrustworthy', 'trustworthy')",-0.46190646,-0.4230696,-1.5183935,-1.4573804,-0.9733276,-0.9249423,0.0483853
23,-0.6935356,-0.7500138,"('insincere', 'sincere')",1.2850535,1.3382884,6.165473,6.1738114,2.2523303,2.2540286,0.0016983
24,-0.6238736,-0.6904929,"('dishonest', 'honest')",0.23541571,0.24551438,0.9968496,0.9391468,0.2027972,0.1647228,-0.0380744
25,0.9972547,0.8769045,"('egoistic', 'altruistic')",0.24649799,0.16196778,1.3492978,1.2259434,0.8643502,0.7549386,-0.1094116
26,0.9536432,0.92829704,"('hardhearted', 'benevolent')",0.6757874,0.60353255,1.249629,1.0847462,0.9596865,0.8721919,-0.0874946
27,-0.17105344,0.010747079,"('hardhearted', 'softhearted')",-0.116165996,-0.027352579,1.7575094,1.6140528,0.4900966,0.5324824,0.0423858
28,-0.8436655,-0.98758584,"('disloyal', 'loyal')",0.32792807,0.20783612,0.9531575,0.8436968,0.1458067,0.0213157,-0.124491
29,-0.04786075,-0.02316136,"('unfair', 'fair')",-0.90719247,-0.8024567,-0.25697115,-0.41743535,-0.4040081,-0.4143511,-0.010343
30,-0.5237399,-0.5159452,"('intolerant', 'tolerant')",0.39806396,0.48023766,1.045168,0.9790981,0.3064974,0.3144635,0.0079661
31,0.2752318,0.26657516,"('evil', 'good')",-1.5546402,-1.5058306,-0.71480304,-0.9077717,-0.6647371,-0.7156757,-0.0509386
32,0.11788918,0.018217515,"('unkind', 'kind')",0.8309564,0.8513713,1.0819767,1.0113744,0.6769408,0.6269877,-0.0499531
33,0.4930526,0.31253505,"('wrong', 'right')",-0.73396766,-0.82425416,-0.24947153,-0.33804107,-0.1634622,-0.2832534,-0.1197912
34,-0.40197596,-0.2136455,"('mean', 'honorable')",0.4006444,0.4948843,6.188949,6.228297,2.0625391,2.1698453,0.1073062
35,1.6912515,1.6571355,"('corrupt', 'incorrupt')",-1.0199863,-1.1525227,0.16719696,-0.0068054833,0.2794874,0.1659358,-0.1135516
36,1.2832484,1.151042,"('hostile', 'amicable')",-0.30236912,-0.47636113,0.6193687,0.27169344,0.533416,0.3154581,-0.2179579
37,-0.91811514,-0.92126244,"('fake', 'genuine')",-0.25600708,-0.28396997,0.14474608,0.16987407,-0.3431254,-0.3451194,-0.001994
38,0.21491428,0.12605987,"('untruthful', 'truthful')",-0.02931171,0.024898216,0.77964187,0.8409463,0.3217481,0.3306348,0.0088867
39,0.51500976,0.5695639,"('exploitative', 'cooperative')",0.7719241,0.9278023,-0.51884776,-0.44376597,0.2560287,0.3512001,0.0951714
40,-0.98824143,-0.96654606,"('stingy', 'generous')",-0.35619774,-0.36243805,-1.9514748,-2.013156,-1.098638,-1.1140467,-0.0154087
