,furnace_male,furnace_female,tuple,average_male,average_female,female-male
0,0.058725327,-0.100149795,"('unsociable', 'sociable')",0.0587253,-0.1001498,-0.1588751
1,1.7794247,1.7062216,"('unfriendly', 'friendly')",1.7794247,1.7062216,-0.0732031
2,0.36394227,0.42997897,"('unlikable', 'likable')",0.3639423,0.429979,0.0660367
3,-0.51238656,-0.23648499,"('repellent', 'pleasant')",-0.5123866,-0.236485,0.2759016
4,-7.172253,-7.488627,"('disliked', 'liked')",-7.1722531,-7.488627,-0.3163739
5,-0.2175022,-0.323216,"('distant', 'outgoing')",-0.2175022,-0.323216,-0.1057138
6,0.31574452,0.22998944,"('distant', 'open')",0.3157445,0.2299894,-0.0857551
7,0.79769593,0.9547443,"('insensitive', 'sensitive')",0.7976959,0.9547443,0.1570484
8,1.7360252,1.5502839,"('unaffectionate', 'affectionate')",1.7360252,1.5502839,-0.1857413
9,1.7846919,1.7520539,"('unaffectionate', 'caring')",1.7846919,1.7520539,-0.032638
10,-0.16132146,-0.024701675,"('unsympathetic', 'sympathetic')",-0.1613215,-0.0247017,0.1366198
11,1.1005851,1.2580081,"('unhelpful', 'helpful')",1.1005851,1.2580081,0.157423
12,-1.7129859,-1.7877256,"('unsupportive', 'supportive')",-1.7129859,-1.7877256,-0.0747397
13,-1.0658852,-0.8977886,"('impolite', 'polite')",-1.0658852,-0.8977886,0.1680966
14,-0.32271037,-0.24311316,"('antisocial', 'social')",-0.3227104,-0.2431132,0.0795972
15,0.40318218,0.23492157,"('boring', 'funny')",0.4031822,0.2349216,-0.1682606
16,0.44822907,0.21562001,"('unpopular', 'popular')",0.4482291,0.21562,-0.2326091
17,-0.36047333,-0.3097702,"('nasty', 'nice')",-0.3604733,-0.3097702,0.0507031
18,-0.67850673,-0.6188221,"('disagreeable', 'welcoming')",-0.6785067,-0.6188221,0.0596846
19,-0.49801505,-0.45485064,"('inhospitable', 'hospitable')",-0.498015,-0.4548506,0.0431644
20,0.22861841,0.35481077,"('rough', 'thoughtful')",0.2286184,0.3548108,0.1261924
21,-1.2231172,-0.9402573,"('immoral', 'moral')",-1.2231172,-0.9402573,0.2828599
22,-1.1195333,-1.1081815,"('untrustworthy', 'trustworthy')",-1.1195333,-1.1081815,0.0113518
23,5.960255,6.2702985,"('insincere', 'sincere')",5.9602551,6.2702985,0.3100434
24,1.224921,1.2730227,"('dishonest', 'honest')",1.224921,1.2730227,0.0481017
