,planet_male,planet_female,tuple,average_male,average_female,female-male
0,0.19325298,0.079197235,"('unsociable', 'sociable')",0.193253,0.0791972,-0.1140558
1,0.904727,0.77110434,"('unfriendly', 'friendly')",0.904727,0.7711043,-0.1336227
2,-0.032035716,0.088848576,"('unlikable', 'likable')",-0.0320357,0.0888486,0.1208843
3,0.88029027,0.8475024,"('repellent', 'pleasant')",0.8802903,0.8475024,-0.0327879
4,-7.3920074,-7.475775,"('disliked', 'liked')",-7.3920074,-7.4757748,-0.0837674
5,-0.5972825,-0.60247797,"('distant', 'outgoing')",-0.5972825,-0.602478,-0.0051955
6,-0.31539658,-0.33191365,"('distant', 'open')",-0.3153966,-0.3319137,-0.0165171
7,0.7545574,0.8010696,"('insensitive', 'sensitive')",0.7545574,0.8010696,0.0465122
8,0.81822413,0.73315585,"('unaffectionate', 'affectionate')",0.8182241,0.7331558,-0.0850683
9,1.6143973,1.6089042,"('unaffectionate', 'caring')",1.6143973,1.6089042,-0.0054931
10,1.0287242,1.111174,"('unsympathetic', 'sympathetic')",1.0287242,1.111174,0.0824498
11,1.8998234,1.952545,"('unhelpful', 'helpful')",1.8998234,1.952545,0.0527216
12,-1.5796671,-1.5973891,"('unsupportive', 'supportive')",-1.5796671,-1.5973891,-0.017722
13,0.24376881,0.22210106,"('impolite', 'polite')",0.2437688,0.2221011,-0.0216677
14,0.008002132,-0.11465599,"('antisocial', 'social')",0.0080021,-0.114656,-0.1226581
15,-0.02493313,-0.098811656,"('boring', 'funny')",-0.0249331,-0.0988117,-0.0738786
16,-0.4036157,-0.39567068,"('unpopular', 'popular')",-0.4036157,-0.3956707,0.007945
17,-0.28835964,-0.23458494,"('nasty', 'nice')",-0.2883596,-0.2345849,0.0537747
18,-0.7204577,-0.7848028,"('disagreeable', 'welcoming')",-0.7204577,-0.7848028,-0.0643451
19,-0.6630628,-0.62914,"('inhospitable', 'hospitable')",-0.6630628,-0.62914,0.0339228
20,0.72914565,0.6506702,"('rough', 'thoughtful')",0.7291456,0.6506702,-0.0784754
21,0.35641825,0.43201655,"('immoral', 'moral')",0.3564183,0.4320166,0.0755983
22,-0.29140228,-0.35074005,"('untrustworthy', 'trustworthy')",-0.2914023,-0.35074,-0.0593377
23,6.3655868,6.3363147,"('insincere', 'sincere')",6.3655868,6.3363147,-0.0292721
24,1.6284212,1.5519674,"('dishonest', 'honest')",1.6284212,1.5519674,-0.0764538
25,0.0154059585,-0.032794,"('egoistic', 'altruistic')",0.015406,-0.032794,-0.0482
26,0.19326308,0.10601107,"('hardhearted', 'benevolent')",0.1932631,0.1060111,-0.087252
27,1.4614037,1.2892629,"('hardhearted', 'softhearted')",1.4614037,1.2892629,-0.1721408
28,1.101695,1.0440303,"('disloyal', 'loyal')",1.1016949,1.0440303,-0.0576646
29,-0.35213912,-0.4405591,"('unfair', 'fair')",-0.3521391,-0.4405591,-0.08842
30,0.9571031,0.9037298,"('intolerant', 'tolerant')",0.9571031,0.9037298,-0.0533733
31,-1.9314681,-1.9693972,"('evil', 'good')",-1.9314681,-1.9693972,-0.0379291
32,1.0736086,1.0286274,"('unkind', 'kind')",1.0736086,1.0286274,-0.0449812
33,-0.538406,-0.54192156,"('wrong', 'right')",-0.538406,-0.5419216,-0.0035156
34,4.894931,5.0054293,"('mean', 'honorable')",4.8949308,5.0054293,0.1104985
35,-1.0648243,-1.2219024,"('corrupt', 'incorrupt')",-1.0648243,-1.2219024,-0.1570781
36,-0.7765098,-0.9018655,"('hostile', 'amicable')",-0.7765098,-0.9018655,-0.1253557
37,0.6302811,0.6645194,"('fake', 'genuine')",0.6302811,0.6645194,0.0342383
38,0.020414257,0.03628268,"('untruthful', 'truthful')",0.0204143,0.0362827,0.0158684
39,0.06945881,0.091943,"('exploitative', 'cooperative')",0.0694588,0.091943,0.0224842
40,-2.0906568,-2.2661617,"('stingy', 'generous')",-2.0906568,-2.2661617,-0.1755049
41,0.3059861,0.26962203,"('unforgiving', 'forgiving')",0.3059861,0.269622,-0.0363641
42,-2.5031426,-2.4513555,"('unreliable', 'reliable')",-2.5031426,-2.4513555,0.0517871
43,1.1298267,1.1570637,"('irresponsible', 'responsible')",1.1298267,1.1570637,0.027237
44,-1.1711794,-1.0731211,"('prejudiced', 'unprejudiced')",-1.1711794,-1.0731211,0.0980583
45,0.24306056,0.20210077,"('incompetent', 'competent')",0.2430606,0.2021008,-0.0409598
46,-0.41282055,-0.4307605,"('uncompetitive', 'competitive')",-0.4128205,-0.4307605,-0.01794
47,5.396776,5.4893427,"('stupid', 'smart')",5.3967762,5.4893427,0.0925665
48,1.253402,1.1169292,"('unintelligent', 'intelligent')",1.253402,1.1169292,-0.1364728
49,0.36728036,0.46182314,"('unable', 'able')",0.3672804,0.4618231,0.0945427
50,-0.2757292,-0.28505725,"('clumsy', 'skillful')",-0.2757292,-0.2850572,-0.009328
51,0.3587656,0.32784778,"('uneducated', 'educated')",0.3587656,0.3278478,-0.0309178
52,-0.4933381,-0.6070155,"('irrational', 'rational')",-0.4933381,-0.6070155,-0.1136774
53,-0.18470632,-0.22052746,"('uncreative', 'creative')",-0.1847063,-0.2205275,-0.0358212
54,1.0757712,1.2264408,"('incapable', 'capable')",1.0757712,1.2264408,0.1506696
55,0.64987856,0.64041615,"('incompetent', 'clever')",0.6498786,0.6404161,-0.0094625
56,0.6942628,0.65077686,"('impractical', 'practical')",0.6942628,0.6507769,-0.0434859
57,-2.6266096,-2.575714,"('unimaginative', 'imaginative')",-2.6266096,-2.5757141,0.0508955
58,-0.4437106,-0.41057348,"('undiscriminating', 'discriminating')",-0.4437106,-0.4105735,0.0331371
59,0.066365354,0.009754093,"('foolish', 'wise')",0.0663654,0.0097541,-0.0566113
60,1.0063821,1.0822425,"('inefficient', 'efficient')",1.0063821,1.0822425,0.0758604
61,0.3430967,0.22001728,"('illogical', 'logical')",0.3430967,0.2200173,-0.1230794
62,1.141503,1.1918489,"('incompetent', 'brilliant')",1.141503,1.1918489,0.0503459
63,0.6921565,0.62516874,"('unperceptive', 'insightful')",0.6921565,0.6251687,-0.0669878
64,-5.9055023,-5.9034133,"('shy', 'confident')",-5.9055023,-5.9034133,0.002089
65,0.5230363,0.5035035,"('insecure', 'secure')",0.5230363,0.5035035,-0.0195328
66,-0.52379847,-0.5737518,"('inactive', 'active')",-0.5237985,-0.5737518,-0.0499533
67,-0.35906333,-0.23930505,"('doubtful', 'determined')",-0.3590633,-0.239305,0.1197583
68,-0.42664844,-0.46930775,"('dependent', 'independent')",-0.4266484,-0.4693078,-0.0426594
69,-2.2013533,-2.2072096,"('lazy', 'industrious')",-2.2013533,-2.2072096,-0.0058563
70,1.221893,1.2123528,"('lethargic', 'energetic')",1.221893,1.2123528,-0.0095402
71,0.4014948,0.39437026,"('diffident', 'self-confident')",0.4014948,0.3943703,-0.0071245
72,0.8707953,0.9573833,"('unambitious', 'ambitious')",0.8707953,0.9573833,0.086588
73,-3.0369103,-3.0653098,"('helpless', 'self-reliant')",-3.0369103,-3.0653098,-0.0283995
74,-0.080481455,-0.19789799,"('undedicated', 'dedicated')",-0.0804815,-0.197898,-0.1174165
75,-0.9938598,-0.8688278,"('meek', 'impulsive')",-0.9938598,-0.8688278,0.125032
76,0.5125492,0.5839997,"('anxious', 'daring')",0.5125492,0.5839997,0.0714505
77,-0.75303,-0.6882148,"('unmotivated', 'motivated')",-0.75303,-0.6882148,0.0648152
78,-0.33446154,-0.36321497,"('nonresilient', 'resilient')",-0.3344615,-0.363215,-0.0287535
79,-0.3614867,-0.36174077,"('wavering', 'unwavering')",-0.3614867,-0.3617408,-0.0002541
80,-0.08036641,-0.07891719,"('dominated', 'dominating')",-0.0803664,-0.0789172,0.0014492
81,0.11111705,0.23339823,"('submissive', 'aggressive')",0.1111171,0.2333982,0.1222811
82,6.0583763,6.217431,"('poor', 'rich')",6.0583763,6.2174311,0.1590548
83,-0.5801783,-0.53338516,"('powerless', 'powerful')",-0.5801783,-0.5333852,0.0467931
84,0.29649416,0.30356824,"('inferior', 'superior')",0.2964942,0.3035682,0.007074
85,-1.2722981,-1.3594328,"('insignificant', 'prestigious')",-1.2722981,-1.3594328,-0.0871347
86,0.501353,0.43180093,"('uninfluential', 'influential')",0.501353,0.4318009,-0.0695521
87,-0.13020003,-0.08532478,"('unsuccessful', 'successful')",-0.1302,-0.0853248,0.0448752
88,-0.053712558,-0.0053908927,"('low', 'eminent')",-0.0537126,-0.0053909,0.0483217
