,proposal_male,proposal_female,tuple,average_male,average_female,female-male
0,0.6982515,0.5390539,"('unsociable', 'sociable')",0.6982515,0.5390539,-0.1591976
1,0.4502668,0.41010326,"('unfriendly', 'friendly')",0.4502668,0.4101033,-0.0401635
2,0.41886565,0.53925586,"('unlikable', 'likable')",0.4188657,0.5392559,0.1203902
3,1.0289923,1.1786498,"('repellent', 'pleasant')",1.0289923,1.1786498,0.1496575
4,-6.9305544,-6.982866,"('disliked', 'liked')",-6.9305544,-6.9828658,-0.0523114
5,-1.4903777,-1.258631,"('distant', 'outgoing')",-1.4903777,-1.258631,0.2317467
6,-1.2693709,-1.066449,"('distant', 'open')",-1.2693709,-1.066449,0.2029219
7,1.0953479,1.1212859,"('insensitive', 'sensitive')",1.0953479,1.1212859,0.025938
8,0.39781317,0.37977958,"('unaffectionate', 'affectionate')",0.3978132,0.3797796,-0.0180336
9,1.3117322,1.3657299,"('unaffectionate', 'caring')",1.3117322,1.3657299,0.0539977
10,1.916164,1.9986409,"('unsympathetic', 'sympathetic')",1.916164,1.9986409,0.0824769
11,2.6548338,2.6057706,"('unhelpful', 'helpful')",2.6548338,2.6057706,-0.0490632
12,-1.0818515,-1.1375717,"('unsupportive', 'supportive')",-1.0818515,-1.1375717,-0.0557202
13,1.0065544,0.89506674,"('impolite', 'polite')",1.0065544,0.8950667,-0.1114877
14,0.70775336,0.5265539,"('antisocial', 'social')",0.7077534,0.5265539,-0.1811995
15,0.38043672,0.23249573,"('boring', 'funny')",0.3804367,0.2324957,-0.147941
16,-0.67695785,-0.6425684,"('unpopular', 'popular')",-0.6769578,-0.6425684,0.0343894
17,-0.6671862,-0.5515575,"('nasty', 'nice')",-0.6671862,-0.5515575,0.1156287
18,-1.2284589,-1.2279696,"('disagreeable', 'welcoming')",-1.2284589,-1.2279696,0.0004893
19,-1.3900586,-1.2449069,"('inhospitable', 'hospitable')",-1.3900586,-1.2449069,0.1451517
