,broom_male,broom_female,tuple,average_male,average_female,female-male
0,0.9348938,0.5387076,"('unsociable', 'sociable')",0.9348938,0.5387076,-0.3961862
1,1.1767853,1.3456748,"('unfriendly', 'friendly')",1.1767853,1.3456748,0.1688895
2,-0.07841776,0.11145283,"('unlikable', 'likable')",-0.0784178,0.1114528,0.1898706
3,0.47023666,0.8516211,"('repellent', 'pleasant')",0.4702367,0.8516211,0.3813844
4,-7.7274995,-7.5899568,"('disliked', 'liked')",-7.7274995,-7.5899568,0.1375427
5,-1.0073498,-0.6326187,"('distant', 'outgoing')",-1.0073498,-0.6326187,0.3747311
6,-0.9109512,-0.43224168,"('distant', 'open')",-0.9109512,-0.4322417,0.4787095
7,1.4421823,1.4081715,"('insensitive', 'sensitive')",1.4421823,1.4081715,-0.0340108
8,1.029323,1.1704248,"('unaffectionate', 'affectionate')",1.029323,1.1704248,0.1411018
9,1.7497963,1.96543,"('unaffectionate', 'caring')",1.7497963,1.96543,0.2156337
10,1.6977662,1.4862689,"('unsympathetic', 'sympathetic')",1.6977662,1.4862689,-0.2114973
11,2.4375339,2.3797183,"('unhelpful', 'helpful')",2.4375339,2.3797183,-0.0578156
12,-1.0463632,-1.0083108,"('unsupportive', 'supportive')",-1.0463632,-1.0083108,0.0380524
13,0.8495932,0.43467492,"('impolite', 'polite')",0.8495932,0.4346749,-0.4149183
14,0.93612033,0.60503465,"('antisocial', 'social')",0.9361203,0.6050346,-0.3310857
15,0.8983835,0.72927,"('boring', 'funny')",0.8983835,0.72927,-0.1691135
16,-1.2382921,-0.95659393,"('unpopular', 'popular')",-1.2382921,-0.9565939,0.2816982
17,-0.51218593,-0.42210242,"('nasty', 'nice')",-0.5121859,-0.4221024,0.0900835
18,-0.73044133,-0.46091387,"('disagreeable', 'welcoming')",-0.7304413,-0.4609139,0.2695274
19,-0.6717192,-0.31629592,"('inhospitable', 'hospitable')",-0.6717192,-0.3162959,0.3554233
20,0.7391866,0.5015418,"('rough', 'thoughtful')",0.7391866,0.5015418,-0.2376448
21,0.542193,0.45340797,"('immoral', 'moral')",0.542193,0.453408,-0.088785
22,-0.30385932,-0.26022044,"('untrustworthy', 'trustworthy')",-0.3038593,-0.2602204,0.0436389
23,6.940314,7.002445,"('insincere', 'sincere')",6.9403138,7.0024452,0.0621314
24,1.9542762,2.0281873,"('dishonest', 'honest')",1.9542762,2.0281873,0.0739111
25,0.9284167,1.0919266,"('egoistic', 'altruistic')",0.9284167,1.0919266,0.1635099
26,1.1105337,0.4547018,"('hardhearted', 'benevolent')",1.1105337,0.4547018,-0.6558319
27,1.4982346,1.4045208,"('hardhearted', 'softhearted')",1.4982346,1.4045208,-0.0937138
28,0.96647686,1.0094846,"('disloyal', 'loyal')",0.9664769,1.0094846,0.0430077
29,-1.2998061,-1.2085874,"('unfair', 'fair')",-1.2998061,-1.2085874,0.0912187
30,1.5099393,1.256977,"('intolerant', 'tolerant')",1.5099393,1.256977,-0.2529623
31,-2.5568194,-2.1918886,"('evil', 'good')",-2.5568194,-2.1918886,0.3649308
32,1.5753666,1.1858616,"('unkind', 'kind')",1.5753666,1.1858616,-0.389505
33,-0.40746915,-0.31635436,"('wrong', 'right')",-0.4074692,-0.3163544,0.0911148
34,4.400456,4.879733,"('mean', 'honorable')",4.400456,4.8797331,0.4792771
35,-1.594767,-1.3874998,"('corrupt', 'incorrupt')",-1.594767,-1.3874998,0.2072672
36,-1.2849456,-1.0254269,"('hostile', 'amicable')",-1.2849456,-1.0254269,0.2595187
37,1.2477671,1.2545768,"('fake', 'genuine')",1.2477671,1.2545768,0.0068097
38,0.047809705,0.059879214,"('untruthful', 'truthful')",0.0478097,0.0598792,0.0120695
39,0.9870066,0.751365,"('exploitative', 'cooperative')",0.9870066,0.751365,-0.2356416
40,-2.0358517,-1.8139164,"('stingy', 'generous')",-2.0358517,-1.8139164,0.2219353
41,0.98763114,0.45394567,"('unforgiving', 'forgiving')",0.9876311,0.4539457,-0.5336854
42,-2.9848166,-2.719515,"('unreliable', 'reliable')",-2.9848166,-2.7195151,0.2653015
43,1.6078175,1.4323496,"('irresponsible', 'responsible')",1.6078175,1.4323496,-0.1754679
44,-1.8225662,-1.8523583,"('prejudiced', 'unprejudiced')",-1.8225662,-1.8523583,-0.0297921
45,0.46963495,0.32420817,"('incompetent', 'competent')",0.469635,0.3242082,-0.1454268
46,0.27427763,-0.045765843,"('uncompetitive', 'competitive')",0.2742776,-0.0457658,-0.3200434
47,5.2662244,5.3426604,"('stupid', 'smart')",5.2662244,5.3426604,0.076436
48,1.1431168,0.98478407,"('unintelligent', 'intelligent')",1.1431168,0.9847841,-0.1583327
49,0.017381586,0.19756545,"('unable', 'able')",0.0173816,0.1975655,0.1801839
50,-0.6762215,-0.34913328,"('clumsy', 'skillful')",-0.6762215,-0.3491333,0.3270882
51,1.2461449,1.0778472,"('uneducated', 'educated')",1.2461449,1.0778472,-0.1682977
52,-0.69055754,-0.43593165,"('irrational', 'rational')",-0.6905575,-0.4359317,0.2546258
53,-0.08390459,-0.17375876,"('uncreative', 'creative')",-0.0839046,-0.1737588,-0.0898542
54,0.6648518,1.0402229,"('incapable', 'capable')",0.6648518,1.0402229,0.3753711
55,1.6459945,1.5311997,"('incompetent', 'clever')",1.6459945,1.5311997,-0.1147948
56,1.2548889,1.1689318,"('impractical', 'practical')",1.2548889,1.1689318,-0.0859571
57,-2.0379386,-2.3232143,"('unimaginative', 'imaginative')",-2.0379386,-2.3232143,-0.2852757
58,0.44182467,0.31593812,"('undiscriminating', 'discriminating')",0.4418247,0.3159381,-0.1258866
59,-0.7810258,-0.5185699,"('foolish', 'wise')",-0.7810258,-0.5185699,0.2624559
60,1.4573711,1.2173449,"('inefficient', 'efficient')",1.4573711,1.2173449,-0.2400262
61,0.6890043,0.39099848,"('illogical', 'logical')",0.6890043,0.3909985,-0.2980058
62,1.3018116,1.3824157,"('incompetent', 'brilliant')",1.3018116,1.3824157,0.0806041
63,0.9529148,0.83243906,"('unperceptive', 'insightful')",0.9529148,0.8324391,-0.1204757
64,-6.3693705,-6.2100077,"('shy', 'confident')",-6.3693705,-6.2100077,0.1593628
65,0.7925217,0.84209865,"('insecure', 'secure')",0.7925217,0.8420987,0.049577
66,-0.6442194,-0.48706606,"('inactive', 'active')",-0.6442194,-0.4870661,0.1571533
67,-0.5577237,-0.7883747,"('doubtful', 'determined')",-0.5577237,-0.7883747,-0.230651
68,-0.6910538,-0.42953807,"('dependent', 'independent')",-0.6910538,-0.4295381,0.2615157
69,-2.5778205,-2.3359468,"('lazy', 'industrious')",-2.5778205,-2.3359468,0.2418737
70,1.741784,1.6460372,"('lethargic', 'energetic')",1.741784,1.6460372,-0.0957468
71,0.025210176,0.24259308,"('diffident', 'self-confident')",0.0252102,0.2425931,0.2173829
72,1.0705168,1.2107198,"('unambitious', 'ambitious')",1.0705168,1.2107198,0.140203
73,-3.4688668,-2.9349658,"('helpless', 'self-reliant')",-3.4688668,-2.9349658,0.533901
74,0.6234227,0.31518105,"('undedicated', 'dedicated')",0.6234227,0.315181,-0.3082417
75,-1.6714338,-1.4317968,"('meek', 'impulsive')",-1.6714338,-1.4317968,0.239637
76,0.6780165,0.300425,"('anxious', 'daring')",0.6780165,0.300425,-0.3775915
77,-0.6342355,-0.6273019,"('unmotivated', 'motivated')",-0.6342355,-0.6273019,0.0069336
78,-0.3401718,-0.39734024,"('nonresilient', 'resilient')",-0.3401718,-0.3973402,-0.0571684
79,-0.81202704,-0.6336696,"('wavering', 'unwavering')",-0.812027,-0.6336696,0.1783574
80,0.79495084,0.44109246,"('dominated', 'dominating')",0.7949508,0.4410925,-0.3538583
81,0.92679715,0.57945657,"('submissive', 'aggressive')",0.9267972,0.5794566,-0.3473406
82,6.067139,6.5879965,"('poor', 'rich')",6.0671391,6.5879965,0.5208574
83,-0.24028674,-0.30090797,"('powerless', 'powerful')",-0.2402867,-0.300908,-0.0606213
84,0.34856614,0.34849653,"('inferior', 'superior')",0.3485661,0.3484965,-6.96e-05
85,-1.8856812,-1.8604563,"('insignificant', 'prestigious')",-1.8856812,-1.8604563,0.0252249
86,1.2201884,0.8019088,"('uninfluential', 'influential')",1.2201884,0.8019088,-0.4182796
87,0.32433552,0.5106999,"('unsuccessful', 'successful')",0.3243355,0.5106999,0.1863644
88,0.22977425,0.18766734,"('low', 'eminent')",0.2297743,0.1876673,-0.042107
