,lorillard_male,lorillard_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.33012423,-0.5423372,"('unsociable', 'sociable')",-0.062057983,-0.21393912,-0.1960911,-0.3781382,-0.1820471
1,-0.70947313,-0.93522286,"('unfriendly', 'friendly')",1.6749725,1.4756261,0.4827497,0.2702016,-0.2125481
2,1.1073163,1.0864937,"('unlikable', 'likable')",0.62824214,0.6514834,0.8677792,0.8689886,0.0012094
3,-0.55355453,-0.4220899,"('repellent', 'pleasant')",0.04705786,0.10448657,-0.2532483,-0.1588017,0.0944466
4,0.07232182,0.069529146,"('disliked', 'liked')",-6.018288,-6.0199738,-2.9729831,-2.9752223,-0.0022392
5,0.37490258,0.2400782,"('distant', 'outgoing')",-0.016570387,-0.08497951,0.1791661,0.0775493,-0.1016168
6,0.1822313,0.02357893,"('distant', 'open')",0.44773197,0.30593798,0.3149816,0.1647585,-0.1502231
7,-0.6349163,-0.51626337,"('insensitive', 'sensitive')",0.706126,0.712628,0.0356048,0.0981823,0.0625775
8,-0.41125536,-0.68537325,"('unaffectionate', 'affectionate')",0.81399435,0.5839064,0.2013695,-0.0507334,-0.2521029
9,-0.44960698,-0.63169307,"('unaffectionate', 'caring')",1.1072444,1.0087417,0.3288187,0.1885243,-0.1402944
10,-1.357043,-1.4174619,"('unsympathetic', 'sympathetic')",0.16484444,0.055033952,-0.5960993,-0.681214,-0.0851147
11,-0.855215,-0.7960609,"('unhelpful', 'helpful')",1.7100075,1.7662677,0.4273963,0.4851034,0.0577071
12,-0.27548447,-0.27823198,"('unsupportive', 'supportive')",-1.5177008,-1.5102193,-0.8965926,-0.8942257,0.0023669
13,-0.56986934,-0.64642256,"('impolite', 'polite')",-0.22971395,-0.18069421,-0.3997917,-0.4135584,-0.0137667
14,0.21658212,0.24554166,"('antisocial', 'social')",-0.18684551,-0.14754961,0.0148683,0.048996,0.0341277
15,-0.6165092,-0.6827807,"('boring', 'funny')",0.62311095,0.5756966,0.0033009,-0.053542,-0.0568429
16,0.03612655,-0.0072718784,"('unpopular', 'popular')",0.32207054,0.35754856,0.1790985,0.1751383,-0.0039602
17,-0.036153376,-0.046307996,"('nasty', 'nice')",-0.4199306,-0.4020784,-0.228042,-0.2241932,0.0038488
18,0.31577498,0.28964815,"('disagreeable', 'welcoming')",-0.38603097,-0.4279768,-0.035128,-0.0691643,-0.0340363
19,-0.2654376,-0.34335622,"('inhospitable', 'hospitable')",-0.257395,-0.33464617,-0.2614163,-0.3390012,-0.0775849
20,0.62325263,0.6114128,"('rough', 'thoughtful')",1.4302154,1.3424108,1.026734,0.9769118,-0.0498222
21,-0.32636043,-0.2947229,"('immoral', 'moral')",-0.48248315,-0.42269877,-0.4044218,-0.3587108,0.045711
22,-0.16864339,-0.076174326,"('untrustworthy', 'trustworthy')",-0.91751397,-0.8911263,-0.5430787,-0.4836503,0.0594284
23,-0.9680021,-0.96687454,"('insincere', 'sincere')",5.4142165,5.4579387,2.2231073,2.245532,0.0224247
24,-0.68100995,-0.6964964,"('dishonest', 'honest')",0.8863854,0.86993563,0.1026877,0.0867196,-0.0159681
25,0.58879167,0.51952815,"('egoistic', 'altruistic')",1.4259194,1.3398999,1.0073556,0.929714,-0.0776416
26,0.07949793,-0.05123984,"('hardhearted', 'benevolent')",1.4915558,1.3119994,0.7855269,0.6303798,-0.1551471
27,-0.57979876,-0.6548193,"('hardhearted', 'softhearted')",1.4221275,1.3088052,0.4211644,0.326993,-0.0941714
28,-0.5058726,-0.64563024,"('disloyal', 'loyal')",0.86323404,0.78111684,0.1786807,0.0677433,-0.1109374
29,0.5612522,0.47487056,"('unfair', 'fair')",-0.28054377,-0.4702019,0.1403542,0.0023343,-0.1380199
30,-0.25506985,-0.28987548,"('intolerant', 'tolerant')",1.6585636,1.6121439,0.7017469,0.6611342,-0.0406127
31,-0.25721502,-0.3756268,"('evil', 'good')",-0.91324425,-1.0637355,-0.5852296,-0.7196811,-0.1344515
32,-0.50910056,-0.54899365,"('unkind', 'kind')",0.8021995,0.6520744,0.1465495,0.0515404,-0.0950091
33,0.9981497,0.90698063,"('wrong', 'right')",-0.3451059,-0.38557288,0.3265219,0.2607039,-0.065818
34,-0.14926924,-0.100971945,"('mean', 'honorable')",5.719694,5.828925,2.7852125,2.8639765,0.078764
