,nisource_male,nisource_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.1129199,-1.3074188,"('unsociable', 'sociable')",-0.04296051,-0.24249312,-0.5779402,-0.774956,-0.1970158
1,-2.4274316,-2.545545,"('unfriendly', 'friendly')",1.5580864,1.3537611,-0.4346726,-0.595892,-0.1612194
2,0.868815,0.8461437,"('unlikable', 'likable')",0.614732,0.65424323,0.7417735,0.7501935,0.00842
3,-0.14912775,0.058725692,"('repellent', 'pleasant')",0.003971655,0.12495224,-0.0725781,0.091839,0.1644171
4,0.10916966,0.10660893,"('disliked', 'liked')",-5.519605,-5.493899,-2.7052178,-2.693645,0.0115728
5,-1.4712521,-1.4807938,"('distant', 'outgoing')",-0.43781686,-0.49632162,-0.9545345,-0.9885577,-0.0340232
6,-1.8066581,-1.8035771,"('distant', 'open')",-0.23663725,-0.34094268,-1.0216477,-1.0722599,-0.0506122
7,-0.3339067,-0.24299303,"('insensitive', 'sensitive')",0.56325924,0.6316624,0.1146763,0.1943347,0.0796584
8,-2.3010015,-2.3469684,"('unaffectionate', 'affectionate')",0.2244654,0.09745725,-1.0382681,-1.1247556,-0.0864875
9,-2.4535365,-2.478879,"('unaffectionate', 'caring')",0.6205739,0.5729115,-0.9164813,-0.9529837,-0.0365024
10,-0.8730965,-0.83675146,"('unsympathetic', 'sympathetic')",-0.15735395,-0.22193868,-0.5152252,-0.5293451,-0.0141199
11,-0.2583154,-0.26015726,"('unhelpful', 'helpful')",1.906914,1.9493899,0.8242993,0.8446164,0.0203171
12,-1.193346,-1.0835203,"('unsupportive', 'supportive')",-1.6164236,-1.5546414,-1.4048848,-1.3190808,0.085804
13,0.30972883,0.17426494,"('impolite', 'polite')",0.044582352,0.09332439,0.1771556,0.1337947,-0.0433609
14,0.52288336,0.5779319,"('antisocial', 'social')",-0.043868866,-0.0330732,0.2395072,0.2724293,0.0329221
15,-0.0063635474,-0.18879947,"('boring', 'funny')",0.675886,0.5854158,0.3347612,0.1983082,-0.136453
16,-0.27097565,-0.255233,"('unpopular', 'popular')",0.7111896,0.61806923,0.220107,0.1814181,-0.0386889
17,-0.13245544,-0.094442576,"('nasty', 'nice')",-0.106436245,-0.042760275,-0.1194458,-0.0686014,0.0508444
