,paycom_male,paycom_female,tuple,software_male,software_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.59109807,-0.8203652,"('unsociable', 'sociable')",-0.06023972,-0.1898306,-0.5335635,-0.73838645,-0.3949671,-0.5828607,-0.1878936
1,-0.8883841,-0.9683176,"('unfriendly', 'friendly')",0.98169017,0.83035225,1.5419158,1.4632385,0.5450739,0.4417577,-0.1033162
2,0.47412622,0.42180467,"('unlikable', 'likable')",0.5291829,0.60119206,1.1873496,1.2620901,0.7302195,0.7616955,0.031476
3,-0.22214922,-0.17218585,"('repellent', 'pleasant')",-0.15305465,-0.11153805,0.021970319,0.040804833,-0.1177445,-0.080973,0.0367715
4,-0.19974755,-0.21578383,"('disliked', 'liked')",-0.63768554,-0.63215786,-5.274676,-5.4460983,-2.0373697,-2.0980134,-0.0606437
5,-0.48177454,-0.2647444,"('distant', 'outgoing')",-0.12473267,-0.023001673,-0.23545732,-0.004010696,-0.2806548,-0.0972523,0.1834025
6,-0.7278778,-0.48374987,"('distant', 'open')",-0.5031837,-0.3837596,0.13830312,0.38896528,-0.3642528,-0.1595147,0.2047381
7,-0.6814359,-0.7592706,"('insensitive', 'sensitive')",-0.18601476,-0.17028454,-0.04935988,0.0016669799,-0.3056035,-0.3092961,-0.0036926
8,-1.1331747,-1.2070347,"('unaffectionate', 'affectionate')",0.25993794,0.22620867,0.34887743,0.43375468,-0.1747864,-0.1823571,-0.0075707
9,-0.61941373,-0.7391347,"('unaffectionate', 'caring')",0.6091213,0.5923966,0.7861538,0.888764,0.2586205,0.247342,-0.0112785
10,-0.89489084,-1.1072646,"('unsympathetic', 'sympathetic')",-1.1407902,-1.1742734,-0.63741064,-0.72886986,-0.8910306,-1.0034693,-0.1124387
11,-0.108971864,-0.20182945,"('unhelpful', 'helpful')",1.03475,1.0346681,1.8024855,1.8010174,0.9094212,0.877952,-0.0314692
