,cob_male,cob_female,tuple,average_male,average_female,female-male
0,-0.28411627,-0.26497304,"('unsociable', 'sociable')",-0.2841163,-0.264973,0.0191433
1,0.22710592,-0.0620022,"('unfriendly', 'friendly')",0.2271059,-0.0620022,-0.2891081
2,0.5089128,0.5956268,"('unlikable', 'likable')",0.5089128,0.5956268,0.086714
3,-0.40320948,-0.16418342,"('repellent', 'pleasant')",-0.4032095,-0.1641834,0.2390261
4,-3.3245564,-3.4579499,"('disliked', 'liked')",-3.3245564,-3.4579499,-0.1333935
5,-0.53927755,-0.70677507,"('distant', 'outgoing')",-0.5392776,-0.7067751,-0.1674975
6,-0.5508452,-0.78474617,"('distant', 'open')",-0.5508452,-0.7847462,-0.233901
7,0.09782131,0.23345271,"('insensitive', 'sensitive')",0.0978213,0.2334527,0.1356314
8,-0.39085594,-0.544704,"('unaffectionate', 'affectionate')",-0.3908559,-0.544704,-0.1538481
9,0.07023883,-0.07359986,"('unaffectionate', 'caring')",0.0702388,-0.0735999,-0.1438387
10,-0.41288725,-0.28452963,"('unsympathetic', 'sympathetic')",-0.4128872,-0.2845296,0.1283576
11,0.29760313,0.52424484,"('unhelpful', 'helpful')",0.2976031,0.5242448,0.2266417
12,-0.8748526,-0.813411,"('unsupportive', 'supportive')",-0.8748526,-0.813411,0.0614416
13,-0.7318588,-0.4962055,"('impolite', 'polite')",-0.7318588,-0.4962055,0.2356533
14,0.45431164,0.65796894,"('antisocial', 'social')",0.4543116,0.6579689,0.2036573
15,0.5349096,0.35727927,"('boring', 'funny')",0.5349096,0.3572793,-0.1776303
16,-0.82119447,-0.91268027,"('unpopular', 'popular')",-0.8211945,-0.9126803,-0.0914858
17,-0.4630063,-0.30955163,"('nasty', 'nice')",-0.4630063,-0.3095516,0.1534547
18,-0.95570797,-0.9795542,"('disagreeable', 'welcoming')",-0.955708,-0.9795542,-0.0238462
19,-1.0078405,-1.0702232,"('inhospitable', 'hospitable')",-1.0078405,-1.0702232,-0.0623827
20,0.017686527,0.03195815,"('rough', 'thoughtful')",0.0176865,0.0319582,0.0142717
21,-1.0763657,-0.73913103,"('immoral', 'moral')",-1.0763657,-0.739131,0.3372347
22,0.15890323,0.22936706,"('untrustworthy', 'trustworthy')",0.1589032,0.2293671,0.0704639
23,2.342168,2.5152094,"('insincere', 'sincere')",2.3421681,2.5152094,0.1730413
24,0.6215731,0.552047,"('dishonest', 'honest')",0.6215731,0.552047,-0.0695261
25,0.6230906,0.44373357,"('egoistic', 'altruistic')",0.6230906,0.4437336,-0.179357
26,1.6095908,1.3231143,"('hardhearted', 'benevolent')",1.6095908,1.3231143,-0.2864765
27,0.61301345,0.42120636,"('hardhearted', 'softhearted')",0.6130134,0.4212064,-0.191807
28,0.4621374,0.3013245,"('disloyal', 'loyal')",0.4621374,0.3013245,-0.1608129
29,-0.35785556,-0.49694186,"('unfair', 'fair')",-0.3578556,-0.4969419,-0.1390863
30,0.4311127,0.576195,"('intolerant', 'tolerant')",0.4311127,0.576195,0.1450823
31,-0.60071105,-0.8502667,"('evil', 'good')",-0.600711,-0.8502667,-0.2495557
32,0.49096224,0.40163523,"('unkind', 'kind')",0.4909622,0.4016352,-0.089327
33,0.38150305,0.1397484,"('wrong', 'right')",0.381503,0.1397484,-0.2417546
34,2.013679,2.235535,"('mean', 'honorable')",2.013679,2.2355349,0.2218559
35,0.4363736,-0.009394935,"('corrupt', 'incorrupt')",0.4363736,-0.0093949,-0.4457685
36,0.053283405,-0.27369726,"('hostile', 'amicable')",0.0532834,-0.2736973,-0.3269807
37,0.16592857,0.18934721,"('fake', 'genuine')",0.1659286,0.1893472,0.0234186
38,-0.25050807,-0.28109097,"('untruthful', 'truthful')",-0.2505081,-0.281091,-0.0305829
39,0.5841297,0.7346973,"('exploitative', 'cooperative')",0.5841297,0.7346973,0.1505676
40,-1.0024564,-1.1282718,"('stingy', 'generous')",-1.0024564,-1.1282718,-0.1258154
41,0.49938852,0.4597606,"('unforgiving', 'forgiving')",0.4993885,0.4597606,-0.0396279
42,-1.417883,-1.3333316,"('unreliable', 'reliable')",-1.417883,-1.3333316,0.0845514
43,0.18052351,0.33865914,"('irresponsible', 'responsible')",0.1805235,0.3386591,0.1581356
44,-0.8583265,-0.7773625,"('prejudiced', 'unprejudiced')",-0.8583265,-0.7773625,0.080964
45,0.45834213,0.50194275,"('incompetent', 'competent')",0.4583421,0.5019428,0.0436007
46,-0.37208712,-0.27888012,"('uncompetitive', 'competitive')",-0.3720871,-0.2788801,0.093207
47,2.748522,2.92059,"('stupid', 'smart')",2.748522,2.9205899,0.1720679
48,-0.6058339,-0.5264039,"('unintelligent', 'intelligent')",-0.6058339,-0.5264039,0.07943
49,-0.97451377,-0.77736527,"('unable', 'able')",-0.9745138,-0.7773653,0.1971485
50,-0.54382044,-0.6547967,"('clumsy', 'skillful')",-0.5438204,-0.6547967,-0.1109763
51,-0.53299254,-0.45774305,"('uneducated', 'educated')",-0.5329925,-0.457743,0.0752495
52,-0.5886105,-0.7885273,"('irrational', 'rational')",-0.5886105,-0.7885273,-0.1999168
53,-0.426424,-0.58392066,"('uncreative', 'creative')",-0.426424,-0.5839207,-0.1574967
54,0.012778908,-0.11319654,"('incapable', 'capable')",0.0127789,-0.1131965,-0.1259754
55,0.30400184,0.51802653,"('incompetent', 'clever')",0.3040018,0.5180265,0.2140247
56,-0.018085456,0.18135966,"('impractical', 'practical')",-0.0180855,0.1813597,0.1994452
57,-1.0040939,-1.1519443,"('unimaginative', 'imaginative')",-1.0040939,-1.1519443,-0.1478504
58,0.61279196,0.6117409,"('undiscriminating', 'discriminating')",0.612792,0.6117409,-0.0010511
59,0.32068944,0.16046534,"('foolish', 'wise')",0.3206894,0.1604653,-0.1602241
60,-0.4618971,0.038090512,"('inefficient', 'efficient')",-0.4618971,0.0380905,0.4999876
61,0.109412946,0.046218,"('illogical', 'logical')",0.1094129,0.046218,-0.0631949
62,0.31760874,0.6878437,"('incompetent', 'brilliant')",0.3176087,0.6878437,0.370235
63,-0.08809085,0.02228567,"('unperceptive', 'insightful')",-0.0880909,0.0222857,0.1103766
64,-3.2713754,-3.0599895,"('shy', 'confident')",-3.2713754,-3.0599895,0.2113859
65,0.21073316,0.45835477,"('insecure', 'secure')",0.2107332,0.4583548,0.2476216
66,-0.31411406,-0.50381917,"('inactive', 'active')",-0.3141141,-0.5038192,-0.1897051
67,-0.32431027,-0.20456007,"('doubtful', 'determined')",-0.3243103,-0.2045601,0.1197502
68,-1.21439,-1.2463555,"('dependent', 'independent')",-1.21439,-1.2463555,-0.0319655
69,-0.4643923,-0.66768765,"('lazy', 'industrious')",-0.4643923,-0.6676877,-0.2032954
70,0.46052897,0.5724072,"('lethargic', 'energetic')",0.460529,0.5724072,0.1118782
71,0.19423136,0.1054833,"('diffident', 'self-confident')",0.1942314,0.1054833,-0.0887481
72,-0.03827584,0.01872586,"('unambitious', 'ambitious')",-0.0382758,0.0187259,0.0570017
73,-0.69756997,-0.6914919,"('helpless', 'self-reliant')",-0.69757,-0.6914919,0.0060781
74,0.11778359,0.06491749,"('undedicated', 'dedicated')",0.1177836,0.0649175,-0.0528661
75,-0.205775,-0.2673779,"('meek', 'impulsive')",-0.205775,-0.2673779,-0.0616029
76,-0.38294232,-0.16816169,"('anxious', 'daring')",-0.3829423,-0.1681617,0.2147806
77,-1.5135484,-1.2372509,"('unmotivated', 'motivated')",-1.5135484,-1.2372509,0.2762975
78,-0.41359738,-0.48582137,"('nonresilient', 'resilient')",-0.4135974,-0.4858214,-0.072224
79,-0.34899494,-0.6099894,"('wavering', 'unwavering')",-0.3489949,-0.6099894,-0.2609945
80,0.90833,0.91614604,"('dominated', 'dominating')",0.90833,0.916146,0.007816
81,-0.45156318,-0.20042856,"('submissive', 'aggressive')",-0.4515632,-0.2004286,0.2511346
