,pug_male,pug_female,tuple,average_male,average_female,female-male
0,0.33323348,0.09374124,"('unsociable', 'sociable')",0.3332335,0.0937412,-0.2394923
1,-0.19529416,-0.27693972,"('unfriendly', 'friendly')",-0.1952942,-0.2769397,-0.0816455
2,0.42730877,0.46541706,"('unlikable', 'likable')",0.4273088,0.4654171,0.0381083
3,-0.58649135,-0.5560374,"('repellent', 'pleasant')",-0.5864913,-0.5560374,0.0304539
4,-3.367158,-3.417679,"('disliked', 'liked')",-3.3671579,-3.4176791,-0.0505212
5,-0.82219183,-0.7835338,"('distant', 'outgoing')",-0.8221918,-0.7835338,0.038658
6,-0.58459383,-0.5593466,"('distant', 'open')",-0.5845938,-0.5593466,0.0252472
7,0.37766254,0.30766883,"('insensitive', 'sensitive')",0.3776625,0.3076688,-0.0699937
8,-0.29354444,-0.2956259,"('unaffectionate', 'affectionate')",-0.2935444,-0.2956259,-0.0020815
9,-0.13805738,-0.14098716,"('unaffectionate', 'caring')",-0.1380574,-0.1409872,-0.0029298
10,-0.21584171,-0.19394474,"('unsympathetic', 'sympathetic')",-0.2158417,-0.1939447,0.021897
11,0.63063973,0.63434255,"('unhelpful', 'helpful')",0.6306397,0.6343426,0.0037029
12,-1.4902226,-1.5062324,"('unsupportive', 'supportive')",-1.4902226,-1.5062324,-0.0160098
13,-0.3330657,-0.374976,"('impolite', 'polite')",-0.3330657,-0.374976,-0.0419103
14,-0.24037701,-0.32903334,"('antisocial', 'social')",-0.240377,-0.3290333,-0.0886563
15,0.86193424,0.79186124,"('boring', 'funny')",0.8619342,0.7918612,-0.070073
16,-0.21999872,-0.3249135,"('unpopular', 'popular')",-0.2199987,-0.3249135,-0.1049148
17,-0.42168105,-0.3745478,"('nasty', 'nice')",-0.421681,-0.3745478,0.0471332
18,-0.14999188,-0.19502236,"('disagreeable', 'welcoming')",-0.1499919,-0.1950224,-0.0450305
19,-0.04481502,0.05007182,"('inhospitable', 'hospitable')",-0.044815,0.0500718,0.0948868
20,-0.23278545,-0.24559045,"('rough', 'thoughtful')",-0.2327854,-0.2455904,-0.012805
21,-0.35762537,-0.31255245,"('immoral', 'moral')",-0.3576254,-0.3125525,0.0450729
22,-0.009136982,-0.105587706,"('untrustworthy', 'trustworthy')",-0.009137,-0.1055877,-0.0964507
23,2.8394425,2.8325465,"('insincere', 'sincere')",2.8394425,2.8325465,-0.006896
24,0.5426734,0.52137107,"('dishonest', 'honest')",0.5426734,0.5213711,-0.0213023
25,0.4436888,0.36760214,"('egoistic', 'altruistic')",0.4436888,0.3676021,-0.0760867
