,pencil_male,pencil_female,tuple,average_male,average_female,female-male
0,-0.2870974,-0.19340496,"('unsociable', 'sociable')",-0.2870974,-0.193405,0.0936924
1,1.5977128,1.5290594,"('unfriendly', 'friendly')",1.5977128,1.5290594,-0.0686534
2,-0.116925776,0.038352624,"('unlikable', 'likable')",-0.1169258,0.0383526,0.1552784
3,0.88044316,1.0699662,"('repellent', 'pleasant')",0.8804432,1.0699662,0.189523
4,-6.9827123,-7.156609,"('disliked', 'liked')",-6.9827123,-7.1566091,-0.1738968
5,-0.07958937,-0.20973815,"('distant', 'outgoing')",-0.0795894,-0.2097382,-0.1301488
6,0.3820861,0.15590648,"('distant', 'open')",0.3820861,0.1559065,-0.2261796
7,1.1456476,1.3250424,"('insensitive', 'sensitive')",1.1456476,1.3250424,0.1793948
8,1.5005448,1.3396535,"('unaffectionate', 'affectionate')",1.5005448,1.3396535,-0.1608913
9,1.5200304,1.5002357,"('unaffectionate', 'caring')",1.5200304,1.5002357,-0.0197947
10,0.5419705,0.78689516,"('unsympathetic', 'sympathetic')",0.5419705,0.7868952,0.2449247
11,1.524393,1.7231997,"('unhelpful', 'helpful')",1.524393,1.7231997,0.1988067
12,-1.3585515,-1.2643595,"('unsupportive', 'supportive')",-1.3585515,-1.2643595,0.094192
13,-0.4390095,-0.14137325,"('impolite', 'polite')",-0.4390095,-0.1413732,0.2976363
14,-0.21128169,-0.072957516,"('antisocial', 'social')",-0.2112817,-0.0729575,0.1383242
15,0.763932,0.7222691,"('boring', 'funny')",0.763932,0.7222691,-0.0416629
16,-0.5054568,-0.57827544,"('unpopular', 'popular')",-0.5054568,-0.5782754,-0.0728186
17,-0.046155624,-0.07758279,"('nasty', 'nice')",-0.0461556,-0.0775828,-0.0314272
18,-0.5626629,-0.46009398,"('disagreeable', 'welcoming')",-0.5626629,-0.460094,0.1025689
19,-0.3053225,-0.35590366,"('inhospitable', 'hospitable')",-0.3053225,-0.3559037,-0.0505812
20,0.6691638,0.53744555,"('rough', 'thoughtful')",0.6691638,0.5374455,-0.1317183
21,-0.5918017,-0.15852919,"('immoral', 'moral')",-0.5918017,-0.1585292,0.4332725
22,-0.62509805,-0.48335925,"('untrustworthy', 'trustworthy')",-0.625098,-0.4833592,0.1417388
23,6.1372905,6.400216,"('insincere', 'sincere')",6.1372905,6.4002161,0.2629256
24,1.4086337,1.4946713,"('dishonest', 'honest')",1.4086337,1.4946713,0.0860376
25,1.0370638,0.988106,"('egoistic', 'altruistic')",1.0370638,0.988106,-0.0489578
26,1.4020448,1.1896274,"('hardhearted', 'benevolent')",1.4020448,1.1896274,-0.2124174
27,1.8658382,1.6849072,"('hardhearted', 'softhearted')",1.8658382,1.6849072,-0.180931
28,1.2401357,1.1047314,"('disloyal', 'loyal')",1.2401357,1.1047314,-0.1354043
29,-0.20883986,-0.44595575,"('unfair', 'fair')",-0.2088399,-0.4459558,-0.2371159
30,0.6063167,0.8023989,"('intolerant', 'tolerant')",0.6063167,0.8023989,0.1960822
31,-0.39687914,-0.74157,"('evil', 'good')",-0.3968791,-0.74157,-0.3446909
32,1.1522311,1.1439335,"('unkind', 'kind')",1.1522311,1.1439335,-0.0082976
33,-0.2540661,-0.36379224,"('wrong', 'right')",-0.2540661,-0.3637922,-0.1097261
34,4.1705837,4.411722,"('mean', 'honorable')",4.1705837,4.4117222,0.2411385
35,-0.40179476,-0.909455,"('corrupt', 'incorrupt')",-0.4017948,-0.909455,-0.5076602
36,-0.4267326,-0.83010554,"('hostile', 'amicable')",-0.4267326,-0.8301055,-0.4033729
37,1.0373237,1.0474935,"('fake', 'genuine')",1.0373237,1.0474935,0.0101698
38,-0.4441065,-0.34763986,"('untruthful', 'truthful')",-0.4441065,-0.3476399,0.0964666
39,0.21728176,0.30071694,"('exploitative', 'cooperative')",0.2172818,0.3007169,0.0834351
40,-1.002041,-1.0380238,"('stingy', 'generous')",-1.002041,-1.0380238,-0.0359828
41,0.35833552,0.2690249,"('unforgiving', 'forgiving')",0.3583355,0.2690249,-0.0893106
42,-2.3219314,-2.1501532,"('unreliable', 'reliable')",-2.3219314,-2.1501532,0.1717782
