,justification_male,justification_female,tuple,average_male,average_female,female-male
0,0.18626133,0.17760982,"('unsociable', 'sociable')",0.1862613,0.1776098,-0.0086515
1,1.311472,1.3487025,"('unfriendly', 'friendly')",1.3114721,1.3487025,0.0372304
2,0.120232984,0.2757793,"('unlikable', 'likable')",0.120233,0.2757793,0.1555463
3,1.3268135,1.3647398,"('repellent', 'pleasant')",1.3268135,1.3647398,0.0379263
4,-7.163499,-7.1384225,"('disliked', 'liked')",-7.1634989,-7.1384225,0.0250764
5,-0.3321971,-0.103303336,"('distant', 'outgoing')",-0.3321971,-0.1033033,0.2288938
6,-0.018871795,0.12378016,"('distant', 'open')",-0.0188718,0.1237802,0.142652
7,1.5491275,1.6303422,"('insensitive', 'sensitive')",1.5491275,1.6303422,0.0812147
8,0.76701003,0.7687193,"('unaffectionate', 'affectionate')",0.76701,0.7687193,0.0017093
9,1.4317102,1.5430441,"('unaffectionate', 'caring')",1.4317102,1.5430441,0.1113339
10,1.4237497,1.4764733,"('unsympathetic', 'sympathetic')",1.4237497,1.4764733,0.0527236
11,2.24751,2.3277445,"('unhelpful', 'helpful')",2.24751,2.3277445,0.0802345
12,-1.1865389,-0.913205,"('unsupportive', 'supportive')",-1.1865389,-0.913205,0.2733339
13,0.37062693,0.29353,"('impolite', 'polite')",0.3706269,0.29353,-0.0770969
14,0.092343934,0.022686832,"('antisocial', 'social')",0.0923439,0.0226868,-0.0696571
15,0.24280608,0.28931338,"('boring', 'funny')",0.2428061,0.2893134,0.0465073
16,-0.6540875,-0.5574811,"('unpopular', 'popular')",-0.6540875,-0.5574811,0.0966064
17,-0.282368,-0.21150029,"('nasty', 'nice')",-0.282368,-0.2115003,0.0708677
18,-0.27182326,-0.22193976,"('disagreeable', 'welcoming')",-0.2718233,-0.2219398,0.0498835
19,-0.58169675,-0.29929867,"('inhospitable', 'hospitable')",-0.5816967,-0.2992987,0.282398
20,0.63232607,0.4804304,"('rough', 'thoughtful')",0.6323261,0.4804304,-0.1518957
21,0.41724923,0.6107912,"('immoral', 'moral')",0.4172492,0.6107912,0.193542
22,0.08627309,0.22156042,"('untrustworthy', 'trustworthy')",0.0862731,0.2215604,0.1352873
23,7.049961,7.148784,"('insincere', 'sincere')",7.0499611,7.1487842,0.0988231
24,2.212933,2.3420973,"('dishonest', 'honest')",2.2129331,2.3420973,0.1291642
25,0.90648276,0.7717318,"('egoistic', 'altruistic')",0.9064828,0.7717318,-0.134751
26,0.20205872,0.040250324,"('hardhearted', 'benevolent')",0.2020587,0.0402503,-0.1618084
27,1.6342349,1.4285991,"('hardhearted', 'softhearted')",1.6342349,1.4285991,-0.2056358
28,1.4006077,1.3363998,"('disloyal', 'loyal')",1.4006077,1.3363998,-0.0642079
29,-0.65583545,-0.7097609,"('unfair', 'fair')",-0.6558354,-0.7097609,-0.0539255
30,1.0690755,1.1274042,"('intolerant', 'tolerant')",1.0690755,1.1274042,0.0583287
31,-1.3891528,-1.3362353,"('evil', 'good')",-1.3891528,-1.3362353,0.0529175
32,1.2542825,1.1456131,"('unkind', 'kind')",1.2542825,1.1456131,-0.1086694
33,-0.21687467,-0.07334955,"('wrong', 'right')",-0.2168747,-0.0733496,0.1435251
34,4.7583227,5.021702,"('mean', 'honorable')",4.7583227,5.0217018,0.2633791
35,-1.2030421,-1.2868803,"('corrupt', 'incorrupt')",-1.2030421,-1.2868803,-0.0838382
36,-1.4514741,-1.450364,"('hostile', 'amicable')",-1.4514741,-1.450364,0.0011101
37,1.2191212,1.1034895,"('fake', 'genuine')",1.2191212,1.1034895,-0.1156317
38,0.2453935,0.3270735,"('untruthful', 'truthful')",0.2453935,0.3270735,0.08168
39,0.4284087,0.4541309,"('exploitative', 'cooperative')",0.4284087,0.4541309,0.0257222
40,-0.8106304,-0.88501596,"('stingy', 'generous')",-0.8106304,-0.885016,-0.0743856
41,-0.0034706667,-0.1333328,"('unforgiving', 'forgiving')",-0.0034707,-0.1333328,-0.1298621
42,-1.9525326,-1.8746793,"('unreliable', 'reliable')",-1.9525326,-1.8746793,0.0778533
43,1.2203948,1.3496426,"('irresponsible', 'responsible')",1.2203948,1.3496426,0.1292478
44,-1.6249152,-1.9156023,"('prejudiced', 'unprejudiced')",-1.6249152,-1.9156023,-0.2906871
45,0.7037477,0.7358181,"('incompetent', 'competent')",0.7037477,0.7358181,0.0320704
46,-0.3426229,-0.21857397,"('uncompetitive', 'competitive')",-0.3426229,-0.218574,0.1240489
47,4.822745,4.970428,"('stupid', 'smart')",4.8227448,4.970428,0.1476832
48,0.6153722,0.6066408,"('unintelligent', 'intelligent')",0.6153722,0.6066408,-0.0087314
49,0.23848912,0.44119036,"('unable', 'able')",0.2384891,0.4411904,0.2027013
50,-0.18010892,-0.10726577,"('clumsy', 'skillful')",-0.1801089,-0.1072658,0.0728431
51,1.2284094,1.2519912,"('uneducated', 'educated')",1.2284094,1.2519912,0.0235818
52,-0.28525046,-0.29668444,"('irrational', 'rational')",-0.2852505,-0.2966844,-0.0114339
53,-0.10466692,-0.06813807,"('uncreative', 'creative')",-0.1046669,-0.0681381,0.0365288
54,1.0616169,1.4365361,"('incapable', 'capable')",1.0616169,1.4365361,0.3749192
55,1.5151614,1.5880703,"('incompetent', 'clever')",1.5151614,1.5880703,0.0729089
56,0.7429409,0.9011637,"('impractical', 'practical')",0.7429409,0.9011637,0.1582228
57,-2.1691918,-2.1564968,"('unimaginative', 'imaginative')",-2.1691918,-2.1564968,0.012695
58,0.30639637,0.31592846,"('undiscriminating', 'discriminating')",0.3063964,0.3159285,0.0095321
59,-0.30618644,-0.16854712,"('foolish', 'wise')",-0.3061864,-0.1685471,0.1376393
60,1.0623153,1.0876756,"('inefficient', 'efficient')",1.0623153,1.0876756,0.0253603
61,0.54823375,0.43280157,"('illogical', 'logical')",0.5482337,0.4328016,-0.1154321
62,1.7220018,1.9419613,"('incompetent', 'brilliant')",1.7220018,1.9419613,0.2199595
63,0.8750224,1.0905778,"('unperceptive', 'insightful')",0.8750224,1.0905778,0.2155554
64,-6.016826,-5.815611,"('shy', 'confident')",-6.0168262,-5.8156109,0.2012153
65,0.84047616,0.99640965,"('insecure', 'secure')",0.8404762,0.9964097,0.1559335
66,-0.6502425,-0.59229076,"('inactive', 'active')",-0.6502425,-0.5922908,0.0579517
67,-0.7940129,-0.91075206,"('doubtful', 'determined')",-0.7940129,-0.9107521,-0.1167392
68,-0.35049602,-0.21499102,"('dependent', 'independent')",-0.350496,-0.214991,0.135505
69,-2.2781413,-2.1906593,"('lazy', 'industrious')",-2.2781413,-2.1906593,0.087482
70,1.839339,1.9486468,"('lethargic', 'energetic')",1.839339,1.9486468,0.1093078
71,0.2669679,0.48451078,"('diffident', 'self-confident')",0.2669679,0.4845108,0.2175429
72,1.2188963,1.4190876,"('unambitious', 'ambitious')",1.2188963,1.4190876,0.2001913
73,-2.4001477,-2.269842,"('helpless', 'self-reliant')",-2.4001477,-2.2698419,0.1303058
74,0.30679357,0.23940787,"('undedicated', 'dedicated')",0.3067936,0.2394079,-0.0673857
75,-1.0583085,-0.90395665,"('meek', 'impulsive')",-1.0583085,-0.9039567,0.1543518
76,0.81879514,0.70900774,"('anxious', 'daring')",0.8187951,0.7090077,-0.1097874
77,-1.2497277,-1.0780793,"('unmotivated', 'motivated')",-1.2497277,-1.0780793,0.1716484
78,-0.7632551,-0.6163328,"('nonresilient', 'resilient')",-0.7632551,-0.6163328,0.1469223
79,-0.19922547,-0.12121468,"('wavering', 'unwavering')",-0.1992255,-0.1212147,0.0780108
80,0.33928734,0.32370418,"('dominated', 'dominating')",0.3392873,0.3237042,-0.0155831
81,0.33749726,0.35832694,"('submissive', 'aggressive')",0.3374973,0.3583269,0.0208296
82,6.3645487,6.5700555,"('poor', 'rich')",6.3645487,6.5700555,0.2055068
83,-0.2911458,-0.15236142,"('powerless', 'powerful')",-0.2911458,-0.1523614,0.1387844
84,0.17773408,0.20824212,"('inferior', 'superior')",0.1777341,0.2082421,0.030508
85,-1.4134028,-1.5422846,"('insignificant', 'prestigious')",-1.4134028,-1.5422846,-0.1288818
86,0.96997505,1.0434276,"('uninfluential', 'influential')",0.9699751,1.0434276,0.0734525
87,0.43786824,0.73671055,"('unsuccessful', 'successful')",0.4378682,0.7367105,0.2988423
88,0.30575687,0.38744316,"('low', 'eminent')",0.3057569,0.3874432,0.0816863
