,statistic_male,statistic_female,tuple,average_male,average_female,female-male
0,0.1748392,0.085960224,"('unsociable', 'sociable')",0.1748392,0.0859602,-0.088879
1,1.3550773,1.1484865,"('unfriendly', 'friendly')",1.3550773,1.1484865,-0.2065908
2,0.57160425,0.62464386,"('unlikable', 'likable')",0.5716043,0.6246439,0.0530396
3,-0.9617874,-0.89099103,"('repellent', 'pleasant')",-0.9617874,-0.890991,0.0707964
4,-3.2725618,-3.2377496,"('disliked', 'liked')",-3.2725618,-3.2377496,0.0348122
5,-0.039753743,-0.06256294,"('distant', 'outgoing')",-0.0397537,-0.0625629,-0.0228092
6,-0.16235241,-0.19906938,"('distant', 'open')",-0.1623524,-0.1990694,-0.036717
7,-0.1458714,-0.11979336,"('insensitive', 'sensitive')",-0.1458714,-0.1197934,0.026078
8,0.9294873,0.700798,"('unaffectionate', 'affectionate')",0.9294873,0.700798,-0.2286893
9,0.92806864,0.75150436,"('unaffectionate', 'caring')",0.9280686,0.7515044,-0.1765642
10,-0.8572878,-0.87666667,"('unsympathetic', 'sympathetic')",-0.8572878,-0.8766667,-0.0193789
11,0.25450248,0.24268578,"('unhelpful', 'helpful')",0.2545025,0.2426858,-0.0118167
12,-0.6411787,-0.58089,"('unsupportive', 'supportive')",-0.6411787,-0.58089,0.0602887
13,-0.3040033,-0.31515068,"('impolite', 'polite')",-0.3040033,-0.3151507,-0.0111474
14,-0.08700438,-0.0072845067,"('antisocial', 'social')",-0.0870044,-0.0072845,0.0797199
15,0.6603606,0.5530612,"('boring', 'funny')",0.6603606,0.5530612,-0.1072994
16,-0.8307624,-0.9412306,"('unpopular', 'popular')",-0.8307624,-0.9412306,-0.1104682
17,0.54386604,0.6080783,"('nasty', 'nice')",0.543866,0.6080783,0.0642123
18,-0.036746435,-0.07290132,"('disagreeable', 'welcoming')",-0.0367464,-0.0729013,-0.0361549
19,0.31700474,0.26849565,"('inhospitable', 'hospitable')",0.3170047,0.2684956,-0.0485091
20,0.64443576,0.6690277,"('rough', 'thoughtful')",0.6444358,0.6690277,0.0245919
21,0.28305992,0.36326545,"('immoral', 'moral')",0.2830599,0.3632655,0.0802056
22,-0.40060735,-0.32681835,"('untrustworthy', 'trustworthy')",-0.4006073,-0.3268183,0.073789
23,2.8252013,2.6773086,"('insincere', 'sincere')",2.8252013,2.6773086,-0.1478927
24,0.330701,0.28621197,"('dishonest', 'honest')",0.330701,0.286212,-0.044489
25,1.1209888,0.98356384,"('egoistic', 'altruistic')",1.1209888,0.9835638,-0.137425
26,2.2698345,2.1033947,"('hardhearted', 'benevolent')",2.2698345,2.1033947,-0.1664398
27,0.51957774,0.47762847,"('hardhearted', 'softhearted')",0.5195777,0.4776285,-0.0419492
28,1.1895347,1.0088952,"('disloyal', 'loyal')",1.1895347,1.0088952,-0.1806395
29,-0.91965884,-0.94270253,"('unfair', 'fair')",-0.9196588,-0.9427025,-0.0230437
30,0.4094154,0.43876663,"('intolerant', 'tolerant')",0.4094154,0.4387666,0.0293512
31,-0.9002053,-0.80094856,"('evil', 'good')",-0.9002053,-0.8009486,0.0992567
32,0.6024382,0.4651513,"('unkind', 'kind')",0.6024382,0.4651513,-0.1372869
33,0.41935915,0.32915893,"('wrong', 'right')",0.4193591,0.3291589,-0.0902002
34,2.4592257,2.5315638,"('mean', 'honorable')",2.4592257,2.5315638,0.0723381
35,0.04127749,-0.040249996,"('corrupt', 'incorrupt')",0.0412775,-0.04025,-0.0815275
36,0.3331827,0.18660946,"('hostile', 'amicable')",0.3331827,0.1866095,-0.1465732
37,-0.3542272,-0.37335902,"('fake', 'genuine')",-0.3542272,-0.373359,-0.0191318
38,1.5535917,1.482079,"('untruthful', 'truthful')",1.5535917,1.482079,-0.0715127
39,-0.50026906,-0.42339507,"('exploitative', 'cooperative')",-0.5002691,-0.4233951,0.076874
40,-0.7892287,-0.8751918,"('stingy', 'generous')",-0.7892287,-0.8751918,-0.0859631
41,1.0047854,0.98015344,"('unforgiving', 'forgiving')",1.0047854,0.9801534,-0.024632
42,-1.1700907,-1.0768914,"('unreliable', 'reliable')",-1.1700907,-1.0768914,0.0931993
43,-0.33481076,-0.27313635,"('irresponsible', 'responsible')",-0.3348108,-0.2731363,0.0616745
44,-1.7443684,-1.6176276,"('prejudiced', 'unprejudiced')",-1.7443684,-1.6176276,0.1267408
45,-1.5479237,-1.4458545,"('incompetent', 'competent')",-1.5479237,-1.4458545,0.1020692
46,-0.92283106,-0.8564075,"('uncompetitive', 'competitive')",-0.9228311,-0.8564075,0.0664236
47,1.8461053,1.7934947,"('stupid', 'smart')",1.8461053,1.7934947,-0.0526106
48,0.288001,0.2511354,"('unintelligent', 'intelligent')",0.288001,0.2511354,-0.0368656
49,0.0138650285,0.101129405,"('unable', 'able')",0.013865,0.1011294,0.0872644
50,-0.16447297,-0.21949826,"('clumsy', 'skillful')",-0.164473,-0.2194983,-0.0550253
51,-0.8530919,-0.910383,"('uneducated', 'educated')",-0.8530919,-0.910383,-0.0572911
52,0.45249632,0.29005507,"('irrational', 'rational')",0.4524963,0.2900551,-0.1624412
53,0.7245607,0.4634888,"('uncreative', 'creative')",0.7245607,0.4634888,-0.2610719
54,0.6766083,0.583343,"('incapable', 'capable')",0.6766083,0.583343,-0.0932653
55,-1.063838,-0.96289,"('incompetent', 'clever')",-1.063838,-0.96289,0.100948
56,1.0638838,1.1020509,"('impractical', 'practical')",1.0638838,1.1020509,0.0381671
57,-2.2217178,-2.2623045,"('unimaginative', 'imaginative')",-2.2217178,-2.2623045,-0.0405867
58,0.83009994,0.7722044,"('undiscriminating', 'discriminating')",0.8300999,0.7722044,-0.0578955
59,-0.13826498,-0.17689106,"('foolish', 'wise')",-0.138265,-0.1768911,-0.0386261
60,-0.046067536,0.07208141,"('inefficient', 'efficient')",-0.0460675,0.0720814,0.1181489
61,0.5709737,0.46038318,"('illogical', 'logical')",0.5709737,0.4603832,-0.1105905
62,-1.0953519,-0.93424034,"('incompetent', 'brilliant')",-1.0953519,-0.9342403,0.1611116
63,0.1491732,0.14923647,"('unperceptive', 'insightful')",0.1491732,0.1492365,6.33e-05
64,-3.4531114,-3.222286,"('shy', 'confident')",-3.4531114,-3.222286,0.2308254
65,-0.79092026,-0.70054525,"('insecure', 'secure')",-0.7909203,-0.7005453,0.090375
66,-0.58752203,-0.5925078,"('inactive', 'active')",-0.587522,-0.5925078,-0.0049858
67,-0.037387673,0.013518363,"('doubtful', 'determined')",-0.0373877,0.0135184,0.0509061
68,-0.6487594,-0.59393334,"('dependent', 'independent')",-0.6487594,-0.5939333,0.0548261
69,0.10959842,0.099264406,"('lazy', 'industrious')",0.1095984,0.0992644,-0.010334
70,-1.5424834,-1.4868438,"('lethargic', 'energetic')",-1.5424834,-1.4868438,0.0556396
71,1.0725061,1.1128889,"('diffident', 'self-confident')",1.0725061,1.1128889,0.0403828
72,0.409294,0.3732101,"('unambitious', 'ambitious')",0.409294,0.3732101,-0.0360839
73,-0.9199464,-0.9031511,"('helpless', 'self-reliant')",-0.9199464,-0.9031511,0.0167953
74,-0.12652592,-0.1253872,"('undedicated', 'dedicated')",-0.1265259,-0.1253872,0.0011387
75,-0.66009206,-0.639432,"('meek', 'impulsive')",-0.6600921,-0.639432,0.0206601
76,-1.5092844,-1.4644879,"('anxious', 'daring')",-1.5092844,-1.4644879,0.0447965
77,-0.97279453,-0.8810162,"('unmotivated', 'motivated')",-0.9727945,-0.8810162,0.0917783
78,-0.14984348,-0.11859041,"('nonresilient', 'resilient')",-0.1498435,-0.1185904,0.0312531
79,0.21712871,0.17941134,"('wavering', 'unwavering')",0.2171287,0.1794113,-0.0377174
80,-0.4172403,-0.33159554,"('dominated', 'dominating')",-0.4172403,-0.3315955,0.0856448
81,-1.1992643,-1.1522696,"('submissive', 'aggressive')",-1.1992643,-1.1522696,0.0469947
82,0.8187914,0.696288,"('poor', 'rich')",0.8187914,0.696288,-0.1225034
83,0.84988976,0.84958786,"('powerless', 'powerful')",0.8498898,0.8495879,-0.0003019
84,0.3901516,0.3397245,"('inferior', 'superior')",0.3901516,0.3397245,-0.0504271
85,0.6812585,0.59616524,"('insignificant', 'prestigious')",0.6812585,0.5961652,-0.0850933
86,-0.74383473,-0.85451543,"('uninfluential', 'influential')",-0.7438347,-0.8545154,-0.1106807
87,-0.54099965,-0.49360934,"('unsuccessful', 'successful')",-0.5409997,-0.4936093,0.0473904
88,-0.53564763,-0.5681532,"('low', 'eminent')",-0.5356476,-0.5681532,-0.0325056
