,site_male,site_female,tuple,centers_male,centers_female,corp_male,corp_female,average_male,average_female,female-male
0,0.4419513,0.44198397,"('unsociable', 'sociable')",1.5074451,1.5936066,-0.17765728,-0.23356687,0.5905797,0.6006746,0.0100949
1,-0.8631378,-0.97842896,"('unfriendly', 'friendly')",-0.35049614,-0.5061825,1.6389749,1.5141395,0.1417803,0.0098427,-0.1319376
2,0.15667361,0.17729962,"('unlikable', 'likable')",0.5340273,0.6072875,0.46720618,0.43850705,0.385969,0.4076981,0.0217291
3,-0.03439179,0.10543322,"('repellent', 'pleasant')",0.5770065,0.7947906,0.9490188,0.9977556,0.4972111,0.6326598,0.1354487
4,-1.5988868,-1.5545863,"('disliked', 'liked')",-0.87671524,-0.8631455,-7.6004953,-7.7477736,-3.3586992,-3.3885018,-0.0298026
5,-2.1321995,-2.1492038,"('distant', 'outgoing')",-0.779569,-0.8540031,-0.42673555,-0.49360293,-1.1128347,-1.1656032,-0.0527685
6,-2.0600717,-2.108703,"('distant', 'open')",-0.97951627,-1.0581412,0.061109103,0.008521112,-0.9928263,-1.0527743,-0.059948
7,1.6645187,1.6834176,"('insensitive', 'sensitive')",1.8539819,2.094232,0.6507318,0.7506062,1.3897441,1.5094186,0.1196745
8,-0.5551616,-0.6718551,"('unaffectionate', 'affectionate')",-0.42963228,-0.55796933,1.3572377,1.3148135,0.1241479,0.0283297,-0.0958182
9,0.20278269,0.1369637,"('unaffectionate', 'caring')",0.9128889,0.9107054,1.7368224,1.7993249,0.9508313,0.948998,-0.0018333
10,1.3381792,1.3874174,"('unsympathetic', 'sympathetic')",1.2798258,1.5430356,-0.08101887,0.15585205,0.845662,1.0287684,0.1831064
11,1.4614999,1.530177,"('unhelpful', 'helpful')",2.1046827,2.271528,1.6712333,1.8519145,1.7458053,1.8845398,0.1387345
12,1.705722,1.7671441,"('unsupportive', 'supportive')",2.1760273,2.4457695,-2.0038886,-1.9206984,0.6259535,0.7640717,0.1381182
13,1.1826158,1.1565409,"('impolite', 'polite')",0.64519894,0.7254535,-0.7490469,-0.5936152,0.3595893,0.4294597,0.0698704
14,2.3608491,2.409091,"('antisocial', 'social')",2.1628358,2.3508458,-0.19232893,-0.19843556,1.4437853,1.5205003,0.076715
15,-0.11210428,-0.23302718,"('boring', 'funny')",0.08374338,-0.09908426,0.21829285,0.17025615,0.0633106,-0.0539518,-0.1172624
16,-1.1487917,-1.2469683,"('unpopular', 'popular')",-0.5666894,-0.56633466,-0.14465469,-0.17354214,-0.6200453,-0.6622817,-0.0422364
17,-0.25909963,-0.1933614,"('nasty', 'nice')",-0.25434667,-0.19166668,-0.3365638,-0.24431267,-0.2833367,-0.2097803,0.0735564
18,-0.42642993,-0.43639773,"('disagreeable', 'welcoming')",0.27255058,0.37937406,-0.58568114,-0.6471753,-0.2465202,-0.234733,0.0117872
19,-2.0169985,-2.0181918,"('inhospitable', 'hospitable')",-1.3063514,-1.3084878,-0.5323096,-0.5492808,-1.2852198,-1.2919869,-0.0067671
20,0.69481856,0.64704335,"('rough', 'thoughtful')",0.016178193,0.07186738,0.67144454,0.5463002,0.4608138,0.421737,-0.0390768
21,1.4720455,1.5575867,"('immoral', 'moral')",1.6296622,1.8632722,-0.5579421,-0.39798015,0.8479218,1.0076262,0.1597044
22,0.7087832,0.7474066,"('untrustworthy', 'trustworthy')",1.7499436,1.8297378,-0.366602,-0.36046222,0.697375,0.7388941,0.0415191
23,1.467536,1.4344016,"('insincere', 'sincere')",1.4089274,1.5460658,6.23891,6.3992314,3.0384579,3.1265663,0.0881084
24,1.1538385,1.1526392,"('dishonest', 'honest')",0.5975626,0.6824492,0.8421548,0.8910746,0.8645186,0.908721,0.0442024
25,0.07102142,0.05255367,"('egoistic', 'altruistic')",0.11648857,-0.04338052,1.4728348,1.353595,0.5534483,0.4542561,-0.0991922
26,0.6499333,0.5763725,"('hardhearted', 'benevolent')",0.9120511,0.8957449,1.6182883,1.4472332,1.0600909,0.9731169,-0.086974
27,0.15689598,0.0835091,"('hardhearted', 'softhearted')",1.1381459,1.250371,1.6023315,1.4802293,0.9657911,0.9380364,-0.0277547
28,0.7954559,0.65282094,"('disloyal', 'loyal')",0.13235894,0.01192336,1.1903226,1.133906,0.7060458,0.5995501,-0.1064957
29,-0.4388364,-0.56264156,"('unfair', 'fair')",-0.59565467,-0.59053653,-0.40119284,-0.6179371,-0.4785613,-0.5903717,-0.1118104
30,1.3625418,1.3797526,"('intolerant', 'tolerant')",1.6426324,1.8490083,0.41193298,0.50101584,1.1390357,1.243259,0.1042233
31,-2.0330343,-2.0992303,"('evil', 'good')",-1.4014553,-1.5529057,-0.5107268,-0.6897323,-1.3150722,-1.4472895,-0.1322173
32,0.6381589,0.63053167,"('unkind', 'kind')",1.3457731,1.4401033,1.1778479,1.1373564,1.0539266,1.0693304,0.0154038
33,0.9990605,0.8783473,"('wrong', 'right')",0.44251737,0.33603492,-0.11879339,-0.25330123,0.4409282,0.3203603,-0.1205679
34,0.15813398,0.24302095,"('mean', 'honorable')",-0.19211572,0.07184254,5.3508596,5.5398235,1.7722926,1.9515624,0.1792698
35,-1.0567013,-1.2534472,"('corrupt', 'incorrupt')",-1.569382,-1.8982471,-0.45164678,-0.6929529,-1.0259101,-1.2815491,-0.255639
36,-2.1892412,-2.3376806,"('hostile', 'amicable')",-2.2124307,-2.434844,-0.18236229,-0.37360176,-1.5280113,-1.7153756,-0.1873643
37,0.03398351,0.043894634,"('fake', 'genuine')",-0.09112122,0.015729014,0.40868378,0.41963375,0.117182,0.1597525,0.0425705
38,0.55213356,0.52944213,"('untruthful', 'truthful')",0.24347435,0.27649802,-0.4509699,-0.34129453,0.1148793,0.1548819,0.0400026
