,conference_male,conference_female,tuple,average_male,average_female,female-male
0,1.0624284,0.8495579,"('unsociable', 'sociable')",1.0624284,0.8495579,-0.2128705
1,1.324015,1.3738819,"('unfriendly', 'friendly')",1.324015,1.3738819,0.0498669
2,0.60738534,0.6763856,"('unlikable', 'likable')",0.6073853,0.6763856,0.0690003
3,0.9135118,0.88683534,"('repellent', 'pleasant')",0.9135118,0.8868353,-0.0266765
4,-6.609392,-6.5807734,"('disliked', 'liked')",-6.6093922,-6.5807734,0.0286188
5,-0.702646,-0.5847584,"('distant', 'outgoing')",-0.702646,-0.5847584,0.1178876
6,-0.27613562,-0.17015937,"('distant', 'open')",-0.2761356,-0.1701594,0.1059762
7,1.0883814,1.0804409,"('insensitive', 'sensitive')",1.0883814,1.0804409,-0.0079405
8,0.08536622,0.08856574,"('unaffectionate', 'affectionate')",0.0853662,0.0885657,0.0031995
9,1.4186877,1.4491471,"('unaffectionate', 'caring')",1.4186877,1.4491471,0.0304594
10,0.86769634,0.79525113,"('unsympathetic', 'sympathetic')",0.8676963,0.7952511,-0.0724452
11,2.4389324,2.3947566,"('unhelpful', 'helpful')",2.4389324,2.3947566,-0.0441758
12,-1.2559079,-1.2445966,"('unsupportive', 'supportive')",-1.2559079,-1.2445966,0.0113113
13,1.115087,0.9590512,"('impolite', 'polite')",1.115087,0.9590512,-0.1560358
14,0.9937336,0.8944716,"('antisocial', 'social')",0.9937336,0.8944716,-0.099262
15,0.76102173,0.6942252,"('boring', 'funny')",0.7610217,0.6942252,-0.0667965
16,0.038135905,0.09127898,"('unpopular', 'popular')",0.0381359,0.091279,0.0531431
17,-0.24414727,-0.26092526,"('nasty', 'nice')",-0.2441473,-0.2609253,-0.016778
18,-0.116532594,-0.12137494,"('disagreeable', 'welcoming')",-0.1165326,-0.1213749,-0.0048423
19,-1.335143,-1.2900918,"('inhospitable', 'hospitable')",-1.335143,-1.2900918,0.0450512
20,1.0758175,1.0074804,"('rough', 'thoughtful')",1.0758175,1.0074804,-0.0683371
21,0.7470888,0.7025691,"('immoral', 'moral')",0.7470888,0.7025691,-0.0445197
22,0.81601316,0.78224003,"('untrustworthy', 'trustworthy')",0.8160132,0.78224,-0.0337732
23,6.296175,6.27057,"('insincere', 'sincere')",6.296175,6.2705698,-0.0256052
24,1.4942799,1.4879091,"('dishonest', 'honest')",1.4942799,1.4879091,-0.0063708
25,0.49104548,0.4791266,"('egoistic', 'altruistic')",0.4910455,0.4791266,-0.0119189
26,1.542796,1.4879913,"('hardhearted', 'benevolent')",1.542796,1.4879913,-0.0548047
