,deck_male,deck_female,tuple,average_male,average_female,female-male
0,0.10690218,0.14780918,"('unsociable', 'sociable')",0.1069022,0.1478092,0.040907
1,2.027458,1.7433755,"('unfriendly', 'friendly')",2.027458,1.7433755,-0.2840825
2,0.5072408,0.5308714,"('unlikable', 'likable')",0.5072408,0.5308714,0.0236306
3,1.0666834,1.0313429,"('repellent', 'pleasant')",1.0666834,1.0313429,-0.0353405
4,-7.0558643,-7.190086,"('disliked', 'liked')",-7.0558643,-7.1900859,-0.1342216
5,0.045479063,-0.14538604,"('distant', 'outgoing')",0.0454791,-0.145386,-0.1908651
6,0.5668854,0.36004323,"('distant', 'open')",0.5668854,0.3600432,-0.2068422
7,1.4060144,1.4397929,"('insensitive', 'sensitive')",1.4060144,1.4397929,0.0337785
8,1.301183,1.1828548,"('unaffectionate', 'affectionate')",1.301183,1.1828548,-0.1183282
9,1.9407895,1.9322699,"('unaffectionate', 'caring')",1.9407895,1.9322699,-0.0085196
10,0.8041994,0.9279333,"('unsympathetic', 'sympathetic')",0.8041994,0.9279333,0.1237339
11,1.7316809,1.8532515,"('unhelpful', 'helpful')",1.7316809,1.8532515,0.1215706
12,-0.9289993,-0.8721257,"('unsupportive', 'supportive')",-0.9289993,-0.8721257,0.0568736
13,0.0050374866,0.040401988,"('impolite', 'polite')",0.0050375,0.040402,0.0353645
14,-0.123335116,0.051315613,"('antisocial', 'social')",-0.1233351,0.0513156,0.1746507
15,0.53587717,0.5166157,"('boring', 'funny')",0.5358772,0.5166157,-0.0192615
16,-0.5030461,-0.5857733,"('unpopular', 'popular')",-0.5030461,-0.5857733,-0.0827272
17,0.056078993,0.090409204,"('nasty', 'nice')",0.056079,0.0904092,0.0343302
18,-0.12602547,-0.17192608,"('disagreeable', 'welcoming')",-0.1260255,-0.1719261,-0.0459006
19,-0.08030773,-0.117223434,"('inhospitable', 'hospitable')",-0.0803077,-0.1172234,-0.0369157
20,0.3668183,0.17140405,"('rough', 'thoughtful')",0.3668183,0.171404,-0.1954143
21,-0.119031,0.17935993,"('immoral', 'moral')",-0.119031,0.1793599,0.2983909
22,-0.18157963,-0.05376157,"('untrustworthy', 'trustworthy')",-0.1815796,-0.0537616,0.127818
23,7.0383687,7.1587944,"('insincere', 'sincere')",7.0383687,7.1587944,0.1204257
24,2.0100472,2.0682662,"('dishonest', 'honest')",2.0100472,2.0682662,0.058219
25,0.9827397,0.8165969,"('egoistic', 'altruistic')",0.9827397,0.8165969,-0.1661428
26,0.5437041,0.47451538,"('hardhearted', 'benevolent')",0.5437041,0.4745154,-0.0691887
27,1.9398893,1.629849,"('hardhearted', 'softhearted')",1.9398893,1.629849,-0.3100403
28,1.0656501,1.0261153,"('disloyal', 'loyal')",1.0656501,1.0261153,-0.0395348
29,-0.030402929,-0.10416782,"('unfair', 'fair')",-0.0304029,-0.1041678,-0.0737649
30,0.6759469,0.79769695,"('intolerant', 'tolerant')",0.6759469,0.7976969,0.12175
31,-0.99877656,-1.2228665,"('evil', 'good')",-0.9987766,-1.2228665,-0.2240899
32,1.3034518,1.1974851,"('unkind', 'kind')",1.3034518,1.1974851,-0.1059667
