,interaction_male,interaction_female,tuple,average_male,average_female,female-male
0,0.36497957,0.31461072,"('unsociable', 'sociable')",0.3649796,0.3146107,-0.0503689
1,1.3692669,1.310938,"('unfriendly', 'friendly')",1.3692669,1.310938,-0.0583289
2,0.7304408,0.821747,"('unlikable', 'likable')",0.7304408,0.821747,0.0913062
3,1.1094956,1.2850999,"('repellent', 'pleasant')",1.1094956,1.2850999,0.1756043
4,-6.9713707,-6.8643346,"('disliked', 'liked')",-6.9713707,-6.8643346,0.1070361
5,-0.15728301,-0.10618601,"('distant', 'outgoing')",-0.157283,-0.106186,0.051097
6,-0.09175973,-0.028615698,"('distant', 'open')",-0.0917597,-0.0286157,0.063144
7,1.6464958,1.6323956,"('insensitive', 'sensitive')",1.6464958,1.6323956,-0.0141002
8,0.9413311,0.8522624,"('unaffectionate', 'affectionate')",0.9413311,0.8522624,-0.0890687
9,1.38518,1.3815404,"('unaffectionate', 'caring')",1.38518,1.3815404,-0.0036396
10,1.6851546,1.7108986,"('unsympathetic', 'sympathetic')",1.6851546,1.7108986,0.025744
11,2.377502,2.3590431,"('unhelpful', 'helpful')",2.377502,2.3590431,-0.0184589
12,-0.71824336,-0.72478503,"('unsupportive', 'supportive')",-0.7182434,-0.724785,-0.0065416
13,0.5100879,0.48236498,"('impolite', 'polite')",0.5100879,0.482365,-0.0277229
14,0.45638713,0.3708824,"('antisocial', 'social')",0.4563871,0.3708824,-0.0855047
15,0.22986501,0.25127786,"('boring', 'funny')",0.229865,0.2512779,0.0214129
16,-0.66441846,-0.56547105,"('unpopular', 'popular')",-0.6644185,-0.5654711,0.0989474
17,-0.14688316,-0.071600184,"('nasty', 'nice')",-0.1468832,-0.0716002,0.075283
18,-0.19612125,-0.19855458,"('disagreeable', 'welcoming')",-0.1961212,-0.1985546,-0.0024334
19,-0.23404677,-0.15966645,"('inhospitable', 'hospitable')",-0.2340468,-0.1596664,0.0743804
20,0.80241704,0.69898254,"('rough', 'thoughtful')",0.802417,0.6989825,-0.1034345
21,0.5985822,0.65176296,"('immoral', 'moral')",0.5985822,0.651763,0.0531808
22,0.28293335,0.1929351,"('untrustworthy', 'trustworthy')",0.2829334,0.1929351,-0.0899983
23,6.7986403,6.7976294,"('insincere', 'sincere')",6.7986403,6.7976294,-0.0010109
24,2.2559664,2.233816,"('dishonest', 'honest')",2.2559664,2.2338159,-0.0221505
25,0.31602597,0.22037303,"('egoistic', 'altruistic')",0.316026,0.220373,-0.095653
26,-0.050421923,-0.053357594,"('hardhearted', 'benevolent')",-0.0504219,-0.0533576,-0.0029357
27,1.4805244,1.3520267,"('hardhearted', 'softhearted')",1.4805244,1.3520267,-0.1284977
28,1.2201179,1.2550366,"('disloyal', 'loyal')",1.2201179,1.2550366,0.0349187
29,-0.11183169,-0.2055708,"('unfair', 'fair')",-0.1118317,-0.2055708,-0.0937391
30,1.3163817,1.1737536,"('intolerant', 'tolerant')",1.3163817,1.1737536,-0.1426281
31,-1.5541807,-1.5181359,"('evil', 'good')",-1.5541807,-1.5181359,0.0360448
32,1.3442441,1.241164,"('unkind', 'kind')",1.3442441,1.241164,-0.1030801
33,-0.5723268,-0.59411955,"('wrong', 'right')",-0.5723268,-0.5941195,-0.0217927
34,4.4832273,4.6248727,"('mean', 'honorable')",4.4832273,4.6248727,0.1416454
35,-1.1392552,-1.1760627,"('corrupt', 'incorrupt')",-1.1392552,-1.1760627,-0.0368075
36,-1.2394558,-1.2551147,"('hostile', 'amicable')",-1.2394558,-1.2551147,-0.0156589
37,0.9603669,0.9732487,"('fake', 'genuine')",0.9603669,0.9732487,0.0128818
38,0.36731476,0.260858,"('untruthful', 'truthful')",0.3673148,0.260858,-0.1064568
39,0.030122528,0.018472292,"('exploitative', 'cooperative')",0.0301225,0.0184723,-0.0116502
40,-1.0203998,-1.0261619,"('stingy', 'generous')",-1.0203998,-1.0261619,-0.0057621
41,0.0017662421,-0.07380529,"('unforgiving', 'forgiving')",0.0017662,-0.0738053,-0.0755715
42,-1.3074023,-1.2823322,"('unreliable', 'reliable')",-1.3074023,-1.2823322,0.0250701
43,1.7377372,1.6259544,"('irresponsible', 'responsible')",1.7377372,1.6259544,-0.1117828
44,-1.2765433,-1.4088575,"('prejudiced', 'unprejudiced')",-1.2765433,-1.4088575,-0.1323142
45,0.78003794,0.8787657,"('incompetent', 'competent')",0.7800379,0.8787657,0.0987278
46,0.026691828,0.062837295,"('uncompetitive', 'competitive')",0.0266918,0.0628373,0.0361455
47,5.337225,5.477446,"('stupid', 'smart')",5.337225,5.4774461,0.1402211
48,1.2389612,1.1855906,"('unintelligent', 'intelligent')",1.2389612,1.1855906,-0.0533706
49,0.36174524,0.52817464,"('unable', 'able')",0.3617452,0.5281746,0.1664294
50,0.26101726,0.40746942,"('clumsy', 'skillful')",0.2610173,0.4074694,0.1464521
51,1.1375152,1.1471126,"('uneducated', 'educated')",1.1375152,1.1471126,0.0095974
52,-0.70692414,-0.6344834,"('irrational', 'rational')",-0.7069241,-0.6344834,0.0724407
53,0.4673249,0.47776318,"('uncreative', 'creative')",0.4673249,0.4777632,0.0104383
54,1.3794254,1.4977816,"('incapable', 'capable')",1.3794254,1.4977816,0.1183562
55,1.3795494,1.3813459,"('incompetent', 'clever')",1.3795494,1.3813459,0.0017965
56,1.1600989,1.2015005,"('impractical', 'practical')",1.1600989,1.2015005,0.0414016
57,-2.1250634,-2.032363,"('unimaginative', 'imaginative')",-2.1250634,-2.0323629,0.0927005
58,-0.17973651,-0.15483505,"('undiscriminating', 'discriminating')",-0.1797365,-0.154835,0.0249015
59,-0.028500766,0.13285519,"('foolish', 'wise')",-0.0285008,0.1328552,0.161356
60,1.1545333,1.1225711,"('inefficient', 'efficient')",1.1545333,1.1225711,-0.0319622
61,0.5291877,0.45110613,"('illogical', 'logical')",0.5291877,0.4511061,-0.0780816
62,2.0831847,2.129934,"('incompetent', 'brilliant')",2.0831847,2.1299341,0.0467494
63,1.40287,1.4993284,"('unperceptive', 'insightful')",1.4028701,1.4993284,0.0964583
64,-4.967592,-4.9182544,"('shy', 'confident')",-4.9675918,-4.9182544,0.0493374
65,1.4059709,1.3631988,"('insecure', 'secure')",1.4059709,1.3631988,-0.0427721
66,-0.13609925,-0.087317586,"('inactive', 'active')",-0.1360992,-0.0873176,0.0487816
67,-0.78736395,-0.7038474,"('doubtful', 'determined')",-0.7873639,-0.7038474,0.0835165
68,-0.05251152,-0.0096630715,"('dependent', 'independent')",-0.0525115,-0.0096631,0.0428484
69,-1.6257126,-1.6465592,"('lazy', 'industrious')",-1.6257126,-1.6465592,-0.0208466
70,2.0098157,2.0112264,"('lethargic', 'energetic')",2.0098157,2.0112264,0.0014107
71,0.5618366,0.72754836,"('diffident', 'self-confident')",0.5618366,0.7275484,0.1657118
72,1.1152794,1.0655346,"('unambitious', 'ambitious')",1.1152794,1.0655346,-0.0497448
73,-2.904701,-2.8050117,"('helpless', 'self-reliant')",-2.904701,-2.8050117,0.0996893
74,0.36492655,0.3153499,"('undedicated', 'dedicated')",0.3649265,0.3153499,-0.0495766
75,-0.8111436,-0.7351098,"('meek', 'impulsive')",-0.8111436,-0.7351098,0.0760338
76,1.1033846,1.0603545,"('anxious', 'daring')",1.1033846,1.0603545,-0.0430301
77,-0.7095891,-0.7361694,"('unmotivated', 'motivated')",-0.7095891,-0.7361694,-0.0265803
78,-0.13841575,-0.16746815,"('nonresilient', 'resilient')",-0.1384158,-0.1674681,-0.0290523
79,-0.2996745,-0.17032526,"('wavering', 'unwavering')",-0.2996745,-0.1703253,0.1293492
80,0.3998534,0.37108082,"('dominated', 'dominating')",0.3998534,0.3710808,-0.0287726
81,0.73069435,0.74379075,"('submissive', 'aggressive')",0.7306944,0.7437907,0.0130963
82,6.2669005,6.4897876,"('poor', 'rich')",6.2669005,6.4897876,0.2228871
83,-0.20169343,-0.24560775,"('powerless', 'powerful')",-0.2016934,-0.2456077,-0.0439143
