,lockheed_male,lockheed_female,tuple,martin_male,martin_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.96315444,-1.1135739,"('unsociable', 'sociable')",-0.63360554,-0.8864059,-0.6085043,-0.7239856,-0.7350881,-0.9079885,-0.1729004
1,0.5056689,0.458262,"('unfriendly', 'friendly')",0.1545179,-0.03063061,0.8260562,0.634189,0.4954143,0.3539401,-0.1414742
2,0.78195894,0.79564923,"('unlikable', 'likable')",0.5944714,0.5743777,1.0254022,1.0137064,0.8006109,0.7945778,-0.0060331
3,-1.301803,-1.1800205,"('repellent', 'pleasant')",-0.72198313,-0.71549463,0.4010625,0.42582762,-0.5409079,-0.4898958,0.0510121
4,-0.13553649,-0.27488738,"('disliked', 'liked')",0.3164412,0.28448036,-5.0924797,-5.364872,-1.6371916,-1.785093,-0.1479014
5,0.05806036,0.1515683,"('distant', 'outgoing')",0.037496284,0.13368322,-0.6069486,-0.58396846,-0.170464,-0.0995723,0.0708917
6,-0.29683688,-0.09134124,"('distant', 'open')",-0.62434554,-0.5078041,-0.9361058,-0.9068366,-0.619096,-0.501994,0.117102
7,-0.15788804,-0.106167406,"('insensitive', 'sensitive')",-1.0702791,-1.1116912,-0.1722566,-0.10946074,-0.4668079,-0.4424398,0.0243681
8,0.5000511,0.5104665,"('unaffectionate', 'affectionate')",0.10738085,0.016630348,0.008777611,-0.07029934,0.2054032,0.1522658,-0.0531374
9,0.7274737,0.8283722,"('unaffectionate', 'caring')",0.6834473,0.62307733,0.71021545,0.6637615,0.7070455,0.7050703,-0.0019752
10,-1.4811442,-1.5124476,"('unsympathetic', 'sympathetic')",-1.5026885,-1.6812152,-1.0475395,-1.1231328,-1.3437907,-1.4389318,-0.0951411
11,0.4429639,0.41421416,"('unhelpful', 'helpful')",0.27976868,0.22633363,2.0640242,2.0858366,0.9289189,0.9087948,-0.0201241
12,0.4312102,0.5106568,"('unsupportive', 'supportive')",0.042548336,0.04566982,-1.9271436,-1.9229833,-0.4844617,-0.4555523,0.0289094
13,-0.8502138,-0.96651554,"('impolite', 'polite')",-1.0816089,-1.2597319,-0.9925049,-0.88621414,-0.9747759,-1.0374872,-0.0627113
14,-0.98112416,-1.0602177,"('antisocial', 'social')",-0.4826281,-0.60575074,-0.07102266,-0.05898432,-0.5115916,-0.5749842,-0.0633926
15,0.96486676,0.7862817,"('boring', 'funny')",-0.2207198,-0.24096988,0.08030307,0.12298533,0.2748167,0.2227657,-0.052051
16,0.22641337,0.19146237,"('unpopular', 'popular')",0.7227557,0.72061396,0.9543267,0.81287473,0.6344986,0.5749837,-0.0595149
17,-0.64990085,-0.6059897,"('nasty', 'nice')",-0.045195848,0.019573616,-0.059345447,0.07440735,-0.2514807,-0.1706696,0.0808111
18,-0.16897497,-0.1504037,"('disagreeable', 'welcoming')",-0.3510229,-0.39059997,-1.0003966,-1.0471869,-0.5067981,-0.5293969,-0.0225988
19,-0.10082951,-0.11010818,"('inhospitable', 'hospitable')",-0.2679854,-0.3135134,-0.33174178,-0.38648564,-0.2335189,-0.2700357,-0.0365168
20,-0.055171825,0.013962746,"('rough', 'thoughtful')",0.41908166,0.46291378,0.71339023,0.70088035,0.3591,0.3925856,0.0334856
21,-0.55113626,-0.6799575,"('immoral', 'moral')",-0.64659137,-0.7679185,-0.8832411,-0.8360991,-0.6936563,-0.761325,-0.0676687
22,-0.5327779,-0.5294028,"('untrustworthy', 'trustworthy')",-0.95095485,-0.9864566,-1.2065463,-1.1088867,-0.8967597,-0.8749154,0.0218443
23,0.27899057,0.29644185,"('insincere', 'sincere')",-0.22341532,-0.424289,4.8476257,4.899617,1.6344004,1.59059,-0.0438104
24,-0.5728557,-0.5116009,"('dishonest', 'honest')",-0.9380105,-1.0445995,0.20234494,0.20837055,-0.4361738,-0.4492766,-0.0131028
25,0.95583045,0.9749578,"('egoistic', 'altruistic')",0.8161989,0.8325789,0.9418502,0.90455705,0.9046265,0.9040313,-0.0005952
26,0.68641424,0.6749163,"('hardhearted', 'benevolent')",0.014607126,-0.08302303,1.2576686,1.1171163,0.6528966,0.5696699,-0.0832267
27,-1.0582223,-0.8892084,"('hardhearted', 'softhearted')",-1.4262816,-1.3150187,0.0022543408,0.10053333,-0.8274165,-0.7012312,0.1261853
28,0.09601125,-0.021540057,"('disloyal', 'loyal')",-0.22812814,-0.48839366,0.5888366,0.4110689,0.1522399,-0.0329549,-0.1851948
29,-0.041545108,-0.03561285,"('unfair', 'fair')",-0.24511723,-0.30515987,-0.32985392,-0.41011378,-0.2055054,-0.2502955,-0.0447901
