,hess_male,hess_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.8537201,0.5464586,"('unsociable', 'sociable')",-0.03246594,-0.1281986,0.4106271,0.20913,-0.2014971
1,-0.14608556,-0.31600428,"('unfriendly', 'friendly')",0.8327469,0.6437947,0.3433307,0.1638952,-0.1794355
2,1.0398374,0.96557945,"('unlikable', 'likable')",0.52292997,0.35639843,0.7813836,0.6609889,-0.1203947
3,-0.053605802,0.077303946,"('repellent', 'pleasant')",0.7245427,0.76286536,0.3354684,0.4200847,0.0846163
4,-0.9448097,-0.89318806,"('disliked', 'liked')",-6.61629,-6.7623315,-3.78055,-3.8277597,-0.0472097
5,-0.91834587,-1.0618923,"('distant', 'outgoing')",-0.6813706,-0.7259555,-0.7998582,-0.8939239,-0.0940657
6,-0.9057196,-0.9866334,"('distant', 'open')",-0.7154139,-0.7781011,-0.8105668,-0.8823673,-0.0718005
7,0.88242906,1.0238645,"('insensitive', 'sensitive')",0.33650228,0.4493975,0.6094657,0.736631,0.1271653
8,-0.25345182,-0.31268874,"('unaffectionate', 'affectionate')",0.24732296,0.09129192,-0.0030644,-0.1106984,-0.107634
9,0.37590387,0.34048608,"('unaffectionate', 'caring')",0.67071176,0.6247739,0.5233078,0.48263,-0.0406778
10,0.3172497,0.1409041,"('unsympathetic', 'sympathetic')",-0.44427174,-0.4295814,-0.063511,-0.1443387,-0.0808277
11,0.3830023,0.36219168,"('unhelpful', 'helpful')",1.8718028,1.9323599,1.1274025,1.1472758,0.0198733
12,0.5100925,0.5342198,"('unsupportive', 'supportive')",-1.9157317,-1.9208676,-0.7028196,-0.6933239,0.0094957
13,-0.052766144,-0.20602015,"('impolite', 'polite')",-0.75585425,-0.7536651,-0.4043102,-0.4798426,-0.0755324
14,1.6362574,1.457405,"('antisocial', 'social')",0.3791507,0.33104545,1.007704,0.8942252,-0.1134788
15,0.21134216,0.08089256,"('boring', 'funny')",0.057356436,-0.044017807,0.1343493,0.0184374,-0.1159119
16,-1.2438699,-1.1201078,"('unpopular', 'popular')",0.49940276,0.5077428,-0.3722336,-0.3061825,0.0660511
17,-1.8846829,-1.799974,"('nasty', 'nice')",-0.6310731,-0.5417148,-1.2578781,-1.1708443,0.0870338
18,-0.9249358,-0.91830677,"('disagreeable', 'welcoming')",-0.5971467,-0.70291847,-0.7610413,-0.8106126,-0.0495713
19,-0.9142222,-1.0889738,"('inhospitable', 'hospitable')",-0.7466843,-0.7770968,-0.8304533,-0.9330353,-0.102582
20,0.5270356,0.49372807,"('rough', 'thoughtful')",0.9838346,0.9099901,0.7554351,0.7018591,-0.053576
21,0.47320253,0.33463845,"('immoral', 'moral')",-0.044523522,-0.017412422,0.2143395,0.158613,-0.0557265
22,0.27724203,0.23036307,"('untrustworthy', 'trustworthy')",-0.696873,-0.713913,-0.2098155,-0.241775,-0.0319595
23,0.78600734,0.67593455,"('insincere', 'sincere')",5.762392,5.900092,3.2741997,3.2880135,0.0138138
24,0.9930664,0.89770144,"('dishonest', 'honest')",0.42524523,0.44460097,0.7091558,0.6711512,-0.0380046
25,0.26169473,0.23280744,"('egoistic', 'altruistic')",0.6250956,0.51286966,0.4433952,0.3728386,-0.0705566
26,0.8718174,0.60627115,"('hardhearted', 'benevolent')",1.0624532,0.87621325,0.9671353,0.7412422,-0.2258931
27,-0.2961916,-0.25975576,"('hardhearted', 'softhearted')",0.6148543,0.55723053,0.1593313,0.1487374,-0.0105939
28,0.60584277,0.5428832,"('disloyal', 'loyal')",0.95921576,0.9591289,0.7825292,0.7510061,-0.0315231
29,-0.5924382,-0.56670094,"('unfair', 'fair')",-0.4332799,-0.52064437,-0.512859,-0.5436727,-0.0308137
30,1.4733437,1.3746595,"('intolerant', 'tolerant')",0.85046786,0.7832048,1.1619058,1.0789322,-0.0829736
31,-1.9787871,-1.8996539,"('evil', 'good')",-1.0757273,-1.1650281,-1.5272572,-1.532341,-0.0050838
32,-0.18260792,-0.43286243,"('unkind', 'kind')",0.17176941,0.039839827,-0.0054193,-0.1965113,-0.191092
33,0.05678039,0.008121839,"('wrong', 'right')",-0.5309213,-0.61387026,-0.2370704,-0.3028742,-0.0658038
34,-0.4694993,-0.35521027,"('mean', 'honorable')",5.5575414,5.7367067,2.5440211,2.6907482,0.1467271
35,-1.388387,-1.3021204,"('corrupt', 'incorrupt')",-0.7176201,-0.805164,-1.0530035,-1.0536423,-0.0006388
36,-1.4132961,-1.3705537,"('hostile', 'amicable')",-0.33156767,-0.4223302,-0.8724319,-0.8964419,-0.02401
37,0.08402227,0.0656748,"('fake', 'genuine')",0.083546445,0.17069387,0.0837844,0.1181843,0.0343999
38,0.13477215,0.14405262,"('untruthful', 'truthful')",0.054492775,0.11632812,0.0946325,0.1301904,0.0355579
39,1.192599,1.1478183,"('exploitative', 'cooperative')",-0.0685824,-0.16876735,0.5620083,0.4895255,-0.0724828
40,0.08058758,0.16808015,"('stingy', 'generous')",-1.9010615,-1.9182955,-0.910237,-0.8751076,0.0351294
41,0.19741963,0.12925956,"('unforgiving', 'forgiving')",0.03490439,-0.19983557,0.116162,-0.035288,-0.15145
42,0.44334382,0.2678123,"('unreliable', 'reliable')",-3.0998242,-3.138792,-1.3282402,-1.4354899,-0.1072497
43,1.5014113,1.284511,"('irresponsible', 'responsible')",0.5467268,0.500068,1.0240691,0.8922895,-0.1317796
44,-1.5555614,-1.5603595,"('prejudiced', 'unprejudiced')",-1.5972569,-1.6534749,-1.5764091,-1.6069171,-0.030508
