,pinnacle_male,pinnacle_female,tuple,west_male,west_female,capital_male,capital_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.94791865,-1.033295,"('unsociable', 'sociable')",-0.7192378,-0.7964556,-0.063238055,-0.19691396,-0.71445346,-0.73533124,-0.611212,-0.690499,-0.079287
1,-0.19190186,-0.2564471,"('unfriendly', 'friendly')",-0.8754539,-0.9622684,0.63469386,0.5310165,1.8879225,1.7855,0.3638152,0.2744502,-0.089365
2,0.28538013,0.31031674,"('unlikable', 'likable')",0.982094,1.0931062,2.3747177,2.462998,0.7602392,0.8068456,1.1006078,1.1683166,0.0677088
3,-0.31751844,-0.25367767,"('repellent', 'pleasant')",0.23195855,0.27975926,-0.19662319,-0.16703564,0.6796984,0.7772281,0.0993788,0.1590685,0.0596897
4,-0.7127669,-0.772877,"('disliked', 'liked')",-0.59104866,-0.7483626,-0.10130605,-0.075657584,-7.578278,-7.7053103,-2.2458498,-2.325552,-0.0797022
5,0.030400291,-0.011881169,"('distant', 'outgoing')",-0.7852299,-0.7652802,1.4349946,1.448305,-0.08332031,-0.08725164,0.1492112,0.145973,-0.0032382
6,-0.67288506,-0.67117107,"('distant', 'open')",-1.4522793,-1.4041003,0.8438708,0.8600979,0.14357428,0.14257014,-0.2844298,-0.2681508,0.016279
7,0.6793217,0.6697848,"('insensitive', 'sensitive')",0.97214353,1.0535862,0.18497407,0.17680788,0.5501826,0.5999958,0.5966555,0.6250437,0.0283882
8,0.24279898,0.20665425,"('unaffectionate', 'affectionate')",-0.6890959,-0.7341279,0.32027414,0.30330044,1.2240512,1.2094744,0.2745071,0.2463253,-0.0281818
9,0.7909182,0.733654,"('unaffectionate', 'caring')",-0.18560287,-0.2273741,0.9959388,0.98107773,1.7860929,1.8242626,0.8468367,0.8279051,-0.0189316
10,0.46691316,0.48162887,"('unsympathetic', 'sympathetic')",0.25046656,0.27891484,-0.91054547,-0.9641114,-0.5861482,-0.50031286,-0.1948285,-0.1759701,0.0188584
11,-0.0647228,-0.051644567,"('unhelpful', 'helpful')",0.14369817,0.21176666,-0.2349137,-0.24400681,1.7596337,1.8650452,0.4009238,0.4452901,0.0443663
12,1.6852067,1.7083611,"('unsupportive', 'supportive')",1.0902216,1.0905707,1.5097568,1.5600852,-1.9841706,-1.9900429,0.5752536,0.5922435,0.0169899
13,-0.5092991,-0.59372085,"('impolite', 'polite')",0.30617824,0.31046137,-0.5516503,-0.64124674,-0.91768986,-0.89939934,-0.4181153,-0.4559764,-0.0378611
14,-0.2921263,-0.27200466,"('antisocial', 'social')",0.08757665,0.13819665,1.0680374,1.1376354,-0.52658224,-0.47060013,0.0842264,0.1333068,0.0490804
15,-0.046464875,-0.06805522,"('boring', 'funny')",0.5721567,0.5665297,0.00050931424,0.04408463,-0.14948626,-0.052413307,0.0941787,0.1225364,0.0283577
16,-1.4410518,-1.454201,"('unpopular', 'popular')",-0.66314775,-0.8207891,0.23119414,0.294106,0.2662153,0.2886301,-0.4016975,-0.4230635,-0.021366
17,-0.5579418,-0.5070042,"('nasty', 'nice')",-0.46284598,-0.3157089,-0.4193298,-0.34366548,-0.6347144,-0.5591236,-0.518708,-0.4313756,0.0873324
18,-0.70242196,-0.6625485,"('disagreeable', 'welcoming')",-0.08518492,0.039621346,0.5128532,0.5516291,-0.40944135,-0.4205403,-0.1710488,-0.1229596,0.0480892
19,-0.44632626,-0.45121127,"('inhospitable', 'hospitable')",0.24265254,0.27772456,-0.23340948,-0.25142407,-0.34269023,-0.35839745,-0.1949434,-0.1958271,-0.0008837
20,-0.21206011,-0.12805592,"('rough', 'thoughtful')",-0.7097052,-0.5436028,0.97930443,0.96603036,0.46020883,0.51509583,0.129437,0.2023669,0.0729299
21,0.46227992,0.443972,"('immoral', 'moral')",0.9349826,1.0000237,-0.072728515,-0.105643794,-0.8556035,-0.71793085,0.1172326,0.1551053,0.0378727
22,-0.18698059,-0.12604249,"('untrustworthy', 'trustworthy')",0.9494251,0.99951726,-0.6936818,-0.69269556,-1.1490376,-1.0963969,-0.2700687,-0.2289044,0.0411643
23,1.3191816,1.2651365,"('insincere', 'sincere')",0.97104824,1.0020181,0.30331612,0.24259837,6.549649,6.6239004,2.2857985,2.2834134,-0.0023851
