,flow_male,flow_female,tuple,average_male,average_female,female-male
0,0.30195498,0.16906713,"('unsociable', 'sociable')",0.301955,0.1690671,-0.1328879
1,1.7116939,1.5441078,"('unfriendly', 'friendly')",1.7116939,1.5441078,-0.1675861
2,-0.07591564,-0.037703365,"('unlikable', 'likable')",-0.0759156,-0.0377034,0.0382122
3,0.5170076,0.66235816,"('repellent', 'pleasant')",0.5170076,0.6623582,0.1453506
4,-7.890481,-7.853559,"('disliked', 'liked')",-7.890481,-7.853559,0.036922
5,-0.44022888,-0.56107885,"('distant', 'outgoing')",-0.4402289,-0.5610788,-0.1208499
6,-0.20849545,-0.27889174,"('distant', 'open')",-0.2084955,-0.2788917,-0.0703962
7,1.2873095,1.3165809,"('insensitive', 'sensitive')",1.2873095,1.3165809,0.0292714
8,1.2261202,1.2170193,"('unaffectionate', 'affectionate')",1.2261202,1.2170193,-0.0091009
9,2.227866,2.144259,"('unaffectionate', 'caring')",2.2278659,2.144259,-0.0836069
10,1.1416423,1.2115748,"('unsympathetic', 'sympathetic')",1.1416423,1.2115748,0.0699325
11,2.4941514,2.4122136,"('unhelpful', 'helpful')",2.4941514,2.4122136,-0.0819378
12,-1.3412647,-1.3877552,"('unsupportive', 'supportive')",-1.3412647,-1.3877552,-0.0464905
13,-0.01986932,-0.17344351,"('impolite', 'polite')",-0.0198693,-0.1734435,-0.1535742
14,0.09026309,0.06621091,"('antisocial', 'social')",0.0902631,0.0662109,-0.0240522
15,-0.012137834,-0.064267635,"('boring', 'funny')",-0.0121378,-0.0642676,-0.0521298
16,-0.60656315,-0.4886509,"('unpopular', 'popular')",-0.6065632,-0.4886509,0.1179123
17,-0.07931487,-0.17420158,"('nasty', 'nice')",-0.0793149,-0.1742016,-0.0948867
18,-0.37665728,-0.39715123,"('disagreeable', 'welcoming')",-0.3766573,-0.3971512,-0.0204939
19,-0.70781666,-0.7689839,"('inhospitable', 'hospitable')",-0.7078167,-0.7689839,-0.0611672
20,1.0659388,1.0845574,"('rough', 'thoughtful')",1.0659388,1.0845574,0.0186186
21,-0.11172998,-0.09551304,"('immoral', 'moral')",-0.11173,-0.095513,0.016217
22,-0.47101295,-0.5390185,"('untrustworthy', 'trustworthy')",-0.4710129,-0.5390185,-0.0680056
23,7.276341,7.192843,"('insincere', 'sincere')",7.276341,7.192843,-0.083498
24,1.971453,1.811203,"('dishonest', 'honest')",1.971453,1.811203,-0.16025
