,carnival_male,carnival_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,0.96756893,1.0006684,"('unsociable', 'sociable')",-0.36128956,-0.54518497,0.3031397,0.2277417,-0.075398
1,-0.32139015,-0.47265553,"('unfriendly', 'friendly')",2.086881,1.8774004,0.8827454,0.7023724,-0.180373
2,0.11341917,0.28182265,"('unlikable', 'likable')",0.5257511,0.73897177,0.3195851,0.5103972,0.1908121
3,0.0071008215,0.29756406,"('repellent', 'pleasant')",-0.12014868,0.011361858,-0.0565239,0.154463,0.2109869
4,-0.95352685,-1.0082005,"('disliked', 'liked')",-5.359933,-5.9135666,-3.1567299,-3.4608836,-0.3041537
5,-0.95544535,-1.0895908,"('distant', 'outgoing')",0.24566051,0.20188516,-0.3548924,-0.4438528,-0.0889604
6,-1.7612835,-1.8688421,"('distant', 'open')",0.21136549,0.23022681,-0.774959,-0.8193077,-0.0443487
7,0.95535934,1.0718302,"('insensitive', 'sensitive')",0.5893245,0.4780039,0.7723419,0.774917,0.0025751
8,0.10150373,-0.018313758,"('unaffectionate', 'affectionate')",0.770041,0.665098,0.4357724,0.3233921,-0.1123803
9,0.57604843,0.53786415,"('unaffectionate', 'caring')",1.1285039,1.1601095,0.8522762,0.8489869,-0.0032893
10,0.49023288,0.66144425,"('unsympathetic', 'sympathetic')",-0.37770802,-0.3677501,0.0562624,0.1468471,0.0905847
11,0.38671604,0.5722931,"('unhelpful', 'helpful')",1.6451887,1.7227043,1.0159523,1.1474987,0.1315464
12,1.1601915,1.2136146,"('unsupportive', 'supportive')",-1.0542902,-1.2348633,0.0529507,-0.0106243,-0.063575
13,1.0537115,1.0695809,"('impolite', 'polite')",-0.56363887,-0.6151625,0.2450363,0.2272092,-0.0178271
14,1.7844634,1.8540956,"('antisocial', 'social')",0.55633456,0.3501608,1.170399,1.1021281,-0.0682709
15,0.7313327,0.50678945,"('boring', 'funny')",0.0121527705,-0.014579495,0.3717428,0.246105,-0.1256378
16,-1.182959,-1.0563805,"('unpopular', 'popular')",-0.27723768,-0.30871812,-0.7300983,-0.6825493,0.047549
17,-0.91540515,-0.7383801,"('nasty', 'nice')",-0.896268,-0.88993645,-0.9058366,-0.8141583,0.0916783
18,-0.043270763,-0.02079574,"('disagreeable', 'welcoming')",-0.88623065,-0.8146721,-0.4647507,-0.4177339,0.0470168
19,-1.6046952,-1.5527724,"('inhospitable', 'hospitable')",-0.30940825,-0.26285338,-0.9570518,-0.9078129,0.0492389
20,-0.5386946,-0.41620183,"('rough', 'thoughtful')",1.25132,1.2089354,0.3563127,0.3963668,0.0400541
21,0.82412374,1.0465853,"('immoral', 'moral')",-1.1645997,-1.0393668,-0.170238,0.0036092,0.1738472
22,-0.07388033,-0.0439327,"('untrustworthy', 'trustworthy')",-0.57161087,-0.6965801,-0.3227456,-0.3702564,-0.0475108
23,0.8725433,1.0818394,"('insincere', 'sincere')",5.1982145,5.419309,3.0353789,3.2505744,0.2151955
24,0.9039037,0.845516,"('dishonest', 'honest')",0.8536681,0.80818367,0.8787859,0.8268498,-0.0519361
25,-1.0118232,-1.0761415,"('egoistic', 'altruistic')",1.1546693,1.0381566,0.0714231,-0.0189924,-0.0904155
26,1.809685,1.5934179,"('hardhearted', 'benevolent')",2.540161,2.1869187,2.1749229,1.8901683,-0.2847546
27,0.17258027,0.14862548,"('hardhearted', 'softhearted')",0.7366298,0.61254853,0.454605,0.380587,-0.074018
28,-0.0844833,-0.08117311,"('disloyal', 'loyal')",1.0417708,0.9542105,0.4786437,0.4365187,-0.042125
29,-0.5132291,-0.5860892,"('unfair', 'fair')",-0.38147366,-0.5750404,-0.4473514,-0.5805648,-0.1332134
30,2.1567667,2.2584703,"('intolerant', 'tolerant')",0.8154695,0.8696711,1.4861181,1.5640707,0.0779526
