,historian_male,historian_female,tuple,average_male,average_female,female-male
0,0.92690396,0.77007306,"('unsociable', 'sociable')",0.926904,0.7700731,-0.1568309
1,0.799115,0.6615464,"('unfriendly', 'friendly')",0.799115,0.6615464,-0.1375686
2,0.3529898,0.4786826,"('unlikable', 'likable')",0.3529898,0.4786826,0.1256928
3,0.79804915,1.0083493,"('repellent', 'pleasant')",0.7980492,1.0083493,0.2103001
4,-6.6466894,-7.066286,"('disliked', 'liked')",-6.6466894,-7.0662861,-0.4195967
5,-1.4696809,-1.315988,"('distant', 'outgoing')",-1.4696809,-1.3159879,0.153693
6,-1.0175757,-0.8705965,"('distant', 'open')",-1.0175757,-0.8705965,0.1469792
7,2.0739057,1.888244,"('insensitive', 'sensitive')",2.0739057,1.888244,-0.1856617
8,0.64642406,0.6420779,"('unaffectionate', 'affectionate')",0.6464241,0.6420779,-0.0043462
9,1.3010011,1.3535054,"('unaffectionate', 'caring')",1.3010011,1.3535054,0.0525043
10,1.2807703,1.4096706,"('unsympathetic', 'sympathetic')",1.2807703,1.4096706,0.1289003
11,1.8336818,1.9070314,"('unhelpful', 'helpful')",1.8336818,1.9070314,0.0733496
12,-1.0112369,-1.0773864,"('unsupportive', 'supportive')",-1.0112369,-1.0773864,-0.0661495
13,0.33928505,0.29713294,"('impolite', 'polite')",0.339285,0.2971329,-0.0421521
14,0.81558216,0.6842869,"('antisocial', 'social')",0.8155822,0.6842869,-0.1312953
15,-0.026922792,-0.21099062,"('boring', 'funny')",-0.0269228,-0.2109906,-0.1840678
16,-0.49480346,-0.4452132,"('unpopular', 'popular')",-0.4948035,-0.4452132,0.0495903
17,-0.6744908,-0.588999,"('nasty', 'nice')",-0.6744908,-0.588999,0.0854918
18,-0.92177343,-0.8308413,"('disagreeable', 'welcoming')",-0.9217734,-0.8308413,0.0909321
19,-1.1812334,-1.0765934,"('inhospitable', 'hospitable')",-1.1812334,-1.0765934,0.10464
20,1.0751463,1.1063042,"('rough', 'thoughtful')",1.0751463,1.1063042,0.0311579
21,0.39963776,0.47403437,"('immoral', 'moral')",0.3996378,0.4740344,0.0743966
22,0.84948814,0.47148797,"('untrustworthy', 'trustworthy')",0.8494881,0.471488,-0.3780001
23,6.137572,6.3084893,"('insincere', 'sincere')",6.1375718,6.3084893,0.1709175
24,1.6339232,1.5179343,"('dishonest', 'honest')",1.6339232,1.5179343,-0.1159889
25,0.10647102,0.06727545,"('egoistic', 'altruistic')",0.106471,0.0672754,-0.0391956
