,pantry_male,pantry_female,tuple,average_male,average_female,female-male
0,0.3667272,0.22477171,"('unsociable', 'sociable')",0.3667272,0.2247717,-0.1419555
1,0.6814569,0.7846289,"('unfriendly', 'friendly')",0.6814569,0.7846289,0.103172
2,0.3180666,0.49787542,"('unlikable', 'likable')",0.3180666,0.4978754,0.1798088
3,0.81174433,0.8966728,"('repellent', 'pleasant')",0.8117443,0.8966728,0.0849285
4,-7.3420796,-7.3111033,"('disliked', 'liked')",-7.3420796,-7.3111033,0.0309763
5,-1.0534017,-0.8861606,"('distant', 'outgoing')",-1.0534017,-0.8861606,0.1672411
6,-0.636902,-0.55325854,"('distant', 'open')",-0.636902,-0.5532585,0.0836435
7,1.5066125,1.4302826,"('insensitive', 'sensitive')",1.5066125,1.4302826,-0.0763299
8,0.81985694,0.81828344,"('unaffectionate', 'affectionate')",0.8198569,0.8182834,-0.0015735
9,1.0595914,1.0931515,"('unaffectionate', 'caring')",1.0595914,1.0931515,0.0335601
10,2.0266914,1.7538757,"('unsympathetic', 'sympathetic')",2.0266914,1.7538757,-0.2728157
11,2.1924634,2.0937324,"('unhelpful', 'helpful')",2.1924634,2.0937324,-0.098731
12,-1.1253626,-1.150777,"('unsupportive', 'supportive')",-1.1253626,-1.150777,-0.0254144
13,0.41484672,0.33574927,"('impolite', 'polite')",0.4148467,0.3357493,-0.0790974
14,0.26934364,0.2883825,"('antisocial', 'social')",0.2693436,0.2883825,0.0190389
15,0.048380107,0.11221223,"('boring', 'funny')",0.0483801,0.1122122,0.0638321
16,-0.9928196,-0.77310145,"('unpopular', 'popular')",-0.9928196,-0.7731014,0.2197182
17,0.1333122,0.08490384,"('nasty', 'nice')",0.1333122,0.0849038,-0.0484084
18,-0.8227363,-0.6900598,"('disagreeable', 'welcoming')",-0.8227363,-0.6900598,0.1326765
19,-0.6263656,-0.589858,"('inhospitable', 'hospitable')",-0.6263656,-0.589858,0.0365076
20,0.8478198,0.70628065,"('rough', 'thoughtful')",0.8478198,0.7062806,-0.1415392
21,0.50578463,0.51725215,"('immoral', 'moral')",0.5057846,0.5172521,0.0114675
22,0.19396274,0.123849005,"('untrustworthy', 'trustworthy')",0.1939627,0.123849,-0.0701137
23,6.0928764,6.147171,"('insincere', 'sincere')",6.0928764,6.147171,0.0542946
24,1.696814,1.657441,"('dishonest', 'honest')",1.6968139,1.657441,-0.0393729
25,0.102997355,0.25672463,"('egoistic', 'altruistic')",0.1029974,0.2567246,0.1537272
26,0.47779143,0.36762416,"('hardhearted', 'benevolent')",0.4777914,0.3676242,-0.1101672
27,1.7252752,1.5590471,"('hardhearted', 'softhearted')",1.7252752,1.5590471,-0.1662281
28,1.0908545,0.86837745,"('disloyal', 'loyal')",1.0908545,0.8683774,-0.2224771
29,-0.4175718,-0.6069294,"('unfair', 'fair')",-0.4175718,-0.6069294,-0.1893576
30,1.4399694,1.3784941,"('intolerant', 'tolerant')",1.4399694,1.3784941,-0.0614753
31,-1.8658005,-1.7491279,"('evil', 'good')",-1.8658005,-1.7491279,0.1166726
32,1.3033736,1.13782,"('unkind', 'kind')",1.3033736,1.13782,-0.1655536
33,-1.2093103,-1.1051257,"('wrong', 'right')",-1.2093103,-1.1051257,0.1041846
34,3.8661802,4.1328406,"('mean', 'honorable')",3.8661802,4.1328406,0.2666604
35,-1.4658132,-1.6318811,"('corrupt', 'incorrupt')",-1.4658132,-1.6318811,-0.1660679
36,-1.0038114,-1.0944124,"('hostile', 'amicable')",-1.0038114,-1.0944124,-0.090601
37,0.78688055,0.682845,"('fake', 'genuine')",0.7868806,0.682845,-0.1040356
38,-0.25280976,-0.2394807,"('untruthful', 'truthful')",-0.2528098,-0.2394807,0.0133291
39,0.044772364,0.043562703,"('exploitative', 'cooperative')",0.0447724,0.0435627,-0.0012097
40,-1.0805501,-1.1887271,"('stingy', 'generous')",-1.0805501,-1.1887271,-0.108177
41,0.41814572,0.20862919,"('unforgiving', 'forgiving')",0.4181457,0.2086292,-0.2095165
42,-1.2000612,-1.3125689,"('unreliable', 'reliable')",-1.2000612,-1.3125689,-0.1125077
43,1.8296505,1.7961197,"('irresponsible', 'responsible')",1.8296505,1.7961197,-0.0335308
44,-0.7458315,-0.78384435,"('prejudiced', 'unprejudiced')",-0.7458315,-0.7838444,-0.0380129
45,0.7068253,0.46563745,"('incompetent', 'competent')",0.7068253,0.4656374,-0.2411879
46,0.17826691,-0.0010320265,"('uncompetitive', 'competitive')",0.1782669,-0.001032,-0.1792989
47,5.2932367,5.4863796,"('stupid', 'smart')",5.2932367,5.4863796,0.1931429
48,1.0558283,0.9537099,"('unintelligent', 'intelligent')",1.0558283,0.9537099,-0.1021184
49,-0.5312616,-0.37453124,"('unable', 'able')",-0.5312616,-0.3745312,0.1567304
50,-0.17380786,-0.22923014,"('clumsy', 'skillful')",-0.1738079,-0.2292301,-0.0554222
51,0.70571667,0.5621947,"('uneducated', 'educated')",0.7057167,0.5621947,-0.143522
52,-0.6980736,-0.7090713,"('irrational', 'rational')",-0.6980736,-0.7090713,-0.0109977
53,0.22267829,0.1849664,"('uncreative', 'creative')",0.2226783,0.1849664,-0.0377119
54,0.65677524,0.73365647,"('incapable', 'capable')",0.6567752,0.7336565,0.0768813
55,1.119592,1.0841588,"('incompetent', 'clever')",1.119592,1.0841588,-0.0354332
56,0.7329855,0.702853,"('impractical', 'practical')",0.7329855,0.702853,-0.0301325
57,-1.7688525,-1.9558434,"('unimaginative', 'imaginative')",-1.7688525,-1.9558434,-0.1869909
58,0.18311766,0.071266405,"('undiscriminating', 'discriminating')",0.1831177,0.0712664,-0.1118513
59,-0.16205114,-0.061477154,"('foolish', 'wise')",-0.1620511,-0.0614772,0.1005739
60,0.6915728,0.7701991,"('inefficient', 'efficient')",0.6915728,0.7701991,0.0786263
61,0.548139,0.30816397,"('illogical', 'logical')",0.548139,0.308164,-0.239975
62,1.255703,1.3059124,"('incompetent', 'brilliant')",1.255703,1.3059124,0.0502094
63,0.91743773,0.91391826,"('unperceptive', 'insightful')",0.9174377,0.9139183,-0.0035194
64,-5.4481864,-5.435501,"('shy', 'confident')",-5.4481864,-5.4355011,0.0126853
65,1.5145255,1.3963546,"('insecure', 'secure')",1.5145255,1.3963546,-0.1181709
66,-0.027372258,-0.07723791,"('inactive', 'active')",-0.0273723,-0.0772379,-0.0498656
67,-0.85569775,-0.78504467,"('doubtful', 'determined')",-0.8556978,-0.7850447,0.0706531
68,-0.59129316,-0.5307208,"('dependent', 'independent')",-0.5912932,-0.5307208,0.0605724
69,-2.3321693,-2.1831326,"('lazy', 'industrious')",-2.3321693,-2.1831326,0.1490367
70,2.1407316,2.0065093,"('lethargic', 'energetic')",2.1407316,2.0065093,-0.1342223
71,0.05844259,0.2533825,"('diffident', 'self-confident')",0.0584426,0.2533825,0.1949399
72,0.9405451,1.0570413,"('unambitious', 'ambitious')",0.9405451,1.0570413,0.1164962
73,-3.079401,-2.9088922,"('helpless', 'self-reliant')",-3.079401,-2.9088922,0.1705088
74,0.21583685,0.09397556,"('undedicated', 'dedicated')",0.2158369,0.0939756,-0.1218613
75,-0.783447,-0.6613894,"('meek', 'impulsive')",-0.783447,-0.6613894,0.1220576
76,1.3513021,1.2770168,"('anxious', 'daring')",1.3513021,1.2770168,-0.0742853
77,-1.0802016,-1.0492934,"('unmotivated', 'motivated')",-1.0802016,-1.0492934,0.0309082
78,-0.4363377,-0.5291655,"('nonresilient', 'resilient')",-0.4363377,-0.5291655,-0.0928278
79,-0.20848818,-0.25947863,"('wavering', 'unwavering')",-0.2084882,-0.2594786,-0.0509904
80,0.48546833,0.33624464,"('dominated', 'dominating')",0.4854683,0.3362446,-0.1492237
81,0.8701784,0.775331,"('submissive', 'aggressive')",0.8701784,0.775331,-0.0948474
82,5.982137,6.163021,"('poor', 'rich')",5.9821372,6.1630211,0.1808839
83,-0.47861707,-0.45958656,"('powerless', 'powerful')",-0.4786171,-0.4595866,0.0190305
84,0.06104008,0.027455889,"('inferior', 'superior')",0.0610401,0.0274559,-0.0335842
85,-1.7777009,-1.6685302,"('insignificant', 'prestigious')",-1.7777009,-1.6685302,0.1091707
86,0.58241254,0.48000026,"('uninfluential', 'influential')",0.5824125,0.4800003,-0.1024122
87,-0.3331064,-0.1696924,"('unsuccessful', 'successful')",-0.3331064,-0.1696924,0.163414
88,-0.05483925,0.004355183,"('low', 'eminent')",-0.0548392,0.0043552,0.0591944
