,kraft_male,kraft_female,tuple,foods_male,foods_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.706928,-0.7086413,"('unsociable', 'sociable')",-0.018991701,-0.033478435,0.52390766,0.43222338,-0.7436543,-0.85078865,-0.2364166,-0.2901713,-0.0537547
1,1.110694,1.0529262,"('unfriendly', 'friendly')",0.30928907,0.30476168,-0.06632211,-0.2420546,2.2659311,2.1512892,0.904898,0.8167306,-0.0881674
2,0.30656892,0.37577605,"('unlikable', 'likable')",0.06652432,0.08856599,1.5763155,1.605538,0.43141517,0.518738,0.595206,0.6471545,0.0519485
3,-1.5313632,-1.3416185,"('repellent', 'pleasant')",-1.9133965,-1.7881336,0.809433,0.872549,-0.030655103,0.02107909,-0.6664955,-0.559031,0.1074645
4,-0.24151556,-0.3204611,"('disliked', 'liked')",0.35151497,0.37284127,-0.5829322,-0.7016515,-6.793298,-6.87828,-1.8165576,-1.8818879,-0.0653303
5,0.54584205,0.46838576,"('distant', 'outgoing')",0.39309216,0.40476125,-1.4901232,-1.5678455,-0.14767502,-0.15558763,-0.174716,-0.2125715,-0.0378555
6,0.24791455,0.20569804,"('distant', 'open')",0.43057242,0.48983026,-1.5470269,-1.6206259,0.6295085,0.59673744,-0.0597579,-0.08209,-0.0223321
7,0.13463378,0.25419307,"('insensitive', 'sensitive')",-0.8131983,-0.6696911,-0.16451842,-0.14847468,0.62545145,0.6146412,-0.0544079,0.0126671,0.067075
8,0.75009555,0.70417017,"('unaffectionate', 'affectionate')",0.8417372,0.756562,-0.18271977,-0.27642566,1.0280787,0.95027506,0.6092979,0.5336454,-0.0756525
9,0.97484803,0.948561,"('unaffectionate', 'caring')",0.567943,0.50118834,-0.042169318,-0.1425919,1.2263064,1.1981006,0.6817321,0.6263145,-0.0554176
10,-0.82341284,-0.6320489,"('unsympathetic', 'sympathetic')",-1.0120989,-0.91508764,-0.5026738,-0.48419735,-0.7211573,-0.74257064,-0.7648357,-0.6934761,0.0713596
11,-1.2785286,-1.1513487,"('unhelpful', 'helpful')",-0.8613024,-0.8153014,-0.60338,-0.55309916,1.4254597,1.4820018,-0.3294378,-0.2594368,0.070001
12,0.06471392,0.18534158,"('unsupportive', 'supportive')",-0.013396302,0.12058053,0.4305726,0.52607244,-1.9140477,-1.9142241,-0.3580394,-0.2705574,0.087482
13,-0.16893572,-0.12982279,"('impolite', 'polite')",0.20078063,0.2609798,0.20486107,0.20110509,-0.5656098,-0.60046554,-0.082226,-0.0670509,0.0151751
14,-0.035405364,0.039345592,"('antisocial', 'social')",-0.48837832,-0.46078312,1.265863,1.2823688,-0.9390156,-0.96898687,-0.0492341,-0.0270139,0.0222202
15,0.54255784,0.4044706,"('boring', 'funny')",0.5675337,0.5568532,-1.1094947,-1.2049038,0.424164,0.37584743,0.1061902,0.0330668,-0.0731234
16,-0.79692227,-0.885847,"('unpopular', 'popular')",-0.47239223,-0.37324774,-0.62157214,-0.6288624,0.5592131,0.54756,-0.3329184,-0.3350993,-0.0021809
17,-1.4663051,-1.4662937,"('nasty', 'nice')",-0.42795438,-0.35755107,-1.2028297,-1.1631355,-0.5382395,-0.47481817,-0.9088322,-0.8654497,0.0433825
18,-0.04815776,-0.0618096,"('disagreeable', 'welcoming')",-0.5907823,-0.5405379,-0.4408371,-0.46892205,-0.18738607,-0.25969017,-0.3167908,-0.3327399,-0.0159491
19,-0.409894,-0.36586493,"('inhospitable', 'hospitable')",-0.13488665,-0.0562859,-1.3831443,-1.4251276,0.1631173,0.23056668,-0.4412019,-0.404178,0.0370239
20,-0.14469087,-0.12876016,"('rough', 'thoughtful')",-0.46003556,-0.345239,0.9883622,1.0506661,1.4923594,1.4630779,0.4689988,0.5099362,0.0409374
21,0.3450248,0.41381985,"('immoral', 'moral')",0.061608784,0.06570448,0.5348434,0.5273009,-1.0225314,-1.0263544,-0.0202636,-0.0048823,0.0153813
22,-0.08992523,-0.088148445,"('untrustworthy', 'trustworthy')",-1.2875648,-1.3078389,0.5231832,0.47931463,-1.2272552,-1.2852187,-0.5203905,-0.5504729,-0.0300824
23,-0.42183375,-0.32935455,"('insincere', 'sincere')",-1.1481196,-1.0833925,-0.2107791,-0.23922843,5.75904,5.6758842,0.9945769,1.0059772,0.0114003
24,0.73233694,0.7219894,"('dishonest', 'honest')",0.038762517,-0.035353925,-0.080715485,-0.118058756,0.67720485,0.5999094,0.3418972,0.2921215,-0.0497757
25,1.481267,1.3515276,"('egoistic', 'altruistic')",1.7309624,1.6123216,0.37285036,0.24301615,1.9473761,1.8442032,1.383114,1.2627671,-0.1203469
26,1.0217668,0.97351867,"('hardhearted', 'benevolent')",0.3976289,0.43365613,0.7741612,0.7320622,1.7080387,1.6465608,0.9753989,0.9464494,-0.0289495
27,-0.1998148,-0.2281638,"('hardhearted', 'softhearted')",0.05618496,0.038420018,-0.07336384,-0.09106636,1.7285503,1.6097668,0.3778892,0.3322392,-0.04565
28,-0.3368086,-0.44316843,"('disloyal', 'loyal')",0.21756016,0.11764476,0.4236683,0.3010205,1.2351369,1.1252913,0.3848892,0.275197,-0.1096922
29,-0.60045296,-0.6748191,"('unfair', 'fair')",-0.64541113,-0.58838105,-0.69241536,-0.6849156,-0.39584336,-0.5079703,-0.5835307,-0.6140215,-0.0304908
