,cummins_male,cummins_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.30662906,-0.3948463,"('unsociable', 'sociable')",-0.54185426,-0.68330115,-0.4242417,-0.5390737,-0.114832
1,0.5928795,0.45530766,"('unfriendly', 'friendly')",2.1539598,2.0422618,1.3734196,1.2487848,-0.1246348
2,0.34994698,0.413726,"('unlikable', 'likable')",0.34672415,0.38411495,0.3483356,0.3989205,0.0505849
3,-0.59470356,-0.49110356,"('repellent', 'pleasant')",0.0139136445,0.06149715,-0.290395,-0.2148032,0.0755918
4,0.19501562,0.04631143,"('disliked', 'liked')",-6.1013107,-6.098638,-2.9531476,-3.0261633,-0.0730157
5,0.5048655,0.425771,"('distant', 'outgoing')",0.20795,0.15908849,0.3564078,0.2924297,-0.0639781
6,-0.49036404,-0.5375803,"('distant', 'open')",0.6555267,0.5845099,0.0825813,0.0234648,-0.0591165
7,-0.19552831,-0.067203976,"('insensitive', 'sensitive')",0.7669701,0.7567865,0.2857209,0.3447913,0.0590704
8,-0.98921067,-1.040543,"('unaffectionate', 'affectionate')",1.0472493,0.9503638,0.0290193,-0.0450896,-0.0741089
9,-0.04290256,-0.116875425,"('unaffectionate', 'caring')",1.4217563,1.3207883,0.6894268,0.6019564,-0.0874704
10,-0.64948213,-0.6010715,"('unsympathetic', 'sympathetic')",-0.13739213,-0.15026397,-0.3934371,-0.3756677,0.0177694
11,-0.057490505,0.0054529235,"('unhelpful', 'helpful')",1.8420961,1.9238496,0.8923028,0.9646512,0.0723484
12,0.08735032,0.14074916,"('unsupportive', 'supportive')",-1.3367301,-1.3086199,-0.6246899,-0.5839354,0.0407545
13,-0.19179626,-0.24698502,"('impolite', 'polite')",-0.5723632,-0.6424374,-0.3820797,-0.4447112,-0.0626315
14,-0.2160941,-0.1798479,"('antisocial', 'social')",-0.9121031,-0.9312637,-0.5640986,-0.5555558,0.0085428
15,-0.41297397,-0.48433584,"('boring', 'funny')",0.46166354,0.43730932,0.0243448,-0.0235133,-0.0478581
16,-0.709131,-0.69629663,"('unpopular', 'popular')",0.3721438,0.42239627,-0.1684936,-0.1369502,0.0315434
17,-0.682194,-0.60556865,"('nasty', 'nice')",-0.27489677,-0.16084762,-0.4785454,-0.3832081,0.0953373
18,-1.3081989,-1.2490497,"('disagreeable', 'welcoming')",-0.4758907,-0.53808826,-0.8920448,-0.893569,-0.0015242
19,-0.4917064,-0.54093665,"('inhospitable', 'hospitable')",0.37614304,0.39824232,-0.0577817,-0.0713472,-0.0135655
20,-0.20527793,-0.08080432,"('rough', 'thoughtful')",1.2011819,1.2188857,0.497952,0.5690407,0.0710887
21,-0.09211372,-0.03620146,"('immoral', 'moral')",-0.6763965,-0.60625386,-0.3842551,-0.3212277,0.0630274
22,0.16023001,0.16397355,"('untrustworthy', 'trustworthy')",-1.149405,-1.1724797,-0.4945875,-0.5042531,-0.0096656
23,0.31719184,0.32349473,"('insincere', 'sincere')",5.843859,5.7630453,3.0805254,3.0432701,-0.0372553
24,0.48481518,0.46167463,"('dishonest', 'honest')",0.9190787,0.79894966,0.701947,0.6303121,-0.0716349
25,0.011977708,0.086792365,"('egoistic', 'altruistic')",1.3155434,1.3481567,0.6637605,0.7174745,0.053714
26,0.95292777,0.89169604,"('hardhearted', 'benevolent')",1.7697163,1.6521909,1.361322,1.2719434,-0.0893786
27,-0.44351327,-0.30156204,"('hardhearted', 'softhearted')",1.8340855,1.7426046,0.6952861,0.7205213,0.0252352
28,-0.2600981,-0.41846436,"('disloyal', 'loyal')",0.9283208,0.833296,0.3341114,0.2074158,-0.1266956
29,0.29817322,0.23608506,"('unfair', 'fair')",-0.20636465,-0.33986884,0.0459043,-0.0518919,-0.0977962
30,-0.21640038,-0.14947304,"('intolerant', 'tolerant')",0.7195486,0.6961353,0.2515741,0.2733311,0.021757
31,-0.29801437,-0.33975738,"('evil', 'good')",-0.51520747,-0.55151635,-0.4066109,-0.4456369,-0.039026
32,0.24643072,0.13665,"('unkind', 'kind')",1.1033919,0.94540167,0.6749113,0.5410258,-0.1338855
33,1.1358073,1.0245303,"('wrong', 'right')",-0.1968456,-0.2503302,0.4694808,0.3871,-0.0823808
34,-0.0064038187,0.17002808,"('mean', 'honorable')",5.982093,6.0702405,2.9878445,3.1201344,0.1322899
35,0.03328414,-0.14540303,"('corrupt', 'incorrupt')",0.17539088,-0.033177894,0.1043375,-0.0892905,-0.193628
36,-0.46022096,-0.59247303,"('hostile', 'amicable')",0.1511083,-0.08180196,-0.1545563,-0.3371375,-0.1825812
37,0.6288897,0.6841638,"('fake', 'genuine')",0.62972,0.6793965,0.6293048,0.6817802,0.0524754
38,0.02467743,-0.09515983,"('untruthful', 'truthful')",0.3721345,0.3415625,0.198406,0.1232013,-0.0752047
39,1.2711204,1.3467385,"('exploitative', 'cooperative')",0.14689797,0.15894042,0.7090092,0.7528394,0.0438302
40,0.1912622,0.18957108,"('stingy', 'generous')",-1.0524331,-1.0923876,-0.4305855,-0.4514082,-0.0208227
41,-0.28144133,-0.27088127,"('unforgiving', 'forgiving')",-0.004952999,-0.15287562,-0.1431972,-0.2118784,-0.0686812
42,-0.59759593,-0.49709272,"('unreliable', 'reliable')",-3.4935079,-3.3452458,-2.0455518,-1.9211693,0.1243825
43,-0.34745163,-0.22406879,"('irresponsible', 'responsible')",0.53477097,0.53296804,0.0936597,0.1544496,0.0607899
44,-0.09269282,-0.045135673,"('prejudiced', 'unprejudiced')",-1.8758692,-1.790596,-0.984281,-0.9178658,0.0664152
45,-0.3117689,-0.28818056,"('incompetent', 'competent')",-0.33768293,-0.2944801,-0.3247259,-0.2913303,0.0333956
46,0.22783655,0.24101925,"('uncompetitive', 'competitive')",-0.5366517,-0.5619006,-0.1544076,-0.1604407,-0.0060331
