,guilty_male,guilty_female,tuple,average_male,average_female,female-male
0,0.12994877,0.11896925,"('unsociable', 'sociable')",0.1299488,0.1189692,-0.0109796
1,0.8991018,0.7591399,"('unfriendly', 'friendly')",0.8991018,0.7591399,-0.1399619
2,-0.1407695,0.014745523,"('unlikable', 'likable')",-0.1407695,0.0147455,0.155515
3,0.43630323,0.65316343,"('repellent', 'pleasant')",0.4363032,0.6531634,0.2168602
4,-7.2482567,-7.3797636,"('disliked', 'liked')",-7.2482567,-7.3797636,-0.1315069
5,-0.97993565,-1.0662247,"('distant', 'outgoing')",-0.9799356,-1.0662247,-0.0862891
6,-0.049413703,-0.28429762,"('distant', 'open')",-0.0494137,-0.2842976,-0.2348839
7,1.5419072,1.636559,"('insensitive', 'sensitive')",1.5419072,1.636559,0.0946518
8,0.998667,0.8663864,"('unaffectionate', 'affectionate')",0.998667,0.8663864,-0.1322806
9,1.5085688,1.4919515,"('unaffectionate', 'caring')",1.5085688,1.4919515,-0.0166173
10,1.2493081,1.3185134,"('unsympathetic', 'sympathetic')",1.2493081,1.3185134,0.0692053
11,1.6475657,1.7462058,"('unhelpful', 'helpful')",1.6475657,1.7462058,0.0986401
12,-2.1259062,-1.9648601,"('unsupportive', 'supportive')",-2.1259062,-1.9648601,0.1610461
13,-0.376904,-0.06978793,"('impolite', 'polite')",-0.376904,-0.0697879,0.3071161
14,-0.1619112,0.030524759,"('antisocial', 'social')",-0.1619112,0.0305248,0.192436
15,0.80561197,0.811677,"('boring', 'funny')",0.805612,0.811677,0.006065
16,-1.0770178,-1.2008559,"('unpopular', 'popular')",-1.0770178,-1.2008559,-0.1238381
17,-0.080599874,-0.18772781,"('nasty', 'nice')",-0.0805999,-0.1877278,-0.1071279
18,-1.0680115,-0.9265574,"('disagreeable', 'welcoming')",-1.0680115,-0.9265574,0.1414541
19,-0.52342373,-0.64231426,"('inhospitable', 'hospitable')",-0.5234237,-0.6423143,-0.1188906
20,0.54641324,0.4713327,"('rough', 'thoughtful')",0.5464132,0.4713327,-0.0750805
21,-0.34419477,0.018995568,"('immoral', 'moral')",-0.3441948,0.0189956,0.3631904
22,-0.65120125,-0.4998185,"('untrustworthy', 'trustworthy')",-0.6512012,-0.4998185,0.1513827
23,6.189733,6.3910165,"('insincere', 'sincere')",6.189733,6.3910165,0.2012835
24,1.3277568,1.389047,"('dishonest', 'honest')",1.3277568,1.389047,0.0612902
25,0.9097479,0.8072301,"('egoistic', 'altruistic')",0.9097479,0.8072301,-0.1025178
26,1.4779243,1.25551,"('hardhearted', 'benevolent')",1.4779243,1.25551,-0.2224143
27,1.6934414,1.512217,"('hardhearted', 'softhearted')",1.6934414,1.512217,-0.1812244
28,1.948597,1.7099832,"('disloyal', 'loyal')",1.948597,1.7099832,-0.2386138
29,-0.57711184,-0.71539956,"('unfair', 'fair')",-0.5771118,-0.7153996,-0.1382878
30,1.1660223,1.3368601,"('intolerant', 'tolerant')",1.1660223,1.3368601,0.1708378
31,-1.6080303,-1.7979538,"('evil', 'good')",-1.6080303,-1.7979538,-0.1899235
32,1.2618952,1.1694356,"('unkind', 'kind')",1.2618952,1.1694356,-0.0924596
33,-0.5749172,-0.57573205,"('wrong', 'right')",-0.5749172,-0.5757321,-0.0008149
34,4.333749,4.5982533,"('mean', 'honorable')",4.3337488,4.5982533,0.2645045
