,firstenergy_male,firstenergy_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.310979,-1.2773188,"('unsociable', 'sociable')",-0.3453977,-0.4826262,-0.8281884,-0.8799725,-0.0517841
1,-0.5840046,-0.49393088,"('unfriendly', 'friendly')",1.4955287,1.3363909,0.4557621,0.42123,-0.0345321
2,0.74640626,0.7851603,"('unlikable', 'likable')",0.7557761,0.7626721,0.7510912,0.7739162,0.022825
3,-0.8895766,-0.754401,"('repellent', 'pleasant')",0.6602551,0.72668326,-0.1146608,-0.0138589,0.1008019
4,0.35471404,0.3897636,"('disliked', 'liked')",-6.84505,-6.861376,-3.245168,-3.235806,0.009362
5,1.035714,1.0680224,"('distant', 'outgoing')",-0.20246676,-0.24292392,0.4166237,0.4125492,-0.0040745
6,0.81682724,0.90042335,"('distant', 'open')",-0.09583889,-0.15887377,0.3604942,0.3707748,0.0102806
7,-0.39720362,-0.29433298,"('insensitive', 'sensitive')",0.26628655,0.29031444,-0.0654585,-0.0020093,0.0634492
8,-0.19206275,-0.15762678,"('unaffectionate', 'affectionate')",0.7689629,0.68165594,0.2884501,0.2620146,-0.0264355
9,0.1078516,0.1895317,"('unaffectionate', 'caring')",1.1946142,1.1724592,0.6512329,0.6809955,0.0297626
10,-1.8029598,-1.6437943,"('unsympathetic', 'sympathetic')",-0.74032694,-0.7316756,-1.2716434,-1.187735,0.0839084
11,-0.12838908,-0.10563403,"('unhelpful', 'helpful')",1.4719454,1.5515937,0.6717781,0.7229798,0.0512017
12,0.31163624,0.5101709,"('unsupportive', 'supportive')",-1.9760123,-1.9440947,-0.8321881,-0.7169619,0.1152262
13,-0.87375015,-0.8529229,"('impolite', 'polite')",-1.021557,-1.0082227,-0.9476535,-0.9305728,0.0170807
14,-1.0890988,-1.079711,"('antisocial', 'social')",-0.34751505,-0.42877376,-0.7183069,-0.7542424,-0.0359355
15,0.93728423,0.8473545,"('boring', 'funny')",0.04355613,0.045419,0.4904202,0.4463867,-0.0440335
16,-0.3849095,-0.31242317,"('unpopular', 'popular')",0.32087582,0.2885005,-0.0320168,-0.0119613,0.0200555
17,-0.20247358,-0.08978409,"('nasty', 'nice')",-0.46029145,-0.3801967,-0.3313825,-0.2349904,0.0963921
18,-0.18230546,-0.027622405,"('disagreeable', 'welcoming')",-0.3748862,-0.48625648,-0.2785958,-0.2569394,0.0216564
19,0.12786292,0.21521102,"('inhospitable', 'hospitable')",-0.17124316,-0.10651378,-0.0216901,0.0543486,0.0760387
20,-0.42833278,-0.3636683,"('rough', 'thoughtful')",0.7352765,0.71821266,0.1534719,0.1772722,0.0238003
21,-0.5171464,-0.45314544,"('immoral', 'moral')",-0.7556488,-0.6907372,-0.6363976,-0.5719413,0.0644563
22,-1.171437,-1.1049876,"('untrustworthy', 'trustworthy')",-1.1406597,-1.1824148,-1.1560483,-1.1437012,0.0123471
23,-0.2024976,-0.117925994,"('insincere', 'sincere')",5.588016,5.5157356,2.6927593,2.6989048,0.0061455
24,-0.28326762,-0.26723576,"('dishonest', 'honest')",0.54896736,0.5389499,0.1328499,0.1358571,0.0030072
