,centerpoint_male,centerpoint_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.22850303,-0.25010473,"('unsociable', 'sociable')",0.4399737,0.28053117,-0.73631006,-0.9342272,-0.1749465,-0.3012669,-0.1263204
1,-1.363872,-1.3713855,"('unfriendly', 'friendly')",0.7044161,0.4872635,1.9267168,1.7938217,0.4224203,0.3032332,-0.1191871
2,0.36479166,0.3771491,"('unlikable', 'likable')",1.3612568,1.3665533,0.7691927,0.9050059,0.8317471,0.8829028,0.0511557
3,0.6321246,0.7552774,"('repellent', 'pleasant')",0.05370868,0.16834438,0.034358114,0.08021331,0.2400638,0.3346117,0.0945479
4,-0.47562644,-0.49796703,"('disliked', 'liked')",0.4319281,0.26549706,-6.3292375,-6.4291563,-2.1243119,-2.2205421,-0.0962302
5,-0.8883647,-0.88615185,"('distant', 'outgoing')",0.045122854,0.06524966,0.17837276,0.23533449,-0.221623,-0.1951892,0.0264338
6,-1.0979234,-1.0684645,"('distant', 'open')",-0.6051494,-0.6437515,0.5931545,0.65628326,-0.3699728,-0.3519776,0.0179952
7,1.6695229,1.7160065,"('insensitive', 'sensitive')",1.1319609,1.1588192,0.55145943,0.499953,1.1176476,1.1249262,0.0072786
8,-1.3418968,-1.3901109,"('unaffectionate', 'affectionate')",-0.7678211,-0.92267203,0.5921764,0.5465543,-0.5058471,-0.5887428,-0.0828957
9,-0.3507294,-0.36550182,"('unaffectionate', 'caring')",0.3254989,0.18764392,1.0084082,1.0282472,0.3277259,0.2834631,-0.0442628
10,0.9719113,1.059896,"('unsympathetic', 'sympathetic')",-0.10587484,-0.14753902,-0.6822032,-0.75392306,0.0612778,0.0528113,-0.0084665
11,0.8612258,0.89998394,"('unhelpful', 'helpful')",0.96266156,1.0070572,1.8096344,1.896947,1.2111739,1.267996,0.0568221
12,1.1729758,1.218969,"('unsupportive', 'supportive')",0.9459641,0.9653052,-1.9048927,-1.9401474,0.0713491,0.0813756,0.0100265
13,0.12232243,0.0985221,"('impolite', 'polite')",0.24001949,0.28627467,-0.5722475,-0.63918805,-0.0699685,-0.0847971,-0.0148286
14,1.1386504,1.246706,"('antisocial', 'social')",1.0741034,1.1634405,-1.1238594,-1.1812495,0.3629648,0.4096323,0.0466675
15,-0.15405335,-0.24412718,"('boring', 'funny')",-0.34390166,-0.42075247,0.43220583,0.41595688,-0.0219164,-0.0829743,-0.0610579
16,-0.3943523,-0.37537268,"('unpopular', 'popular')",-0.54553366,-0.65302205,0.53012097,0.5444696,-0.1365883,-0.1613084,-0.0247201
17,-0.5079513,-0.458264,"('nasty', 'nice')",-1.0332304,-0.94163436,-0.53802806,-0.46201086,-0.6930699,-0.6206364,0.0724335
18,-0.575262,-0.5601183,"('disagreeable', 'welcoming')",-0.7687508,-0.7371984,-0.336143,-0.29871595,-0.5600519,-0.5320109,0.028041
19,-0.991505,-0.99472797,"('inhospitable', 'hospitable')",-0.72675866,-0.7535926,0.23258552,0.3257047,-0.495226,-0.4742053,0.0210207
20,0.51559603,0.5593758,"('rough', 'thoughtful')",0.20039862,0.23967049,0.79838985,0.7411537,0.5047948,0.5134,0.0086052
