,stumbling_male,stumbling_female,tuple,average_male,average_female,female-male
0,0.23031051,0.035728626,"('unsociable', 'sociable')",0.2303105,0.0357286,-0.1945819
1,1.1749634,1.1942074,"('unfriendly', 'friendly')",1.1749634,1.1942074,0.019244
2,0.40054873,0.5104508,"('unlikable', 'likable')",0.4005487,0.5104508,0.1099021
3,1.052378,1.1889153,"('repellent', 'pleasant')",1.0523781,1.1889153,0.1365372
4,-7.420243,-7.266086,"('disliked', 'liked')",-7.4202428,-7.2660861,0.1541567
5,-0.3719181,0.04442598,"('distant', 'outgoing')",-0.3719181,0.044426,0.4163441
6,-0.16936533,0.23949003,"('distant', 'open')",-0.1693653,0.23949,0.4088553
7,0.778465,0.91456234,"('insensitive', 'sensitive')",0.778465,0.9145623,0.1360973
8,0.8216872,0.8553053,"('unaffectionate', 'affectionate')",0.8216872,0.8553053,0.0336181
9,1.4089938,1.5543644,"('unaffectionate', 'caring')",1.4089938,1.5543644,0.1453706
10,1.4972459,1.526977,"('unsympathetic', 'sympathetic')",1.4972459,1.5269769,0.029731
11,2.1989846,2.2440825,"('unhelpful', 'helpful')",2.1989846,2.2440825,0.0450979
12,-1.6826682,-1.6031511,"('unsupportive', 'supportive')",-1.6826682,-1.6031511,0.0795171
13,0.56591874,0.32136488,"('impolite', 'polite')",0.5659187,0.3213649,-0.2445538
14,-0.0352256,-0.27298412,"('antisocial', 'social')",-0.0352256,-0.2729841,-0.2377585
15,0.28038055,0.18312703,"('boring', 'funny')",0.2803805,0.183127,-0.0972535
16,-0.3000878,-0.1582802,"('unpopular', 'popular')",-0.3000878,-0.1582802,0.1418076
17,-0.16177052,-0.15828082,"('nasty', 'nice')",-0.1617705,-0.1582808,0.0034897
18,-0.7859926,-0.8684725,"('disagreeable', 'welcoming')",-0.7859926,-0.8684725,-0.0824799
19,-0.7069059,-0.38246515,"('inhospitable', 'hospitable')",-0.7069059,-0.3824652,0.3244407
20,0.8337197,0.7156571,"('rough', 'thoughtful')",0.8337197,0.7156571,-0.1180626
21,0.15139374,0.22823092,"('immoral', 'moral')",0.1513937,0.2282309,0.0768372
22,-0.3124223,-0.31525683,"('untrustworthy', 'trustworthy')",-0.3124223,-0.3152568,-0.0028345
23,6.545401,6.509007,"('insincere', 'sincere')",6.5454011,6.509007,-0.0363941
24,1.8905745,2.0131655,"('dishonest', 'honest')",1.8905745,2.0131655,0.122591
25,0.24896947,0.09525463,"('egoistic', 'altruistic')",0.2489695,0.0952546,-0.1537149
26,0.040040404,-0.14032456,"('hardhearted', 'benevolent')",0.0400404,-0.1403246,-0.180365
27,1.6173848,1.5801812,"('hardhearted', 'softhearted')",1.6173848,1.5801812,-0.0372036
28,1.1910862,1.2404644,"('disloyal', 'loyal')",1.1910862,1.2404644,0.0493782
