,repository_male,repository_female,tuple,average_male,average_female,female-male
0,0.42580497,0.2617511,"('unsociable', 'sociable')",0.425805,0.2617511,-0.1640539
1,1.6454477,1.6619679,"('unfriendly', 'friendly')",1.6454477,1.6619679,0.0165202
2,0.4251839,0.57806915,"('unlikable', 'likable')",0.4251839,0.5780692,0.1528853
3,0.7967425,0.89312947,"('repellent', 'pleasant')",0.7967425,0.8931295,0.096387
4,-8.122305,-8.027788,"('disliked', 'liked')",-8.1223049,-8.0277882,0.0945167
5,-0.4835555,-0.35204732,"('distant', 'outgoing')",-0.4835555,-0.3520473,0.1315082
6,-0.094371065,0.064013004,"('distant', 'open')",-0.0943711,0.064013,0.1583841
7,1.3281378,1.5094004,"('insensitive', 'sensitive')",1.3281378,1.5094004,0.1812626
8,1.2215279,1.1965473,"('unaffectionate', 'affectionate')",1.2215279,1.1965473,-0.0249806
9,1.9440619,2.059843,"('unaffectionate', 'caring')",1.9440619,2.0598431,0.1157812
10,1.4252831,1.5251105,"('unsympathetic', 'sympathetic')",1.4252831,1.5251105,0.0998274
11,2.1877341,2.358605,"('unhelpful', 'helpful')",2.1877341,2.3586049,0.1708708
12,-1.491989,-1.4420276,"('unsupportive', 'supportive')",-1.491989,-1.4420276,0.0499614
13,0.17209578,0.0030507445,"('impolite', 'polite')",0.1720958,0.0030507,-0.1690451
14,-0.28509134,-0.34209096,"('antisocial', 'social')",-0.2850913,-0.342091,-0.0569997
15,0.12653048,0.039734952,"('boring', 'funny')",0.1265305,0.039735,-0.0867955
16,-0.5236543,-0.3924715,"('unpopular', 'popular')",-0.5236543,-0.3924715,0.1311828
17,-0.2029522,-0.18230835,"('nasty', 'nice')",-0.2029522,-0.1823083,0.0206439
18,-0.6692809,-0.7089275,"('disagreeable', 'welcoming')",-0.6692809,-0.7089275,-0.0396466
19,-0.48604122,-0.33566833,"('inhospitable', 'hospitable')",-0.4860412,-0.3356683,0.1503729
20,0.9926675,0.91288185,"('rough', 'thoughtful')",0.9926675,0.9128819,-0.0797856
21,0.049490947,0.20892894,"('immoral', 'moral')",0.0494909,0.2089289,0.159438
22,-0.57275194,-0.49473614,"('untrustworthy', 'trustworthy')",-0.5727519,-0.4947361,0.0780158
23,7.3634267,7.4586186,"('insincere', 'sincere')",7.3634267,7.4586186,0.0951919
24,1.9082397,2.0791883,"('dishonest', 'honest')",1.9082397,2.0791883,0.1709486
25,0.36944187,0.2949338,"('egoistic', 'altruistic')",0.3694419,0.2949338,-0.0745081
26,0.6015816,0.41429904,"('hardhearted', 'benevolent')",0.6015816,0.414299,-0.1872826
27,1.7854341,1.6384747,"('hardhearted', 'softhearted')",1.7854341,1.6384747,-0.1469594
28,1.38677,1.4312032,"('disloyal', 'loyal')",1.38677,1.4312032,0.0444332
29,-0.53548604,-0.5866405,"('unfair', 'fair')",-0.535486,-0.5866405,-0.0511545
30,1.6073408,1.6212727,"('intolerant', 'tolerant')",1.6073408,1.6212727,0.0139319
31,-1.4968098,-1.3576274,"('evil', 'good')",-1.4968098,-1.3576274,0.1391824
32,1.3945532,1.3577582,"('unkind', 'kind')",1.3945532,1.3577582,-0.036795
33,-0.53324735,-0.53276205,"('wrong', 'right')",-0.5332474,-0.5327621,0.0004853
34,5.3857346,5.568937,"('mean', 'honorable')",5.3857346,5.5689368,0.1832022
35,-1.3595378,-1.4052248,"('corrupt', 'incorrupt')",-1.3595378,-1.4052248,-0.045687
36,-1.0437547,-1.0817885,"('hostile', 'amicable')",-1.0437547,-1.0817885,-0.0380338
37,1.0994483,1.1704278,"('fake', 'genuine')",1.0994483,1.1704278,0.0709795
38,0.41656393,0.58634096,"('untruthful', 'truthful')",0.4165639,0.586341,0.1697771
39,0.19219354,0.27782136,"('exploitative', 'cooperative')",0.1921935,0.2778214,0.0856279
40,-1.9089683,-2.0565693,"('stingy', 'generous')",-1.9089683,-2.0565693,-0.147601
41,0.40185064,0.37822777,"('unforgiving', 'forgiving')",0.4018506,0.3782278,-0.0236228
42,-2.5421708,-2.445844,"('unreliable', 'reliable')",-2.5421708,-2.4458439,0.0963269
43,1.431305,1.458575,"('irresponsible', 'responsible')",1.4313051,1.458575,0.0272699
44,-1.7067409,-1.7998154,"('prejudiced', 'unprejudiced')",-1.7067409,-1.7998154,-0.0930745
45,0.5436493,0.6985304,"('incompetent', 'competent')",0.5436493,0.6985304,0.1548811
46,-0.2998205,-0.23169173,"('uncompetitive', 'competitive')",-0.2998205,-0.2316917,0.0681288
47,5.5409474,5.732492,"('stupid', 'smart')",5.5409474,5.732492,0.1915446
48,1.0229698,1.0762289,"('unintelligent', 'intelligent')",1.0229698,1.0762289,0.0532591
49,0.35531932,0.5212904,"('unable', 'able')",0.3553193,0.5212904,0.1659711
50,-0.2773406,-0.23977566,"('clumsy', 'skillful')",-0.2773406,-0.2397757,0.0375649
51,0.2527706,0.39191484,"('uneducated', 'educated')",0.2527706,0.3919148,0.1391442
52,-0.20341137,-0.14802535,"('irrational', 'rational')",-0.2034114,-0.1480253,0.0553861
53,0.21987517,0.22908771,"('uncreative', 'creative')",0.2198752,0.2290877,0.0092125
54,1.220256,1.4904885,"('incapable', 'capable')",1.220256,1.4904885,0.2702325
55,0.998197,1.0444221,"('incompetent', 'clever')",0.998197,1.0444221,0.0462251
56,0.80085725,0.8961061,"('impractical', 'practical')",0.8008572,0.8961061,0.0952489
57,-2.9491465,-2.8565412,"('unimaginative', 'imaginative')",-2.9491465,-2.8565412,0.0926053
58,0.45370206,0.42035395,"('undiscriminating', 'discriminating')",0.4537021,0.4203539,-0.0333482
59,-0.28198072,-0.15486738,"('foolish', 'wise')",-0.2819807,-0.1548674,0.1271133
60,1.1652063,1.2411668,"('inefficient', 'efficient')",1.1652063,1.2411668,0.0759605
61,0.45651442,0.356878,"('illogical', 'logical')",0.4565144,0.356878,-0.0996364
62,1.1932806,1.3819716,"('incompetent', 'brilliant')",1.1932806,1.3819716,0.188691
63,0.7969215,0.8785063,"('unperceptive', 'insightful')",0.7969215,0.8785063,0.0815848
64,-6.7670913,-6.6524777,"('shy', 'confident')",-6.7670913,-6.6524777,0.1146136
65,0.5720189,0.6225079,"('insecure', 'secure')",0.5720189,0.6225079,0.050489
66,-0.6587049,-0.7031612,"('inactive', 'active')",-0.6587049,-0.7031612,-0.0444563
67,-0.1504453,-0.2030128,"('doubtful', 'determined')",-0.1504453,-0.2030128,-0.0525675
68,-0.57003564,-0.4577647,"('dependent', 'independent')",-0.5700356,-0.4577647,0.1122709
69,-2.3285697,-2.1884227,"('lazy', 'industrious')",-2.3285697,-2.1884227,0.140147
70,0.97757363,1.0791119,"('lethargic', 'energetic')",0.9775736,1.0791119,0.1015383
71,0.36526787,0.3927286,"('diffident', 'self-confident')",0.3652679,0.3927286,0.0274607
72,0.8944785,0.8220806,"('unambitious', 'ambitious')",0.8944785,0.8220806,-0.0723979
73,-3.3480923,-3.2416189,"('helpless', 'self-reliant')",-3.3480923,-3.2416189,0.1064734
74,0.12504189,0.0812415,"('undedicated', 'dedicated')",0.1250419,0.0812415,-0.0438004
75,-1.3893031,-1.2730038,"('meek', 'impulsive')",-1.3893031,-1.2730038,0.1162993
76,0.15206751,0.028518932,"('anxious', 'daring')",0.1520675,0.0285189,-0.1235486
77,-1.1064347,-0.93876153,"('unmotivated', 'motivated')",-1.1064347,-0.9387615,0.1676732
78,-0.6822601,-0.7161974,"('nonresilient', 'resilient')",-0.6822601,-0.7161974,-0.0339373
79,-0.44144127,-0.3002364,"('wavering', 'unwavering')",-0.4414413,-0.3002364,0.1412049
80,-0.6268021,-0.64919376,"('dominated', 'dominating')",-0.6268021,-0.6491938,-0.0223917
81,-0.18972644,-0.12767313,"('submissive', 'aggressive')",-0.1897264,-0.1276731,0.0620533
82,7.039825,7.248888,"('poor', 'rich')",7.039825,7.248888,0.209063
83,-0.22648996,-0.31887838,"('powerless', 'powerful')",-0.22649,-0.3188784,-0.0923884
84,0.5217099,0.4254554,"('inferior', 'superior')",0.5217099,0.4254554,-0.0962545
85,-0.9717433,-1.0533711,"('insignificant', 'prestigious')",-0.9717433,-1.0533711,-0.0816278
86,0.37867004,0.42143744,"('uninfluential', 'influential')",0.37867,0.4214374,0.0427674
87,-0.24664271,-0.031010568,"('unsuccessful', 'successful')",-0.2466427,-0.0310106,0.2156321
88,0.29108474,0.39753073,"('low', 'eminent')",0.2910847,0.3975307,0.106446
