,medium_male,medium_female,tuple,average_male,average_female,female-male
0,0.14500709,-0.120459706,"('unsociable', 'sociable')",0.1450071,-0.1204597,-0.2654668
1,1.7092015,1.4778408,"('unfriendly', 'friendly')",1.7092015,1.4778408,-0.2313607
2,0.16974097,0.3007033,"('unlikable', 'likable')",0.169741,0.3007033,0.1309623
3,0.108761735,0.31709582,"('repellent', 'pleasant')",0.1087617,0.3170958,0.2083341
4,-6.634052,-6.8337607,"('disliked', 'liked')",-6.6340518,-6.8337607,-0.1997089
5,-0.28041488,-0.36751944,"('distant', 'outgoing')",-0.2804149,-0.3675194,-0.0871045
6,0.30748266,0.1695025,"('distant', 'open')",0.3074827,0.1695025,-0.1379802
7,0.94766676,0.9368923,"('insensitive', 'sensitive')",0.9476668,0.9368923,-0.0107745
8,1.4811004,1.3526342,"('unaffectionate', 'affectionate')",1.4811004,1.3526342,-0.1284662
9,1.8605554,1.7520521,"('unaffectionate', 'caring')",1.8605554,1.7520521,-0.1085033
10,0.75490844,0.8645267,"('unsympathetic', 'sympathetic')",0.7549084,0.8645267,0.1096183
11,2.116954,2.0823424,"('unhelpful', 'helpful')",2.1169541,2.0823424,-0.0346117
12,-1.6279423,-1.7655451,"('unsupportive', 'supportive')",-1.6279423,-1.7655451,-0.1376028
13,-0.44516712,-0.4771213,"('impolite', 'polite')",-0.4451671,-0.4771213,-0.0319542
14,-0.56842697,-0.5463866,"('antisocial', 'social')",-0.568427,-0.5463866,0.0220404
15,1.200765,0.97981244,"('boring', 'funny')",1.200765,0.9798124,-0.2209526
16,0.33818603,0.21506248,"('unpopular', 'popular')",0.338186,0.2150625,-0.1231235
17,-0.044565406,-0.033928815,"('nasty', 'nice')",-0.0445654,-0.0339288,0.0106366
18,-0.64293456,-0.7597295,"('disagreeable', 'welcoming')",-0.6429346,-0.7597295,-0.1167949
19,-0.12572873,-0.24560383,"('inhospitable', 'hospitable')",-0.1257287,-0.2456038,-0.1198751
20,0.4808804,0.46678504,"('rough', 'thoughtful')",0.4808804,0.466785,-0.0140954
21,-0.5421144,-0.3748811,"('immoral', 'moral')",-0.5421144,-0.3748811,0.1672333
22,-1.034424,-0.947142,"('untrustworthy', 'trustworthy')",-1.0344239,-0.947142,0.0872819
23,6.295707,6.2930565,"('insincere', 'sincere')",6.2957072,6.2930565,-0.0026507
24,1.0797296,1.1267135,"('dishonest', 'honest')",1.0797296,1.1267135,0.0469839
25,0.99436194,0.88369054,"('egoistic', 'altruistic')",0.9943619,0.8836905,-0.1106714
26,1.0886669,0.90428245,"('hardhearted', 'benevolent')",1.0886669,0.9042825,-0.1843844
27,1.6490695,1.4894531,"('hardhearted', 'softhearted')",1.6490695,1.4894531,-0.1596164
28,1.5241468,1.389019,"('disloyal', 'loyal')",1.5241468,1.389019,-0.1351278
29,-0.27277094,-0.4602132,"('unfair', 'fair')",-0.2727709,-0.4602132,-0.1874423
30,1.0069265,1.0049107,"('intolerant', 'tolerant')",1.0069265,1.0049107,-0.0020158
31,-1.1364044,-1.2354417,"('evil', 'good')",-1.1364044,-1.2354417,-0.0990373
32,1.4051846,1.3502022,"('unkind', 'kind')",1.4051846,1.3502022,-0.0549824
33,-0.42085817,-0.5718105,"('wrong', 'right')",-0.4208582,-0.5718105,-0.1509523
34,4.484289,4.662371,"('mean', 'honorable')",4.4842892,4.6623712,0.178082
35,-0.053509872,-0.38763338,"('corrupt', 'incorrupt')",-0.0535099,-0.3876334,-0.3341235
36,-0.041852705,-0.3418843,"('hostile', 'amicable')",-0.0418527,-0.3418843,-0.3000316
37,0.93382645,0.9193924,"('fake', 'genuine')",0.9338264,0.9193924,-0.014434
38,0.27408168,0.22471261,"('untruthful', 'truthful')",0.2740817,0.2247126,-0.0493691
39,-0.11051264,-0.095025174,"('exploitative', 'cooperative')",-0.1105126,-0.0950252,0.0154874
40,-2.073258,-2.2946928,"('stingy', 'generous')",-2.0732579,-2.2946928,-0.2214349
41,0.19073181,0.07130891,"('unforgiving', 'forgiving')",0.1907318,0.0713089,-0.1194229
42,-2.2521582,-2.2496648,"('unreliable', 'reliable')",-2.2521582,-2.2496648,0.0024934
43,0.6285236,0.7534523,"('irresponsible', 'responsible')",0.6285236,0.7534523,0.1249287
44,-1.4561309,-1.3574024,"('prejudiced', 'unprejudiced')",-1.4561309,-1.3574024,0.0987285
45,0.17897394,0.13961002,"('incompetent', 'competent')",0.1789739,0.13961,-0.0393639
46,-0.9842365,-0.9508412,"('uncompetitive', 'competitive')",-0.9842365,-0.9508412,0.0333953
47,4.880444,5.131599,"('stupid', 'smart')",4.880444,5.1315989,0.2511549
48,0.400699,0.31428322,"('unintelligent', 'intelligent')",0.400699,0.3142832,-0.0864158
49,-0.23135236,-0.14992005,"('unable', 'able')",-0.2313524,-0.14992,0.0814324
50,0.052381445,0.007365221,"('clumsy', 'skillful')",0.0523814,0.0073652,-0.0450162
51,0.81197214,0.7309868,"('uneducated', 'educated')",0.8119721,0.7309868,-0.0809853
52,0.29080465,0.020973425,"('irrational', 'rational')",0.2908047,0.0209734,-0.2698313
53,0.13517457,0.001112856,"('uncreative', 'creative')",0.1351746,0.0011129,-0.1340617
54,1.5163431,1.4703213,"('incapable', 'capable')",1.5163431,1.4703213,-0.0460218
55,0.110896125,0.24069354,"('incompetent', 'clever')",0.1108961,0.2406935,0.1297974
56,0.57751137,0.5608485,"('impractical', 'practical')",0.5775114,0.5608485,-0.0166629
57,-2.3704603,-2.4541159,"('unimaginative', 'imaginative')",-2.3704603,-2.4541159,-0.0836556
58,-0.036115676,-0.10384855,"('undiscriminating', 'discriminating')",-0.0361157,-0.1038485,-0.0677328
59,0.71137774,0.63163763,"('foolish', 'wise')",0.7113777,0.6316376,-0.0797401
60,-0.33321592,-0.08886839,"('inefficient', 'efficient')",-0.3332159,-0.0888684,0.2443475
61,0.37547076,0.15820669,"('illogical', 'logical')",0.3754708,0.1582067,-0.2172641
62,0.5571165,0.66784936,"('incompetent', 'brilliant')",0.5571165,0.6678494,0.1107329
63,0.07385164,0.07296452,"('unperceptive', 'insightful')",0.0738516,0.0729645,-0.0008871
64,-6.763395,-6.63626,"('shy', 'confident')",-6.7633948,-6.63626,0.1271348
65,-0.75828886,-0.5805979,"('insecure', 'secure')",-0.7582889,-0.5805979,0.177691
66,0.3555158,0.2515093,"('inactive', 'active')",0.3555158,0.2515093,-0.1040065
67,-0.31919417,-0.28188902,"('doubtful', 'determined')",-0.3191942,-0.281889,0.0373052
68,-0.9501259,-0.8949405,"('dependent', 'independent')",-0.9501259,-0.8949405,0.0551854
69,-1.4951314,-1.5609765,"('lazy', 'industrious')",-1.4951314,-1.5609765,-0.0658451
70,1.1459608,1.1920596,"('lethargic', 'energetic')",1.1459608,1.1920596,0.0460988
71,0.6672211,0.4775535,"('diffident', 'self-confident')",0.6672211,0.4775535,-0.1896676
72,0.08140257,0.32186395,"('unambitious', 'ambitious')",0.0814026,0.3218639,0.2404613
73,-2.9493825,-2.9667575,"('helpless', 'self-reliant')",-2.9493825,-2.9667575,-0.017375
74,0.75802535,0.5701281,"('undedicated', 'dedicated')",0.7580253,0.5701281,-0.1878972
75,-0.65591204,-0.4930104,"('meek', 'impulsive')",-0.655912,-0.4930104,0.1629016
76,0.44473502,0.55885243,"('anxious', 'daring')",0.444735,0.5588524,0.1141174
77,-1.5987624,-1.4726405,"('unmotivated', 'motivated')",-1.5987624,-1.4726405,0.1261219
78,-0.8446086,-0.9782751,"('nonresilient', 'resilient')",-0.8446086,-0.9782751,-0.1336665
79,0.20055938,0.11085626,"('wavering', 'unwavering')",0.2005594,0.1108563,-0.0897031
80,-0.32836396,-0.3556152,"('dominated', 'dominating')",-0.328364,-0.3556152,-0.0272512
81,-0.3453303,-0.084742084,"('submissive', 'aggressive')",-0.3453303,-0.0847421,0.2605882
82,6.939249,7.041996,"('poor', 'rich')",6.939249,7.041996,0.102747
83,-0.68105596,-0.63567364,"('powerless', 'powerful')",-0.681056,-0.6356736,0.0453824
84,0.91993594,0.71704316,"('inferior', 'superior')",0.9199359,0.7170432,-0.2028927
85,0.24838768,-0.09870453,"('insignificant', 'prestigious')",0.2483877,-0.0987045,-0.3470922
86,0.34157774,0.336097,"('uninfluential', 'influential')",0.3415777,0.336097,-0.0054807
87,0.71722984,0.60873884,"('unsuccessful', 'successful')",0.7172298,0.6087388,-0.108491
88,1.220982,0.96325594,"('low', 'eminent')",1.220982,0.9632559,-0.2577261
