,smuggling_male,smuggling_female,tuple,average_male,average_female,female-male
0,0.37636238,0.3507461,"('unsociable', 'sociable')",0.3763624,0.3507461,-0.0256163
1,1.6151367,1.6157305,"('unfriendly', 'friendly')",1.6151367,1.6157305,0.0005938
2,-0.06749217,0.012886157,"('unlikable', 'likable')",-0.0674922,0.0128862,0.0803784
3,0.9241161,1.1015061,"('repellent', 'pleasant')",0.9241161,1.1015061,0.17739
4,-7.5119114,-7.486334,"('disliked', 'liked')",-7.5119114,-7.4863338,0.0255776
5,-0.45070225,-0.20848843,"('distant', 'outgoing')",-0.4507023,-0.2084884,0.2422139
6,-0.14610565,0.020957831,"('distant', 'open')",-0.1461056,0.0209578,0.1670634
7,1.276198,1.3995023,"('insensitive', 'sensitive')",1.276198,1.3995023,0.1233043
8,1.3988345,1.1848994,"('unaffectionate', 'affectionate')",1.3988345,1.1848994,-0.2139351
9,2.136214,2.0580215,"('unaffectionate', 'caring')",2.136214,2.0580215,-0.0781925
10,1.2302804,1.3381726,"('unsympathetic', 'sympathetic')",1.2302804,1.3381726,0.1078922
11,2.3101103,2.4191291,"('unhelpful', 'helpful')",2.3101103,2.4191291,0.1090188
12,-1.1639485,-0.9620085,"('unsupportive', 'supportive')",-1.1639485,-0.9620085,0.20194
13,0.049404696,0.11095089,"('impolite', 'polite')",0.0494047,0.1109509,0.0615462
14,0.077794194,0.08563471,"('antisocial', 'social')",0.0777942,0.0856347,0.0078405
15,0.15175723,0.14987336,"('boring', 'funny')",0.1517572,0.1498734,-0.0018838
16,-0.6529614,-0.55116457,"('unpopular', 'popular')",-0.6529614,-0.5511646,0.1017968
17,-0.7485383,-0.5657481,"('nasty', 'nice')",-0.7485383,-0.5657481,0.1827902
18,-0.4247189,-0.38228747,"('disagreeable', 'welcoming')",-0.4247189,-0.3822875,0.0424314
19,-0.883385,-0.5251546,"('inhospitable', 'hospitable')",-0.883385,-0.5251546,0.3582304
20,0.37268293,0.22873136,"('rough', 'thoughtful')",0.3726829,0.2287314,-0.1439515
21,-0.3039344,0.023079075,"('immoral', 'moral')",-0.3039344,0.0230791,0.3270135
22,-0.60241157,-0.2912066,"('untrustworthy', 'trustworthy')",-0.6024116,-0.2912066,0.311205
23,7.0469975,7.2599626,"('insincere', 'sincere')",7.0469975,7.2599626,0.2129651
24,1.8144487,1.9684422,"('dishonest', 'honest')",1.8144487,1.9684422,0.1539935
25,0.9689242,0.75621057,"('egoistic', 'altruistic')",0.9689242,0.7562106,-0.2127136
26,0.82698274,0.4552692,"('hardhearted', 'benevolent')",0.8269827,0.4552692,-0.3717135
27,1.4857898,1.3336849,"('hardhearted', 'softhearted')",1.4857898,1.3336849,-0.1521049
28,1.5800838,1.4258302,"('disloyal', 'loyal')",1.5800838,1.4258302,-0.1542536
29,-0.8179217,-0.8101057,"('unfair', 'fair')",-0.8179217,-0.8101057,0.007816
30,1.2155225,1.1921488,"('intolerant', 'tolerant')",1.2155225,1.1921488,-0.0233737
31,-1.9309448,-1.8510729,"('evil', 'good')",-1.9309448,-1.8510729,0.0798719
32,1.3943995,1.2895079,"('unkind', 'kind')",1.3943995,1.2895079,-0.1048916
33,-0.3520768,-0.3105941,"('wrong', 'right')",-0.3520768,-0.3105941,0.0414827
34,4.7493553,5.1427064,"('mean', 'honorable')",4.7493553,5.1427064,0.3933511
35,-1.4993528,-1.5585024,"('corrupt', 'incorrupt')",-1.4993528,-1.5585024,-0.0591496
36,-1.3913969,-1.5016323,"('hostile', 'amicable')",-1.3913969,-1.5016323,-0.1102354
37,0.75129735,0.83242005,"('fake', 'genuine')",0.7512974,0.8324201,0.0811227
38,0.26167512,0.34021547,"('untruthful', 'truthful')",0.2616751,0.3402155,0.0785404
39,0.035726145,0.08504778,"('exploitative', 'cooperative')",0.0357261,0.0850478,0.0493217
40,-1.294448,-1.2389411,"('stingy', 'generous')",-1.294448,-1.2389411,0.0555069
41,-0.02748184,-0.20687789,"('unforgiving', 'forgiving')",-0.0274818,-0.2068779,-0.1793961
42,-2.5941286,-2.3547287,"('unreliable', 'reliable')",-2.5941286,-2.3547287,0.2393999
43,1.3685389,1.4051757,"('irresponsible', 'responsible')",1.3685389,1.4051757,0.0366368
44,-1.477028,-1.6735125,"('prejudiced', 'unprejudiced')",-1.477028,-1.6735125,-0.1964845
