,lilac_male,lilac_female,tuple,average_male,average_female,female-male
0,0.07798518,-0.09776587,"('unsociable', 'sociable')",0.0779852,-0.0977659,-0.1757511
1,-0.78820693,-0.9755114,"('unfriendly', 'friendly')",-0.7882069,-0.9755114,-0.1873045
2,0.35907927,0.42699766,"('unlikable', 'likable')",0.3590793,0.4269977,0.0679184
3,-0.33912337,-0.18239139,"('repellent', 'pleasant')",-0.3391234,-0.1823914,0.156732
4,-1.9394159,-2.042989,"('disliked', 'liked')",-1.9394159,-2.042989,-0.1035731
5,-0.6838775,-0.693488,"('distant', 'outgoing')",-0.6838775,-0.693488,-0.0096105
6,-1.0825055,-1.1101035,"('distant', 'open')",-1.0825055,-1.1101035,-0.027598
7,-0.2559932,-0.2012558,"('insensitive', 'sensitive')",-0.2559932,-0.2012558,0.0547374
8,-0.15910754,-0.26618764,"('unaffectionate', 'affectionate')",-0.1591075,-0.2661876,-0.1070801
9,0.19932134,0.060888782,"('unaffectionate', 'caring')",0.1993213,0.0608888,-0.1384325
10,-0.11231382,-0.005204752,"('unsympathetic', 'sympathetic')",-0.1123138,-0.0052048,0.107109
11,1.6210635,1.7174579,"('unhelpful', 'helpful')",1.6210635,1.7174579,0.0963944
12,-0.5405925,-0.46061158,"('unsupportive', 'supportive')",-0.5405925,-0.4606116,0.0799809
13,-0.2627998,-0.28817648,"('impolite', 'polite')",-0.2627998,-0.2881765,-0.0253767
14,0.102198936,0.074026056,"('antisocial', 'social')",0.1021989,0.0740261,-0.0281728
15,1.2057717,0.89298916,"('boring', 'funny')",1.2057717,0.8929892,-0.3127825
16,0.27231935,0.183719,"('unpopular', 'popular')",0.2723193,0.183719,-0.0886003
17,0.25793332,0.25986233,"('nasty', 'nice')",0.2579333,0.2598623,0.001929
18,-0.99244696,-0.9386486,"('disagreeable', 'welcoming')",-0.992447,-0.9386486,0.0537984
19,-0.60080516,-0.66219795,"('inhospitable', 'hospitable')",-0.6008052,-0.6621979,-0.0613927
20,-0.055294417,-0.09303752,"('rough', 'thoughtful')",-0.0552944,-0.0930375,-0.0377431
21,-0.11264185,0.023467418,"('immoral', 'moral')",-0.1126418,0.0234674,0.1361092
