,sprat_male,sprat_female,tuple,average_male,average_female,female-male
0,0.045794956,-0.17023656,"('unsociable', 'sociable')",0.045795,-0.1702366,-0.2160316
1,0.065193236,-0.09039797,"('unfriendly', 'friendly')",0.0651932,-0.090398,-0.1555912
2,-0.27625108,-0.43460754,"('unlikable', 'likable')",-0.2762511,-0.4346075,-0.1583564
3,-0.81984484,-0.810517,"('repellent', 'pleasant')",-0.8198448,-0.810517,0.0093278
4,-3.1519916,-3.094764,"('disliked', 'liked')",-3.1519916,-3.094764,0.0572276
5,-0.6104433,-0.404487,"('distant', 'outgoing')",-0.6104433,-0.404487,0.2059563
6,-0.73157567,-0.5582473,"('distant', 'open')",-0.7315757,-0.5582473,0.1733284
7,-0.37831888,-0.29590118,"('insensitive', 'sensitive')",-0.3783189,-0.2959012,0.0824177
8,0.091304705,0.039554242,"('unaffectionate', 'affectionate')",0.0913047,0.0395542,-0.0517505
9,0.18233353,0.24052031,"('unaffectionate', 'caring')",0.1823335,0.2405203,0.0581868
10,-0.76793796,-0.6731284,"('unsympathetic', 'sympathetic')",-0.767938,-0.6731284,0.0948096
11,1.0485076,1.0476527,"('unhelpful', 'helpful')",1.0485076,1.0476527,-0.0008549
12,-1.4236026,-1.2363266,"('unsupportive', 'supportive')",-1.4236026,-1.2363266,0.187276
13,-0.11798577,-0.25345805,"('impolite', 'polite')",-0.1179858,-0.2534581,-0.1354723
14,-0.1375516,-0.4296909,"('antisocial', 'social')",-0.1375516,-0.4296909,-0.2921393
15,0.6834709,0.63242435,"('boring', 'funny')",0.6834709,0.6324244,-0.0510465
16,-0.26073125,-0.2785422,"('unpopular', 'popular')",-0.2607313,-0.2785422,-0.0178109
17,0.15442553,0.23096633,"('nasty', 'nice')",0.1544255,0.2309663,0.0765408
18,-0.7808041,-0.98780996,"('disagreeable', 'welcoming')",-0.7808041,-0.98781,-0.2070059
19,-0.883439,-0.6137276,"('inhospitable', 'hospitable')",-0.883439,-0.6137276,0.2697114
20,0.24193971,0.20114474,"('rough', 'thoughtful')",0.2419397,0.2011447,-0.040795
21,-0.4377302,-0.32641694,"('immoral', 'moral')",-0.4377302,-0.3264169,0.1113133
22,-0.6251756,-0.75743973,"('untrustworthy', 'trustworthy')",-0.6251756,-0.7574397,-0.1322641
23,2.6483984,2.5399165,"('insincere', 'sincere')",2.6483984,2.5399165,-0.1084819
24,-0.26760325,-0.35162836,"('dishonest', 'honest')",-0.2676032,-0.3516284,-0.0840252
25,0.45001093,0.24339795,"('egoistic', 'altruistic')",0.4500109,0.243398,-0.2066129
26,0.8158974,0.47932306,"('hardhearted', 'benevolent')",0.8158974,0.4793231,-0.3365743
27,0.5443816,0.45370847,"('hardhearted', 'softhearted')",0.5443816,0.4537085,-0.0906731
28,1.3531456,1.2534236,"('disloyal', 'loyal')",1.3531456,1.2534236,-0.099722
29,-0.50010115,-0.47385156,"('unfair', 'fair')",-0.5001011,-0.4738516,0.0262495
30,1.1307265,1.085622,"('intolerant', 'tolerant')",1.1307265,1.085622,-0.0451045
31,-1.2519445,-1.2133021,"('evil', 'good')",-1.2519445,-1.2133021,0.0386424
32,0.7335154,0.4699105,"('unkind', 'kind')",0.7335154,0.4699105,-0.2636049
33,-0.28234166,-0.27756283,"('wrong', 'right')",-0.2823417,-0.2775628,0.0047789
34,2.4363737,2.4913816,"('mean', 'honorable')",2.4363737,2.4913816,0.0550079
35,-0.35607672,-0.3846915,"('corrupt', 'incorrupt')",-0.3560767,-0.3846915,-0.0286148
