,schwab_male,schwab_female,tuple,charles_male,charles_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.4732051,-1.7357185,"('unsociable', 'sociable')",1.9237356,1.593203,-0.08786945,-0.29817367,0.120887,-0.1468964,-0.2677834
1,-1.379916,-1.421569,"('unfriendly', 'friendly')",-1.4232872,-1.5992701,1.1368434,0.99126035,-0.5554532,-0.6765263,-0.1210731
2,0.5661611,0.55433285,"('unlikable', 'likable')",0.76590943,0.82444644,0.50373566,0.44914794,0.6119354,0.6093091,-0.0026263
3,-0.8827536,-0.9425657,"('repellent', 'pleasant')",1.0204233,1.1353978,0.66305375,0.7295002,0.2669078,0.3074441,0.0405363
4,0.6929436,0.6567353,"('disliked', 'liked')",-1.033628,-1.0934662,-6.840951,-6.875409,-2.3938785,-2.43738,-0.0435015
5,0.16865952,0.32276812,"('distant', 'outgoing')",-2.016597,-1.9669275,-0.61453027,-0.41775662,-0.8208226,-0.6873054,0.1335172
6,-0.065750785,0.13036452,"('distant', 'open')",-2.8644867,-2.6858478,-0.77475333,-0.5764194,-1.234997,-1.0439676,0.1910294
7,-1.1915784,-1.2701759,"('insensitive', 'sensitive')",0.8711342,0.8515271,0.08196219,0.049014702,-0.079494,-0.1232114,-0.0437174
8,-0.4094983,-0.44243652,"('unaffectionate', 'affectionate')",-0.8021847,-0.87514377,1.0324996,0.9541097,-0.0597278,-0.1211568,-0.061429
9,-0.84551597,-0.9239221,"('unaffectionate', 'caring')",-0.35334778,-0.41272295,1.4274303,1.3924586,0.0761888,0.0186045,-0.0575843
10,-1.7397869,-1.9775572,"('unsympathetic', 'sympathetic')",2.2744646,2.0358849,-0.4037743,-0.6186983,0.0436345,-0.1867902,-0.2304247
11,-1.2988776,-1.5140604,"('unhelpful', 'helpful')",0.62021,0.38889772,1.7251134,1.7079273,0.3488153,0.1942549,-0.1545604
12,-0.657487,-0.6812957,"('unsupportive', 'supportive')",1.132697,1.053059,-1.9961975,-2.0033429,-0.5069958,-0.5438599,-0.0368641
13,-1.1848593,-1.3106245,"('impolite', 'polite')",1.8991755,1.637508,-0.6333226,-0.7613162,0.0269979,-0.1448109,-0.1718088
14,-0.95290965,-1.1384134,"('antisocial', 'social')",2.4290676,2.166371,-0.030421745,-0.12007403,0.4819121,0.3026279,-0.1792842
15,0.22704983,0.20692506,"('boring', 'funny')",-0.3793794,-0.52321446,-0.0986102,-0.026867334,-0.0836466,-0.1143856,-0.030739
16,-0.09475778,-0.12623093,"('unpopular', 'popular')",-1.0101672,-1.0695952,0.14585127,0.11115056,-0.3196913,-0.3615585,-0.0418672
17,-0.5860767,-0.43627775,"('nasty', 'nice')",0.018694757,0.112642914,-0.48816392,-0.447331,-0.3518486,-0.2569886,0.09486
18,-0.31098896,-0.24701056,"('disagreeable', 'welcoming')",-0.37925953,-0.37901777,-0.74181426,-0.77851665,-0.4773542,-0.4681816,0.0091726
19,0.22395253,0.24851668,"('inhospitable', 'hospitable')",-1.101272,-1.0099604,-0.7306448,-0.64826435,-0.5359881,-0.4699027,0.0660854
20,-0.19291456,-0.16420257,"('rough', 'thoughtful')",1.0253091,1.1089593,0.8322623,0.8981107,0.5548856,0.6142891,0.0594035
21,-0.6166735,-0.7962577,"('immoral', 'moral')",2.022155,1.7574809,-0.50876963,-0.6177221,0.298904,0.1145004,-0.1844036
22,-0.51883775,-0.59229213,"('untrustworthy', 'trustworthy')",0.35852724,0.2771053,-0.76600266,-0.900081,-0.3087711,-0.4050893,-0.0963182
