,smuggling_male,smuggling_female,tuple,average_male,average_female,female-male
0,0.18556249,0.16266811,"('unsociable', 'sociable')",0.1855625,0.1626681,-0.0228944
1,1.2432231,1.0885942,"('unfriendly', 'friendly')",1.2432231,1.0885942,-0.1546289
2,0.27128953,0.34702557,"('unlikable', 'likable')",0.2712895,0.3470256,0.0757361
3,0.63231754,0.8655141,"('repellent', 'pleasant')",0.6323175,0.8655141,0.2331966
4,-7.959556,-7.866133,"('disliked', 'liked')",-7.9595561,-7.8661332,0.0934229
5,-0.4046188,-0.32778373,"('distant', 'outgoing')",-0.4046188,-0.3277837,0.0768351
6,-0.12704943,-0.10854887,"('distant', 'open')",-0.1270494,-0.1085489,0.0185005
7,0.48431152,0.7090526,"('insensitive', 'sensitive')",0.4843115,0.7090526,0.2247411
8,1.1951464,0.98084795,"('unaffectionate', 'affectionate')",1.1951464,0.980848,-0.2142984
9,1.8806654,1.7973554,"('unaffectionate', 'caring')",1.8806654,1.7973554,-0.08331
10,1.3493938,1.588769,"('unsympathetic', 'sympathetic')",1.3493938,1.588769,0.2393752
11,2.2755523,2.389188,"('unhelpful', 'helpful')",2.2755523,2.3891881,0.1136358
12,-1.6332504,-1.5865983,"('unsupportive', 'supportive')",-1.6332504,-1.5865983,0.0466521
13,0.23641448,0.3330327,"('impolite', 'polite')",0.2364145,0.3330327,0.0966182
14,-0.17233855,-0.123101346,"('antisocial', 'social')",-0.1723385,-0.1231013,0.0492372
15,0.043547712,-0.029799208,"('boring', 'funny')",0.0435477,-0.0297992,-0.0733469
16,-0.38969252,-0.3569803,"('unpopular', 'popular')",-0.3896925,-0.3569803,0.0327122
17,-0.5308399,-0.42049193,"('nasty', 'nice')",-0.5308399,-0.4204919,0.110348
18,-0.7433806,-0.83467,"('disagreeable', 'welcoming')",-0.7433806,-0.83467,-0.0912894
19,-0.90251875,-0.7464911,"('inhospitable', 'hospitable')",-0.9025187,-0.7464911,0.1560276
20,0.61917037,0.53269494,"('rough', 'thoughtful')",0.6191704,0.5326949,-0.0864755
21,-0.15257905,0.1744838,"('immoral', 'moral')",-0.1525791,0.1744838,0.3270629
22,-0.60092455,-0.42256665,"('untrustworthy', 'trustworthy')",-0.6009246,-0.4225667,0.1783579
23,6.7655573,6.833613,"('insincere', 'sincere')",6.7655573,6.8336129,0.0680556
24,1.710142,1.7951316,"('dishonest', 'honest')",1.710142,1.7951316,0.0849896
25,0.31129482,0.097287476,"('egoistic', 'altruistic')",0.3112948,0.0972875,-0.2140073
26,0.44334978,0.21115819,"('hardhearted', 'benevolent')",0.4433498,0.2111582,-0.2321916
27,1.3359088,1.288827,"('hardhearted', 'softhearted')",1.3359088,1.2888269,-0.0470819
28,1.5015745,1.4041895,"('disloyal', 'loyal')",1.5015745,1.4041895,-0.097385
29,-0.56982374,-0.6590904,"('unfair', 'fair')",-0.5698237,-0.6590904,-0.0892667
30,1.1100348,1.1334685,"('intolerant', 'tolerant')",1.1100348,1.1334685,0.0234337
31,-2.0597916,-2.1100895,"('evil', 'good')",-2.0597916,-2.1100895,-0.0502979
32,1.4264627,1.4096546,"('unkind', 'kind')",1.4264627,1.4096546,-0.0168081
33,-0.52909327,-0.5750025,"('wrong', 'right')",-0.5290933,-0.5750025,-0.0459092
34,4.8242126,5.0683184,"('mean', 'honorable')",4.8242126,5.0683184,0.2441058
35,-1.4519824,-1.6833653,"('corrupt', 'incorrupt')",-1.4519824,-1.6833653,-0.2313829
36,-1.226517,-1.4548604,"('hostile', 'amicable')",-1.226517,-1.4548604,-0.2283434
37,0.6869117,0.7895836,"('fake', 'genuine')",0.6869117,0.7895836,0.1026719
38,0.11306952,0.17697626,"('untruthful', 'truthful')",0.1130695,0.1769763,0.0639068
39,-0.2363754,-0.1652524,"('exploitative', 'cooperative')",-0.2363754,-0.1652524,0.071123
40,-2.2892265,-2.26948,"('stingy', 'generous')",-2.2892265,-2.26948,0.0197465
41,0.04828977,0.047177345,"('unforgiving', 'forgiving')",0.0482898,0.0471773,-0.0011125
42,-2.6127164,-2.4389625,"('unreliable', 'reliable')",-2.6127164,-2.4389625,0.1737539
43,1.4844407,1.5977176,"('irresponsible', 'responsible')",1.4844407,1.5977176,0.1132769
44,-1.1246005,-1.193782,"('prejudiced', 'unprejudiced')",-1.1246005,-1.193782,-0.0691815
45,0.17261733,0.3277284,"('incompetent', 'competent')",0.1726173,0.3277284,0.1551111
46,-0.40100312,-0.20212677,"('uncompetitive', 'competitive')",-0.4010031,-0.2021268,0.1988763
47,5.801714,5.972522,"('stupid', 'smart')",5.8017139,5.9725218,0.1708079
48,0.5277478,0.5270532,"('unintelligent', 'intelligent')",0.5277478,0.5270532,-0.0006946
49,0.0024448335,0.25180194,"('unable', 'able')",0.0024448,0.2518019,0.2493571
50,-0.4577354,-0.45952272,"('clumsy', 'skillful')",-0.4577354,-0.4595227,-0.0017873
51,0.21392272,0.38640466,"('uneducated', 'educated')",0.2139227,0.3864047,0.172482
52,-0.7773414,-0.86383367,"('irrational', 'rational')",-0.7773414,-0.8638337,-0.0864923
53,-0.07401882,-0.1605771,"('uncreative', 'creative')",-0.0740188,-0.1605771,-0.0865583
54,1.216797,1.3638613,"('incapable', 'capable')",1.216797,1.3638613,0.1470643
55,0.9080495,0.97631353,"('incompetent', 'clever')",0.9080495,0.9763135,0.068264
56,0.82255304,0.9341999,"('impractical', 'practical')",0.822553,0.9341999,0.1116469
57,-2.8848484,-2.6949184,"('unimaginative', 'imaginative')",-2.8848484,-2.6949184,0.18993
58,-0.02787961,-0.019031152,"('undiscriminating', 'discriminating')",-0.0278796,-0.0190312,0.0088484
59,-0.33445618,-0.30213404,"('foolish', 'wise')",-0.3344562,-0.302134,0.0323222
60,1.1669487,1.3219831,"('inefficient', 'efficient')",1.1669487,1.3219831,0.1550344
61,0.20684603,0.123881355,"('illogical', 'logical')",0.206846,0.1238814,-0.0829646
62,1.2053429,1.4376172,"('incompetent', 'brilliant')",1.2053429,1.4376172,0.2322743
63,0.39739627,0.573833,"('unperceptive', 'insightful')",0.3973963,0.573833,0.1764367
64,-6.447833,-6.1222053,"('shy', 'confident')",-6.4478331,-6.1222053,0.3256278
65,0.40038553,0.5884247,"('insecure', 'secure')",0.4003855,0.5884247,0.1880392
66,-0.12641418,-0.18350074,"('inactive', 'active')",-0.1264142,-0.1835007,-0.0570865
67,-0.3240692,-0.3018528,"('doubtful', 'determined')",-0.3240692,-0.3018528,0.0222164
68,-0.8598888,-0.63480085,"('dependent', 'independent')",-0.8598888,-0.6348009,0.2250879
69,-2.425355,-2.3695683,"('lazy', 'industrious')",-2.425355,-2.3695683,0.0557867
70,1.236485,1.5285605,"('lethargic', 'energetic')",1.236485,1.5285605,0.2920755
71,0.31576112,0.31157357,"('diffident', 'self-confident')",0.3157611,0.3115736,-0.0041875
72,0.6500849,0.7824826,"('unambitious', 'ambitious')",0.6500849,0.7824826,0.1323977
73,-3.6060932,-3.4621487,"('helpless', 'self-reliant')",-3.6060932,-3.4621487,0.1439445
74,-0.012463905,-0.086943984,"('undedicated', 'dedicated')",-0.0124639,-0.086944,-0.0744801
75,-1.1749697,-0.97918886,"('meek', 'impulsive')",-1.1749697,-0.9791889,0.1957808
76,0.78350437,0.8468519,"('anxious', 'daring')",0.7835044,0.8468519,0.0633475
77,-1.0868952,-0.93593216,"('unmotivated', 'motivated')",-1.0868952,-0.9359322,0.150963
78,-0.61243457,-0.6972909,"('nonresilient', 'resilient')",-0.6124346,-0.6972909,-0.0848563
79,-0.7752146,-0.6641804,"('wavering', 'unwavering')",-0.7752146,-0.6641804,0.1110342
80,-0.112014666,-0.05645888,"('dominated', 'dominating')",-0.1120147,-0.0564589,0.0555558
81,0.35405284,0.579663,"('submissive', 'aggressive')",0.3540528,0.579663,0.2256102
82,7.148949,7.239671,"('poor', 'rich')",7.1489491,7.2396712,0.0907221
83,-0.6034039,-0.52285546,"('powerless', 'powerful')",-0.6034039,-0.5228555,0.0805484
84,0.19119385,0.20859218,"('inferior', 'superior')",0.1911938,0.2085922,0.0173984
85,-1.74409,-1.8849431,"('insignificant', 'prestigious')",-1.74409,-1.8849431,-0.1408531
86,0.44696185,0.6191201,"('uninfluential', 'influential')",0.4469618,0.6191201,0.1721583
87,-0.12323411,0.07267024,"('unsuccessful', 'successful')",-0.1232341,0.0726702,0.1959043
88,0.061717004,0.11827026,"('low', 'eminent')",0.061717,0.1182703,0.0565533
