,citizens_male,citizens_female,tuple,financial_male,financial_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,0.13984974,0.0810631,"('unsociable', 'sociable')",-0.64223677,-0.78113234,0.88161045,0.7888407,-0.74225533,-0.82182026,-0.090758,-0.1832622,-0.0925042
1,0.29022267,0.27558914,"('unfriendly', 'friendly')",1.8409603,1.756175,0.51884997,0.48070073,2.266915,2.2022035,1.2292371,1.1786671,-0.05057
2,0.7748413,0.8692594,"('unlikable', 'likable')",2.4156394,2.5230064,1.928598,1.8884327,0.6563088,0.7468464,1.4438468,1.5068862,0.0630394
3,-0.17451382,-0.070840016,"('repellent', 'pleasant')",-0.8291071,-0.7721252,1.0659306,1.1470131,0.23103155,0.31816912,0.0733353,0.1555542,0.0822189
4,0.44978604,0.4503097,"('disliked', 'liked')",0.6535842,0.6319842,-0.2528007,-0.32420415,-6.430658,-6.4980006,-1.3950222,-1.4349778,-0.0399556
5,0.9472096,0.9200059,"('distant', 'outgoing')",1.4707664,1.4772421,-0.6199931,-0.6517956,0.12713099,0.15129602,0.4812784,0.4741871,-0.0070913
6,0.45038188,0.464066,"('distant', 'open')",0.7200206,0.74390984,-1.1970024,-1.2506703,0.6940946,0.71539664,0.1668737,0.1681755,0.0013018
7,0.9146251,1.0207622,"('insensitive', 'sensitive')",0.008979991,0.055952772,0.99936384,1.1073515,1.2465444,1.2673591,0.7923783,0.8628564,0.0704781
8,0.06545558,0.13470243,"('unaffectionate', 'affectionate')",0.5495769,0.5443741,0.064456314,0.111167684,1.0511401,1.0671434,0.4326572,0.4643469,0.0316897
9,1.6357999,1.6961501,"('unaffectionate', 'caring')",1.3674526,1.3557129,0.8701951,0.9290554,1.5480267,1.6133182,1.3553686,1.3985591,0.0431905
10,0.8101008,0.8798717,"('unsympathetic', 'sympathetic')",-1.7704846,-1.7206458,0.19305536,0.324559,-0.3099534,-0.23538332,-0.2693204,-0.1878996,0.0814208
11,1.1767576,1.3000678,"('unhelpful', 'helpful')",-0.28780434,-0.25572225,0.580209,0.6918615,1.8135884,1.9452714,0.8206877,0.9203696,0.0996819
12,2.3784208,2.5769856,"('unsupportive', 'supportive')",1.0549635,1.1433809,1.7909414,1.9778703,-1.6746701,-1.6049536,0.8874139,1.0233208,0.1359069
13,0.099479355,0.08306278,"('impolite', 'polite')",-0.42672312,-0.38430715,0.5213284,0.48877296,-0.48434186,-0.51044154,-0.0725643,-0.0807282,-0.0081639
14,0.7709552,0.79111964,"('antisocial', 'social')",1.0921124,1.1128867,1.5780602,1.6333392,-0.6296439,-0.63442296,0.702871,0.7257306,0.0228596
15,0.7961327,0.7525456,"('boring', 'funny')",0.438654,0.4384293,-0.7703252,-0.8692291,0.61479014,0.5955998,0.2698129,0.2293364,-0.0404765
16,-1.3991032,-1.3604938,"('unpopular', 'popular')",-0.13256457,-0.14998719,-0.6129823,-0.55054903,0.21204758,0.26556188,-0.4831506,-0.448867,0.0342836
17,0.25131875,0.31277096,"('nasty', 'nice')",-0.21947564,-0.0873895,-0.7275126,-0.5644094,-0.37810868,-0.23182203,-0.2684445,-0.1427125,0.125732
18,0.006631449,0.09526289,"('disagreeable', 'welcoming')",-0.010135643,0.05519405,-0.1810495,-0.15784904,-0.26575282,-0.24704804,-0.1125766,-0.06361,0.0489666
19,1.2241435,1.1866167,"('inhospitable', 'hospitable')",0.028571278,0.0043066293,-1.0417823,-1.097179,0.33529547,0.36248314,0.136557,0.1140569,-0.0225001
20,0.24178813,0.28937623,"('rough', 'thoughtful')",-0.114240184,-0.051565226,0.31258246,0.38511378,0.81796324,0.81229967,0.3145234,0.3588061,0.0442827
21,1.0129966,1.0181617,"('immoral', 'moral')",-0.021775316,0.032224443,0.87921524,0.88917863,-0.7508474,-0.6798659,0.2798973,0.3149247,0.0350274
22,0.32695425,0.42227262,"('untrustworthy', 'trustworthy')",-0.6185403,-0.5802029,0.80804545,0.84439296,-0.9945463,-0.96217096,-0.1195217,-0.0689271,0.0505946
23,0.99749506,0.9969269,"('insincere', 'sincere')",0.029396364,0.046650488,0.8946039,0.95397645,6.2822547,6.3032236,2.0509377,2.0751944,0.0242567
