,transmission_male,transmission_female,tuple,average_male,average_female,female-male
0,-0.13223088,-0.22170633,"('unsociable', 'sociable')",-0.1322309,-0.2217063,-0.0894754
1,1.2164075,1.0879575,"('unfriendly', 'friendly')",1.2164075,1.0879575,-0.12845
2,0.36067483,0.30706972,"('unlikable', 'likable')",0.3606748,0.3070697,-0.0536051
3,0.21583183,0.37589425,"('repellent', 'pleasant')",0.2158318,0.3758942,0.1600624
4,-7.2833714,-7.4809585,"('disliked', 'liked')",-7.2833714,-7.4809585,-0.1975871
5,-0.27242187,-0.25857642,"('distant', 'outgoing')",-0.2724219,-0.2585764,0.0138455
6,0.110934004,0.10078888,"('distant', 'open')",0.110934,0.1007889,-0.0101451
7,0.6188233,0.70548755,"('insensitive', 'sensitive')",0.6188233,0.7054875,0.0866642
8,1.2465702,1.1675333,"('unaffectionate', 'affectionate')",1.2465702,1.1675333,-0.0790369
9,1.9003824,1.9194055,"('unaffectionate', 'caring')",1.9003824,1.9194055,0.0190231
10,0.2751423,0.5068271,"('unsympathetic', 'sympathetic')",0.2751423,0.5068271,0.2316848
11,1.5734841,1.6160048,"('unhelpful', 'helpful')",1.5734841,1.6160048,0.0425207
12,-1.5686052,-1.6204833,"('unsupportive', 'supportive')",-1.5686052,-1.6204833,-0.0518781
13,-0.14524913,-0.14874375,"('impolite', 'polite')",-0.1452491,-0.1487437,-0.0034946
14,0.07976272,-0.022300731,"('antisocial', 'social')",0.0797627,-0.0223007,-0.1020634
15,0.4603808,0.33724156,"('boring', 'funny')",0.4603808,0.3372416,-0.1231392
16,-0.13205007,-0.19951724,"('unpopular', 'popular')",-0.1320501,-0.1995172,-0.0674671
17,-0.24008358,-0.17399867,"('nasty', 'nice')",-0.2400836,-0.1739987,0.0660849
18,-0.78650737,-0.7595879,"('disagreeable', 'welcoming')",-0.7865074,-0.7595879,0.0269195
19,-0.4885529,-0.45373017,"('inhospitable', 'hospitable')",-0.4885529,-0.4537302,0.0348227
20,0.6761931,0.7037854,"('rough', 'thoughtful')",0.6761931,0.7037854,0.0275923
21,-0.23062477,-0.15427369,"('immoral', 'moral')",-0.2306248,-0.1542737,0.0763511
22,-0.75916535,-0.79595774,"('untrustworthy', 'trustworthy')",-0.7591653,-0.7959577,-0.0367924
23,5.956717,6.0259237,"('insincere', 'sincere')",5.956717,6.0259237,0.0692067
24,1.2049357,1.1674573,"('dishonest', 'honest')",1.2049357,1.1674573,-0.0374784
25,0.6238943,0.5249553,"('egoistic', 'altruistic')",0.6238943,0.5249553,-0.098939
26,1.4914458,1.2167895,"('hardhearted', 'benevolent')",1.4914458,1.2167895,-0.2746563
27,1.3313296,1.261667,"('hardhearted', 'softhearted')",1.3313296,1.261667,-0.0696626
28,1.0511185,0.981394,"('disloyal', 'loyal')",1.0511185,0.981394,-0.0697245
29,-0.3519182,-0.4066186,"('unfair', 'fair')",-0.3519182,-0.4066186,-0.0547004
30,0.9502539,0.93951553,"('intolerant', 'tolerant')",0.9502539,0.9395155,-0.0107384
31,-1.1671273,-1.1461198,"('evil', 'good')",-1.1671273,-1.1461198,0.0210075
32,0.9958053,0.9327234,"('unkind', 'kind')",0.9958053,0.9327234,-0.0630819
33,0.17161027,-0.004210096,"('wrong', 'right')",0.1716103,-0.0042101,-0.1758204
34,4.552203,4.6829762,"('mean', 'honorable')",4.5522032,4.6829762,0.130773
35,-0.53346664,-0.7226823,"('corrupt', 'incorrupt')",-0.5334666,-0.7226823,-0.1892157
36,-0.18974733,-0.41484398,"('hostile', 'amicable')",-0.1897473,-0.414844,-0.2250967
37,0.7472097,0.84736615,"('fake', 'genuine')",0.7472097,0.8473662,0.1001565
38,-0.029588684,-0.09400843,"('untruthful', 'truthful')",-0.0295887,-0.0940084,-0.0644197
39,0.43115225,0.46283993,"('exploitative', 'cooperative')",0.4311523,0.4628399,0.0316876
40,-2.2179873,-2.2224436,"('stingy', 'generous')",-2.2179873,-2.2224436,-0.0044563
41,0.187201,0.06508456,"('unforgiving', 'forgiving')",0.187201,0.0650846,-0.1221164
42,-2.8165252,-2.692931,"('unreliable', 'reliable')",-2.8165252,-2.6929309,0.1235943
43,0.86093885,0.9366084,"('irresponsible', 'responsible')",0.8609388,0.9366084,0.0756696
44,-1.2343436,-1.1352607,"('prejudiced', 'unprejudiced')",-1.2343436,-1.1352607,0.0990829
45,-0.009574423,-0.03861227,"('incompetent', 'competent')",-0.0095744,-0.0386123,-0.0290379
46,-1.2418811,-1.2007126,"('uncompetitive', 'competitive')",-1.2418811,-1.2007126,0.0411685
47,5.408805,5.3959374,"('stupid', 'smart')",5.4088049,5.3959374,-0.0128675
48,0.68700427,0.6671149,"('unintelligent', 'intelligent')",0.6870043,0.6671149,-0.0198894
49,-0.03271754,0.11768682,"('unable', 'able')",-0.0327175,0.1176868,0.1504043
50,-0.5965588,-0.59483105,"('clumsy', 'skillful')",-0.5965588,-0.594831,0.0017278
51,-0.52744704,-0.4642627,"('uneducated', 'educated')",-0.527447,-0.4642627,0.0631843
52,0.37053263,0.026755327,"('irrational', 'rational')",0.3705326,0.0267553,-0.3437773
53,0.3407772,0.31642795,"('uncreative', 'creative')",0.3407772,0.3164279,-0.0243493
54,0.8881958,1.0075259,"('incapable', 'capable')",0.8881958,1.0075259,0.1193301
55,-0.0520096,0.07702801,"('incompetent', 'clever')",-0.0520096,0.077028,0.1290376
56,0.6701137,0.63244635,"('impractical', 'practical')",0.6701137,0.6324463,-0.0376674
57,-2.9755728,-2.936731,"('unimaginative', 'imaginative')",-2.9755728,-2.9367311,0.0388417
58,0.16907644,0.19572344,"('undiscriminating', 'discriminating')",0.1690764,0.1957234,0.026647
59,0.4259722,0.2935775,"('foolish', 'wise')",0.4259722,0.2935775,-0.1323947
60,0.31526703,0.46093237,"('inefficient', 'efficient')",0.315267,0.4609324,0.1456654
61,0.6398279,0.41938826,"('illogical', 'logical')",0.6398279,0.4193883,-0.2204396
62,0.46724427,0.58742386,"('incompetent', 'brilliant')",0.4672443,0.5874239,0.1201796
63,-0.14287089,-0.06687047,"('unperceptive', 'insightful')",-0.1428709,-0.0668705,0.0760004
64,-6.222871,-6.2883615,"('shy', 'confident')",-6.2228708,-6.2883615,-0.0654907
65,-0.0011712164,0.057296664,"('insecure', 'secure')",-0.0011712,0.0572967,0.0584679
66,0.00071976334,-0.037992924,"('inactive', 'active')",0.0007198,-0.0379929,-0.0387127
67,-0.110157356,-0.07078563,"('doubtful', 'determined')",-0.1101574,-0.0707856,0.0393718
68,-1.2835838,-1.1430209,"('dependent', 'independent')",-1.2835838,-1.1430209,0.1405629
69,-1.4278332,-1.5736836,"('lazy', 'industrious')",-1.4278332,-1.5736836,-0.1458504
70,0.52481997,0.6512361,"('lethargic', 'energetic')",0.52482,0.6512361,0.1264161
71,0.9795791,0.8814046,"('diffident', 'self-confident')",0.9795791,0.8814046,-0.0981745
72,0.554282,0.709589,"('unambitious', 'ambitious')",0.554282,0.709589,0.155307
73,-3.3185875,-3.2380855,"('helpless', 'self-reliant')",-3.3185875,-3.2380855,0.080502
74,-0.1957221,-0.26179352,"('undedicated', 'dedicated')",-0.1957221,-0.2617935,-0.0660714
75,-1.0619364,-0.96995986,"('meek', 'impulsive')",-1.0619364,-0.9699599,0.0919765
76,-0.0060175546,0.25030908,"('anxious', 'daring')",-0.0060176,0.2503091,0.2563267
77,-1.0842383,-1.024088,"('unmotivated', 'motivated')",-1.0842383,-1.024088,0.0601503
78,-0.40511447,-0.50338733,"('nonresilient', 'resilient')",-0.4051145,-0.5033873,-0.0982728
79,-0.17018579,-0.20487006,"('wavering', 'unwavering')",-0.1701858,-0.2048701,-0.0346843
80,-0.20775005,-0.20090622,"('dominated', 'dominating')",-0.2077501,-0.2009062,0.0068439
81,-0.8035667,-0.61874175,"('submissive', 'aggressive')",-0.8035667,-0.6187418,0.1848249
82,5.693446,5.89506,"('poor', 'rich')",5.6934462,5.8950601,0.2016139
83,-0.1393514,-0.09406379,"('powerless', 'powerful')",-0.1393514,-0.0940638,0.0452876
84,0.48025247,0.4999653,"('inferior', 'superior')",0.4802525,0.4999653,0.0197128
85,0.026300754,-0.13078561,"('insignificant', 'prestigious')",0.0263008,-0.1307856,-0.1570864
86,0.45778674,0.35161355,"('uninfluential', 'influential')",0.4577867,0.3516136,-0.1061731
87,-0.004099367,-0.025754036,"('unsuccessful', 'successful')",-0.0040994,-0.025754,-0.0216546
88,0.047285642,0.024465317,"('low', 'eminent')",0.0472856,0.0244653,-0.0228203
