,factset_male,factset_female,tuple,research_male,research_female,systems_male,systems_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.67145145,-0.78428215,"('unsociable', 'sociable')",-0.14602396,-0.25314397,-0.36999807,-0.4060615,-0.5293391,-0.5741652,-0.4292032,-0.5044132,-0.07521
1,-1.2758641,-1.3961684,"('unfriendly', 'friendly')",-0.40000185,-0.55157346,0.10855021,-0.061729982,2.2861438,2.154192,0.179707,0.0361801,-0.1435269
2,-0.039462484,0.061517652,"('unlikable', 'likable')",0.41157758,0.46774197,0.7836116,0.8704502,0.48572478,0.553033,0.4103629,0.4881857,0.0778228
3,-0.48844728,-0.40153402,"('repellent', 'pleasant')",0.37726936,0.48488936,0.5303805,0.65191615,0.13674343,0.18858384,0.1389865,0.2309638,0.0919773
4,-0.5347273,-0.52808505,"('disliked', 'liked')",-0.7517563,-0.763723,-0.6793076,-0.7367771,-5.944248,-6.1826386,-1.9775099,-2.0528059,-0.075296
5,-0.36666954,-0.34692693,"('distant', 'outgoing')",-0.32934052,-0.33541554,-0.5136646,-0.52471185,0.14694369,0.08501302,-0.2656827,-0.2805103,-0.0148276
6,-0.50806,-0.44746524,"('distant', 'open')",-0.51424557,-0.45633978,-0.97948015,-1.0076859,0.73329514,0.66796815,-0.3171226,-0.3108807,0.0062419
7,-0.14879858,-0.15596427,"('insensitive', 'sensitive')",0.80320513,0.8111116,-0.15080622,-0.1138182,0.46527833,0.5292309,0.2422197,0.26764,0.0254203
8,-0.9499197,-1.0165476,"('unaffectionate', 'affectionate')",-0.11184816,-0.18940662,-0.87469447,-0.95122844,0.9840919,0.8926897,-0.2380926,-0.3161232,-0.0780306
9,-0.95611763,-1.0457504,"('unaffectionate', 'caring')",0.43322933,0.34486222,-0.4243379,-0.49718705,1.2441938,1.2314669,0.0742419,0.0083479,-0.065894
10,-0.764814,-0.80892503,"('unsympathetic', 'sympathetic')",0.55762154,0.54241526,-1.2126876,-1.1714745,-0.652763,-0.56481016,-0.5181608,-0.5006986,0.0174622
11,0.08320648,0.06471305,"('unhelpful', 'helpful')",0.22839321,0.25562406,0.44848645,0.49329704,1.2929242,1.4115961,0.5132526,0.5563076,0.043055
12,-0.2649855,-0.18498382,"('unsupportive', 'supportive')",0.35030696,0.49508506,0.008782059,0.11778895,-1.8902279,-1.8909695,-0.4490311,-0.3657698,0.0832613
13,0.52802825,0.49489295,"('impolite', 'polite')",0.106247105,0.14269564,0.35269946,0.4064169,-0.43338594,-0.40794402,0.1383972,0.1590154,0.0206182
14,0.3288996,0.30040315,"('antisocial', 'social')",1.1431907,1.210213,0.08755177,0.13516706,-0.79157025,-0.78013784,0.192018,0.2164113,0.0243933
15,1.1058978,1.0583154,"('boring', 'funny')",0.19697875,0.12458448,-0.15534216,-0.25142306,0.68361723,0.6037407,0.4577879,0.3838044,-0.0739835
16,-0.96960485,-0.9780567,"('unpopular', 'popular')",-0.42295972,-0.44491762,-0.03498602,-0.057661925,0.7934801,0.77757585,-0.1585176,-0.1757651,-0.0172475
17,-0.009239174,0.037710443,"('nasty', 'nice')",-0.46777213,-0.42211452,-0.067263484,-0.042838812,-0.28565848,-0.22403114,-0.2074833,-0.1628185,0.0446648
18,-0.9456102,-0.8942233,"('disagreeable', 'welcoming')",-0.42449927,-0.37502712,0.22198987,0.25262764,-0.15259701,-0.2158651,-0.3251792,-0.308122,0.0170572
19,-0.62218475,-0.5908029,"('inhospitable', 'hospitable')",-0.5370945,-0.5892049,-0.49352518,-0.49044058,0.16024005,0.20918813,-0.3731411,-0.3653151,0.007826
20,-0.08490262,-0.084146075,"('rough', 'thoughtful')",1.9591029,1.9988885,0.49204728,0.52075416,1.135625,1.1032795,0.8754681,0.884694,0.0092259
21,0.5268954,0.527513,"('immoral', 'moral')",0.8527871,0.81452614,0.492824,0.4849671,-1.009181,-0.9085441,0.2158314,0.2296155,0.0137841
22,0.788695,0.80723923,"('untrustworthy', 'trustworthy')",0.8944297,0.8671612,0.67760116,0.66580564,-1.1062089,-1.1153402,0.3136292,0.3062165,-0.0074127
23,-0.10163608,-0.21589741,"('insincere', 'sincere')",0.72264045,0.6864995,0.21933383,0.21004376,5.374725,5.441615,1.5537658,1.5305653,-0.0232005
24,0.3813553,0.38092655,"('dishonest', 'honest')",-0.038513996,0.0015775682,-1.79533,-1.8132236,0.59029096,0.5619048,-0.2155495,-0.2172037,-0.0016542
25,-0.7052724,-0.69618976,"('egoistic', 'altruistic')",0.19837111,0.20625357,0.98489213,0.9891193,1.8202606,1.7400136,0.5745629,0.5597992,-0.0147637
26,-0.67612195,-0.7822866,"('hardhearted', 'benevolent')",1.0942566,1.0807288,0.2303515,0.17056236,1.5822488,1.5165061,0.5576838,0.4963776,-0.0613062
27,-0.5223221,-0.49612233,"('hardhearted', 'softhearted')",-0.80826,-0.6998049,-0.13351923,-0.13605453,1.7066976,1.6042284,0.0606491,0.0680616,0.0074125
28,-0.8027032,-0.926809,"('disloyal', 'loyal')",0.73341274,0.6029903,-0.54818046,-0.6532885,0.96735597,0.8718299,0.0874713,-0.0263193,-0.1137906
29,0.090366125,0.09299162,"('unfair', 'fair')",-0.49358693,-0.454894,-0.6219625,-0.6556305,-0.3289635,-0.45266333,-0.3385367,-0.3675491,-0.0290124
30,0.664467,0.637146,"('intolerant', 'tolerant')",1.099689,1.0191245,0.7879344,0.7632262,0.8462623,0.8341047,0.8495882,0.8134004,-0.0361878
31,-0.80028296,-0.6835464,"('evil', 'good')",-1.3685948,-1.3358874,-0.21392795,-0.23974174,-0.14051472,-0.27126828,-0.63083,-0.632611,-0.001781
32,-0.20417711,-0.24611095,"('unkind', 'kind')",0.25828713,0.2952114,-0.8811009,-0.8763132,0.49456567,0.44295412,-0.0831063,-0.0960647,-0.0129584
33,0.16917542,0.09059857,"('wrong', 'right')",0.5658896,0.55973214,0.45774528,0.42474398,-0.24594337,-0.35708976,0.2367167,0.1794962,-0.0572205
34,0.2745797,0.39704764,"('mean', 'honorable')",0.05116363,0.083954886,0.36303437,0.43538374,5.915393,6.1078343,1.6510427,1.7560551,0.1050124
35,-0.09449582,-0.13841894,"('corrupt', 'incorrupt')",-1.0753878,-1.1057142,-0.37093377,-0.4750327,0.5185407,0.3053488,-0.2555692,-0.3534542,-0.097885
36,-0.8736809,-0.9236121,"('hostile', 'amicable')",-1.6890976,-1.8297076,-0.8056948,-0.95978785,0.86911774,0.65919673,-0.6248389,-0.7634777,-0.1386388
