,altaba_male,altaba_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.040447,-1.2653829,"('unsociable', 'sociable')",-0.1676204,-0.3070753,-0.6040337,-0.7862291,-0.1821954
1,-1.1971092,-1.1044275,"('unfriendly', 'friendly')",1.4425504,1.2745377,0.1227206,0.0850551,-0.0376655
2,0.68361044,0.704134,"('unlikable', 'likable')",0.42127267,0.4924517,0.5524415,0.5982928,0.0458513
3,-0.054684475,0.056049205,"('repellent', 'pleasant')",0.28191382,0.3175641,0.1136147,0.1868066,0.0731919
4,-0.35332727,-0.22952083,"('disliked', 'liked')",-6.3134794,-6.190214,-3.3334033,-3.2098675,0.1235358
5,-1.3036321,-1.2607926,"('distant', 'outgoing')",-0.2716762,-0.34646446,-0.7876542,-0.8036286,-0.0159744
6,-1.5217501,-1.406123,"('distant', 'open')",0.0023004562,-0.0954317,-0.7597248,-0.7507774,0.0089474
7,-0.18613088,-0.07937379,"('insensitive', 'sensitive')",0.49389693,0.6037155,0.153883,0.2621709,0.1082879
8,-0.9651091,-0.8625755,"('unaffectionate', 'affectionate')",0.37386888,0.3061375,-0.2956201,-0.278219,0.0174011
9,-1.4516563,-1.3398627,"('unaffectionate', 'caring')",0.7118091,0.72086114,-0.3699236,-0.3095008,0.0604228
10,-0.4441384,-0.46150252,"('unsympathetic', 'sympathetic')",-0.18739237,-0.17922099,-0.3157654,-0.3203618,-0.0045964
11,-0.06100768,-0.09249653,"('unhelpful', 'helpful')",2.03312,2.0966718,0.9860561,1.0020876,0.0160315
12,-0.4621279,-0.27982214,"('unsupportive', 'supportive')",-1.6747386,-1.5799332,-1.0684333,-0.9298776,0.1385557
13,0.39813104,0.3025725,"('impolite', 'polite')",-0.058143772,0.04033348,0.1699936,0.171453,0.0014594
14,0.1829511,0.05708774,"('antisocial', 'social')",-0.032479413,-0.026631251,0.0752358,0.0152282,-0.0600076
15,0.30123502,0.20381036,"('boring', 'funny')",0.5342193,0.5322739,0.4177272,0.3680421,-0.0496851
16,-0.51339614,-0.3984201,"('unpopular', 'popular')",0.48813725,0.4482411,-0.0126294,0.0249105,0.0375399
17,-0.4002402,-0.32462224,"('nasty', 'nice')",-0.049878765,-0.042480994,-0.2250595,-0.1835516,0.0415079
18,-0.101039656,0.036405236,"('disagreeable', 'welcoming')",-0.36722362,-0.41092396,-0.2341316,-0.1872594,0.0468722
19,-1.4253539,-1.3347309,"('inhospitable', 'hospitable')",-0.2038515,-0.24878006,-0.8146027,-0.7917554,0.0228473
20,0.08042735,0.1053913,"('rough', 'thoughtful')",1.0548394,0.9669383,0.5676334,0.5361648,-0.0314686
21,0.6416525,0.46305135,"('immoral', 'moral')",-0.2752869,-0.24591358,0.1831828,0.1085689,-0.0746139
22,0.24638115,0.25544733,"('untrustworthy', 'trustworthy')",-0.93577707,-0.90578234,-0.344698,-0.3251675,0.0195305
23,-0.39329228,-0.37882686,"('insincere', 'sincere')",5.7855844,5.7112174,2.696146,2.6661954,-0.0299506
24,0.23230627,0.22857259,"('dishonest', 'honest')",0.79767674,0.83110464,0.5149915,0.5298386,0.0148471
25,-0.40025607,-0.3336766,"('egoistic', 'altruistic')",0.8669566,0.7709408,0.2333503,0.2186321,-0.0147182
26,0.26373756,0.14587983,"('hardhearted', 'benevolent')",1.4102699,1.2092617,0.8370037,0.6775708,-0.1594329
27,-0.1819798,0.019433819,"('hardhearted', 'softhearted')",1.2399395,1.2004033,0.5289798,0.6099186,0.0809388
28,-0.26376528,-0.34274602,"('disloyal', 'loyal')",0.8047788,0.76993334,0.2705068,0.2135937,-0.0569131
29,-0.53294945,-0.46333992,"('unfair', 'fair')",-0.44564658,-0.6152385,-0.489298,-0.5392892,-0.0499912
30,1.0663499,1.044691,"('intolerant', 'tolerant')",1.9029521,1.9359639,1.484651,1.4903274,0.0056764
31,-1.619595,-1.448681,"('evil', 'good')",-1.2464254,-1.3583418,-1.4330102,-1.4035114,0.0294988
32,-0.13084103,-0.1754631,"('unkind', 'kind')",0.8128767,0.71432143,0.3410178,0.2694292,-0.0715886
33,-0.5574173,-0.5519925,"('wrong', 'right')",-0.57628685,-0.56449604,-0.5668521,-0.5582442,0.0086079
34,0.36889255,0.44432387,"('mean', 'honorable')",5.9176707,5.879089,3.1432817,3.1617064,0.0184247
35,-0.6411199,-0.5699898,"('corrupt', 'incorrupt')",-0.5807802,-0.6542097,-0.6109501,-0.6120998,-0.0011497
36,-1.0122391,-0.8774848,"('hostile', 'amicable')",-0.3322805,-0.46857044,-0.6722598,-0.6730276,-0.0007678
37,0.0931419,0.07516655,"('fake', 'genuine')",0.17207071,0.23058718,0.1326063,0.1528769,0.0202706
38,-0.42187348,-0.34553,"('untruthful', 'truthful')",0.23053855,0.38063923,-0.0956675,0.0175546,0.1132221
39,0.089965954,0.047650333,"('exploitative', 'cooperative')",0.12061016,0.12888189,0.1052881,0.0882661,-0.017022
40,0.01109248,0.08601556,"('stingy', 'generous')",-1.6986024,-1.7345942,-0.843755,-0.8242893,0.0194657
41,-0.053677134,-0.050544456,"('unforgiving', 'forgiving')",0.10447842,0.030637823,0.0254006,-0.0099533,-0.0353539
42,0.60133755,0.7105018,"('unreliable', 'reliable')",-3.1483016,-3.0003958,-1.2734821,-1.1449471,0.128535
43,-0.3086285,-0.33502528,"('irresponsible', 'responsible')",0.7649794,0.73766273,0.2281755,0.2013187,-0.0268568
44,0.28646636,0.14619759,"('prejudiced', 'unprejudiced')",-1.5300207,-1.6112084,-0.6217772,-0.7325054,-0.1107282
45,-0.2743044,-0.2821357,"('incompetent', 'competent')",0.12796411,0.10531891,-0.0731701,-0.0884084,-0.0152383
46,0.31148532,0.2618519,"('uncompetitive', 'competitive')",-0.43457544,-0.3810234,-0.0615451,-0.0595858,0.0019593
47,-0.19594635,-0.081363544,"('stupid', 'smart')",5.435393,5.4239593,2.6197233,2.6712978,0.0515745
48,0.62930065,0.534865,"('unintelligent', 'intelligent')",1.0612181,1.0390157,0.8452594,0.7869403,-0.0583191
49,0.22097212,0.38340026,"('unable', 'able')",-0.13204688,0.021533506,0.0444626,0.2024669,0.1580043
50,-0.15464076,0.029052688,"('clumsy', 'skillful')",-0.04748387,-0.06251731,-0.1010623,-0.0167323,0.08433
