,yarmulke_male,yarmulke_female,tuple,average_male,average_female,female-male
0,-0.5009731,-0.5522779,"('unsociable', 'sociable')",-0.5009731,-0.5522779,-0.0513048
1,-0.09605318,-0.35062483,"('unfriendly', 'friendly')",-0.0960532,-0.3506248,-0.2545716
2,0.9488065,1.0109996,"('unlikable', 'likable')",0.9488065,1.0109996,0.0621931
3,-0.8929903,-0.728301,"('repellent', 'pleasant')",-0.8929903,-0.728301,0.1646893
4,-0.727092,-0.9033699,"('disliked', 'liked')",-0.727092,-0.9033699,-0.1762779
5,0.11110549,-0.08352581,"('distant', 'outgoing')",0.1111055,-0.0835258,-0.1946313
6,-0.07198104,-0.2343604,"('distant', 'open')",-0.071981,-0.2343604,-0.1623794
7,-0.1796158,-0.108086176,"('insensitive', 'sensitive')",-0.1796158,-0.1080862,0.0715296
8,0.049692385,-0.13124578,"('unaffectionate', 'affectionate')",0.0496924,-0.1312458,-0.1809382
9,-0.28303295,-0.4614148,"('unaffectionate', 'caring')",-0.283033,-0.4614148,-0.1783818
10,-0.7626996,-0.6509602,"('unsympathetic', 'sympathetic')",-0.7626996,-0.6509602,0.1117394
11,-0.15609485,-0.15065965,"('unhelpful', 'helpful')",-0.1560948,-0.1506597,0.0054351
12,-0.85792387,-0.8467979,"('unsupportive', 'supportive')",-0.8579239,-0.8467979,0.011126
13,-0.9034055,-0.8015339,"('impolite', 'polite')",-0.9034055,-0.8015339,0.1018716
14,-0.31505412,-0.06664638,"('antisocial', 'social')",-0.3150541,-0.0666464,0.2484077
15,1.1033738,0.9115365,"('boring', 'funny')",1.1033738,0.9115365,-0.1918373
16,0.10858249,-0.10950515,"('unpopular', 'popular')",0.1085825,-0.1095051,-0.2180876
17,-0.38675407,-0.36841124,"('nasty', 'nice')",-0.3867541,-0.3684112,0.0183429
18,0.20816892,0.2869476,"('disagreeable', 'welcoming')",0.2081689,0.2869476,0.0787787
19,0.2520997,0.020125313,"('inhospitable', 'hospitable')",0.2520997,0.0201253,-0.2319744
20,-0.72125113,-0.6410063,"('rough', 'thoughtful')",-0.7212511,-0.6410063,0.0802448
21,-0.7231785,-0.53729934,"('immoral', 'moral')",-0.7231785,-0.5372993,0.1858792
