,minor_male,minor_female,tuple,average_male,average_female,female-male
0,0.0567469,0.018305939,"('unsociable', 'sociable')",0.0567469,0.0183059,-0.038441
1,1.9293733,2.09908,"('unfriendly', 'friendly')",1.9293733,2.0990801,0.1697068
2,0.060404062,0.30443028,"('unlikable', 'likable')",0.0604041,0.3044303,0.2440262
3,0.8625691,1.0240867,"('repellent', 'pleasant')",0.8625691,1.0240867,0.1615176
4,-6.7357583,-6.6632876,"('disliked', 'liked')",-6.7357583,-6.6632876,0.0724707
5,-0.12138063,0.18663742,"('distant', 'outgoing')",-0.1213806,0.1866374,0.308018
6,0.34264627,0.58951133,"('distant', 'open')",0.3426463,0.5895113,0.246865
7,1.3287117,1.4671135,"('insensitive', 'sensitive')",1.3287117,1.4671135,0.1384018
8,1.3359538,1.3915876,"('unaffectionate', 'affectionate')",1.3359538,1.3915876,0.0556338
9,1.7520391,1.9201676,"('unaffectionate', 'caring')",1.7520391,1.9201676,0.1681285
10,0.7575954,0.8553588,"('unsympathetic', 'sympathetic')",0.7575954,0.8553588,0.0977634
11,1.7786137,1.93865,"('unhelpful', 'helpful')",1.7786137,1.93865,0.1600363
12,-1.418345,-1.0761206,"('unsupportive', 'supportive')",-1.418345,-1.0761206,0.3422244
13,-0.058171548,-0.14562723,"('impolite', 'polite')",-0.0581715,-0.1456272,-0.0874557
14,-0.16942522,-0.24802348,"('antisocial', 'social')",-0.1694252,-0.2480235,-0.0785983
15,0.5350127,0.5444257,"('boring', 'funny')",0.5350127,0.5444257,0.009413
16,-0.5408332,-0.38092995,"('unpopular', 'popular')",-0.5408332,-0.3809299,0.1599033
17,-0.2720277,-0.17414697,"('nasty', 'nice')",-0.2720277,-0.174147,0.0978807
18,-0.2770892,-0.16258201,"('disagreeable', 'welcoming')",-0.2770892,-0.162582,0.1145072
19,-0.34167743,0.0554793,"('inhospitable', 'hospitable')",-0.3416774,0.0554793,0.3971567
20,0.607545,0.4455344,"('rough', 'thoughtful')",0.607545,0.4455344,-0.1620106
21,-0.057685036,0.17869428,"('immoral', 'moral')",-0.057685,0.1786943,0.2363793
22,-0.44935957,-0.21201141,"('untrustworthy', 'trustworthy')",-0.4493596,-0.2120114,0.2373482
23,6.3917,6.559091,"('insincere', 'sincere')",6.3916998,6.5590911,0.1673913
24,1.684931,1.9827429,"('dishonest', 'honest')",1.684931,1.9827429,0.2978119
25,1.3152876,1.2549292,"('egoistic', 'altruistic')",1.3152876,1.2549292,-0.0603584
