,ball_male,ball_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,2.2906835,2.06194,"('unsociable', 'sociable')",0.251388,0.13332933,1.2710358,1.0976347,-0.1734011
1,-0.860506,-0.85024846,"('unfriendly', 'friendly')",1.0076251,1.0459055,0.0735596,0.0978285,0.0242689
2,0.65403754,0.6488339,"('unlikable', 'likable')",0.23098549,0.18880372,0.4425115,0.4188188,-0.0236927
3,1.2732354,1.4219466,"('repellent', 'pleasant')",0.6931256,0.8644014,0.9831805,1.1431741,0.1599936
4,-1.8317269,-1.8194618,"('disliked', 'liked')",-6.903533,-7.1885147,-4.36763,-4.5039883,-0.1363583
5,-1.9285558,-2.0242465,"('distant', 'outgoing')",-0.40397432,-0.3472375,-1.1662651,-1.185742,-0.0194769
6,-2.1951752,-2.1758528,"('distant', 'open')",-0.6874112,-0.55688685,-1.4412932,-1.3663698,0.0749234
7,1.9337312,2.0179095,"('insensitive', 'sensitive')",0.55823004,0.69663745,1.2459806,1.3572735,0.1112929
8,-0.77670026,-0.86697716,"('unaffectionate', 'affectionate')",0.42942905,0.4545588,-0.1736356,-0.2062092,-0.0325736
9,0.53841555,0.5880864,"('unaffectionate', 'caring')",1.0945193,1.2166071,0.8164674,0.9023467,0.0858793
10,2.2337883,2.2071173,"('unsympathetic', 'sympathetic')",-0.09686617,-0.031934097,1.0684611,1.0875916,0.0191305
11,0.76086044,0.6707409,"('unhelpful', 'helpful')",2.4263048,2.433225,1.5935826,1.5519829,-0.0415997
12,1.1967953,1.222883,"('unsupportive', 'supportive')",-1.843559,-1.8440926,-0.3233818,-0.3106048,0.012777
13,2.189437,2.03342,"('impolite', 'polite')",-0.45824313,-0.4680699,0.8655969,0.7826751,-0.0829218
14,3.4079676,3.3869553,"('antisocial', 'social')",0.17920122,0.07275288,1.7935843,1.7298541,-0.0637302
15,-0.5144317,-0.5461172,"('boring', 'funny')",-0.38239115,-0.4618439,-0.4484114,-0.5039805,-0.0555691
16,-1.7789756,-1.8318285,"('unpopular', 'popular')",0.31352118,0.25633034,-0.7327272,-0.7877491,-0.0550219
17,-1.0530387,-1.0170285,"('nasty', 'nice')",-0.5010717,-0.4616201,-0.7770552,-0.7393243,0.0377309
18,-0.20254174,-0.2340754,"('disagreeable', 'welcoming')",-0.42955405,-0.4881388,-0.3160479,-0.3611071,-0.0450592
19,-1.4017525,-1.4669108,"('inhospitable', 'hospitable')",-0.6376086,-0.61469454,-1.0196805,-1.0408027,-0.0211222
20,-0.29258564,-0.19242838,"('rough', 'thoughtful')",0.6161121,0.6271686,0.1617632,0.2173701,0.0556069
21,2.3708313,2.3307781,"('immoral', 'moral')",-0.09356876,-0.069909796,1.1386312,1.1304342,-0.008197
22,0.49852747,0.54050994,"('untrustworthy', 'trustworthy')",-0.68713045,-0.5872862,-0.0943015,-0.0233881,0.0709134
23,1.4646325,1.3959122,"('insincere', 'sincere')",6.3370214,6.56019,3.9008269,3.9780512,0.0772243
24,0.8339894,0.8041393,"('dishonest', 'honest')",0.84224194,0.9475437,0.8381157,0.8758415,0.0377258
25,-0.53985256,-0.49647704,"('egoistic', 'altruistic')",0.5761852,0.5277579,0.0181663,0.0156404,-0.0025259
26,0.057579026,0.13670601,"('hardhearted', 'benevolent')",1.0068617,0.8766475,0.5322204,0.5066767,-0.0255437
27,0.23674472,0.45450938,"('hardhearted', 'softhearted')",0.7841312,0.9206858,0.510438,0.6875976,0.1771596
28,0.6665216,0.5597909,"('disloyal', 'loyal')",1.4520999,1.4332147,1.0593108,0.9965028,-0.062808
