,tabletop_male,tabletop_female,tuple,average_male,average_female,female-male
0,1.1241773,0.9454452,"('unsociable', 'sociable')",1.1241773,0.9454452,-0.1787321
1,-0.59050363,-0.72890145,"('unfriendly', 'friendly')",-0.5905036,-0.7289014,-0.1383978
2,0.14358364,0.18809967,"('unlikable', 'likable')",0.1435836,0.1880997,0.0445161
3,-0.104643226,0.066047885,"('repellent', 'pleasant')",-0.1046432,0.0660479,0.1706911
4,-3.970373,-3.97737,"('disliked', 'liked')",-3.9703729,-3.97737,-0.0069971
5,-1.5938159,-1.652477,"('distant', 'outgoing')",-1.5938159,-1.652477,-0.0586611
6,-1.2098731,-1.3819977,"('distant', 'open')",-1.2098731,-1.3819977,-0.1721246
7,1.0307494,1.1906965,"('insensitive', 'sensitive')",1.0307494,1.1906965,0.1599471
8,-0.8342133,-0.9905304,"('unaffectionate', 'affectionate')",-0.8342133,-0.9905304,-0.1563171
9,-0.2685665,-0.34761414,"('unaffectionate', 'caring')",-0.2685665,-0.3476141,-0.0790476
10,0.8101263,0.57401013,"('unsympathetic', 'sympathetic')",0.8101263,0.5740101,-0.2361162
11,1.1312209,1.1894141,"('unhelpful', 'helpful')",1.1312209,1.1894141,0.0581932
12,-1.303394,-1.1917589,"('unsupportive', 'supportive')",-1.303394,-1.1917589,0.1116351
13,0.39656776,0.38423184,"('impolite', 'polite')",0.3965678,0.3842318,-0.012336
14,1.6744313,1.6590866,"('antisocial', 'social')",1.6744313,1.6590866,-0.0153447
15,0.2402396,0.19149587,"('boring', 'funny')",0.2402396,0.1914959,-0.0487437
16,-0.96495557,-0.6964941,"('unpopular', 'popular')",-0.9649556,-0.6964941,0.2684615
17,-0.62341535,-0.6446246,"('nasty', 'nice')",-0.6234154,-0.6446246,-0.0212092
18,-1.0607754,-0.8460123,"('disagreeable', 'welcoming')",-1.0607754,-0.8460123,0.2147631
19,-2.2207115,-2.2976289,"('inhospitable', 'hospitable')",-2.2207115,-2.2976289,-0.0769174
20,0.4371896,0.4740541,"('rough', 'thoughtful')",0.4371896,0.4740541,0.0368645
21,0.3292156,0.69640815,"('immoral', 'moral')",0.3292156,0.6964082,0.3671926
