,robert_male,robert_female,tuple,half_male,half_female,international_male,international_female,inc_male,inc_female,average_male,average_female,female-male
0,1.2552783,1.0723586,"('unsociable', 'sociable')",1.4851019,1.5287448,0.2400333,0.12221718,-0.20984682,-0.31311643,0.6926417,0.602551,-0.0900907
1,-1.71204,-1.7306341,"('unfriendly', 'friendly')",-1.2545078,-1.2987043,0.17501688,0.07630601,1.3641019,1.2041054,-0.3568572,-0.4372317,-0.0803745
2,1.2840545,1.3950096,"('unlikable', 'likable')",0.29934102,0.35807174,1.0185888,1.0891261,0.6317134,0.7344136,0.8084244,0.8941553,0.0857309
3,0.36258146,0.2965617,"('repellent', 'pleasant')",0.76731753,0.81977683,-0.53319687,-0.5641504,0.24822567,0.25686845,0.211232,0.2022641,-0.0089679
4,-1.3656914,-1.5461096,"('disliked', 'liked')",-2.2786975,-2.4649324,-0.054620672,-0.137318,-5.8677998,-5.9497867,-2.3917024,-2.5245366,-0.1328342
5,-1.9756699,-1.837886,"('distant', 'outgoing')",-2.9401586,-3.0095053,-0.71910715,-0.6141411,-0.68080163,-0.588452,-1.5789344,-1.512496,0.0664384
6,-2.0998719,-1.9738808,"('distant', 'open')",-2.3645356,-2.4845786,-0.8450475,-0.77160066,-0.3350647,-0.297991,-1.41113,-1.3820127,0.0291173
7,1.053017,1.0194148,"('insensitive', 'sensitive')",0.81317025,0.91585094,-0.24805427,-0.28580126,0.66902584,0.6201672,0.5717897,0.5674079,-0.0043818
8,-1.1057369,-0.98116374,"('unaffectionate', 'affectionate')",-1.2959324,-1.3397554,-0.6868908,-0.70391494,-0.008386739,-0.041739054,-0.7742367,-0.7666432,0.0075935
9,-0.6612584,-0.6146134,"('unaffectionate', 'caring')",-0.28309512,-0.35206527,-0.33592016,-0.38043305,0.67550915,0.6087647,-0.1511911,-0.1845867,-0.0333956
10,1.7361494,1.5669416,"('unsympathetic', 'sympathetic')",1.9812063,2.091869,-1.135606,-1.207961,-0.11046264,-0.23691061,0.6178218,0.5534847,-0.0643371
11,0.86869,0.73186624,"('unhelpful', 'helpful')",0.21098265,0.19633807,-0.3368694,-0.34675425,1.9925208,1.9092972,0.683831,0.6226868,-0.0611442
12,0.82869774,0.8079093,"('unsupportive', 'supportive')",-0.16995806,-0.15729438,-0.55892694,-0.46972078,-1.7199129,-1.6852664,-0.405025,-0.3760931,0.0289319
13,2.2838826,2.199945,"('impolite', 'polite')",1.6409506,1.7286245,1.0442768,1.0215741,0.15280041,0.11117884,1.2804776,1.2653306,-0.015147
14,2.5634224,2.5221925,"('antisocial', 'social')",0.37770927,0.5126697,0.8159431,0.7746369,-0.04414569,-0.07189374,0.9282323,0.9344013,0.006169
15,0.08625419,0.18130338,"('boring', 'funny')",0.30335778,0.27730018,0.45035475,0.43481022,0.422901,0.44094324,0.3157169,0.3335893,0.0178724
