,international_male,international_female,tuple,flavors_male,flavors_female,&_male,&_female,frag_male,frag_female,inc_male,inc_female,average_male,average_female,female-male
0,0.4571775,0.3102527,"('unsociable', 'sociable')",1.1401517,1.1821202,1.864782,1.8299907,-0.52798754,-0.61195475,-0.3391825,-0.4749335,0.5189882,0.4470951,-0.0718931
1,-0.23704393,-0.24377087,"('unfriendly', 'friendly')",1.6301442,1.7765137,-1.0271155,-0.86327267,-1.7124486,-1.6173397,1.5527738,1.4304368,0.041262,0.0965135,0.0552515
2,1.0396999,1.145508,"('unlikable', 'likable')",0.21820363,0.26906714,1.2180823,1.2865618,0.91286796,0.96343637,0.66639584,0.75885695,0.8110499,0.8846861,0.0736362
3,-0.77807516,-0.7949602,"('repellent', 'pleasant')",-1.8220354,-1.6732235,0.19828391,0.2002841,-1.2526985,-1.2634282,-0.1937907,-0.1737174,-0.7696632,-0.7410091,0.0286541
4,-0.68931985,-0.61221045,"('disliked', 'liked')",-1.1196975,-0.97896796,-0.8134448,-0.7569889,-0.11703886,0.019396933,-5.5944266,-5.51162,-1.6667854,-1.568078,0.0987074
5,-0.44538483,-0.23784058,"('distant', 'outgoing')",1.0615644,1.1818079,-0.767708,-0.53247815,-0.7718209,-0.5589966,-0.09578019,-0.09169674,-0.2038259,-0.0478408,0.1559851
6,-0.26270628,-0.050395336,"('distant', 'open')",0.78975177,0.9612588,-0.8477629,-0.5706552,-0.9444938,-0.6674604,0.23019457,0.2171551,-0.2070033,-0.0220194,0.1849839
7,0.13474384,0.08250142,"('insensitive', 'sensitive')",-0.16850962,-0.051149856,0.83268905,0.8600782,-0.52495766,-0.5661062,0.11978234,0.12940276,0.0787496,0.0909453,0.0121957
8,-0.2994016,-0.26627326,"('unaffectionate', 'affectionate')",0.32822832,0.33202827,-1.8897418,-1.7622807,-1.9378325,-1.882139,0.43629318,0.39594507,-0.6724909,-0.6365439,0.035947
9,0.5428618,0.57665336,"('unaffectionate', 'caring')",0.7279616,0.7674173,-0.9861037,-0.8348671,-1.8862922,-1.8210524,0.69991493,0.65771556,-0.1803315,-0.1308267,0.0495048
10,0.16017112,0.086246,"('unsympathetic', 'sympathetic')",0.12631162,0.24323191,0.7977392,0.78178805,-1.1506602,-1.2747116,-0.4681576,-0.4973632,-0.1069192,-0.1321618,-0.0252426
11,0.9363953,0.90301335,"('unhelpful', 'helpful')",1.0155073,1.0063468,1.7583631,1.714759,-0.75818324,-0.89076304,1.9498146,1.9043434,0.9803794,0.9275399,-0.0528395
12,0.86109376,1.0370821,"('unsupportive', 'supportive')",0.82615036,1.011049,0.63355255,0.90133876,-0.89137614,-0.79020643,-1.6378369,-1.5355699,-0.0416833,0.1247387,0.166422
13,1.4755573,1.4021727,"('impolite', 'polite')",1.7967689,1.769705,1.5869026,1.585904,0.5727278,0.47610316,-0.42707717,-0.45630643,1.0009759,0.9555158,-0.0454601
14,0.5517168,0.48492643,"('antisocial', 'social')",0.29095668,0.31286097,1.6182133,1.5385882,-0.2097397,-0.3204568,-0.90615976,-0.93660283,0.2689975,0.2158632,-0.0531343
15,0.39645717,0.3628348,"('boring', 'funny')",1.2538697,1.2171353,0.6459046,0.64531684,0.55173284,0.6023603,0.502395,0.500479,0.6700718,0.6656252,-0.0044466
16,-0.66622037,-0.7020864,"('unpopular', 'popular')",-1.2042402,-1.0835519,-0.503455,-0.48282096,0.1660715,0.17776066,0.5250023,0.4922995,-0.3365684,-0.3196798,0.0168886
17,-0.90448713,-0.829074,"('nasty', 'nice')",-0.6974412,-0.56854624,-0.37338984,-0.23683897,-0.41405243,-0.3609757,-0.600786,-0.5742328,-0.5980313,-0.5139336,0.0840977
18,1.2064226,1.3129654,"('disagreeable', 'welcoming')",0.34582564,0.47371948,0.6215621,0.7724967,-0.65856963,-0.6288998,-0.3091306,-0.36197498,0.241222,0.3136614,0.0724394
19,-0.7004309,-0.58003676,"('inhospitable', 'hospitable')",0.07122262,0.1910011,-1.1760542,-0.9993218,-0.19447345,-0.07577901,-0.095278606,-0.03307715,-0.4190029,-0.2994427,0.1195602
20,0.37677222,0.3595217,"('rough', 'thoughtful')",-0.86916924,-0.73564506,0.6844086,0.6557802,-0.6086401,-0.6277916,0.8566327,0.7856963,0.0880008,0.0875123,-0.0004885
21,0.41986305,0.33762297,"('immoral', 'moral')",0.83373594,0.8242674,1.5215315,1.4809877,-0.018859573,-0.14886795,-0.6992759,-0.7416733,0.4113989,0.3504674,-0.0609315
22,-0.03671557,-0.045080468,"('untrustworthy', 'trustworthy')",-0.09398129,-0.05250953,2.0265477,2.0041711,0.54619724,0.49039492,-0.7602251,-0.8243694,0.3363646,0.3145213,-0.0218433
23,0.41768104,0.32139456,"('insincere', 'sincere')",0.5325124,0.60160035,0.6270189,0.62505436,-1.2856153,-1.4353887,4.699244,4.5106497,0.9981682,0.924662,-0.0735062
24,0.8739742,0.83074903,"('dishonest', 'honest')",0.08762732,0.035621323,0.15815757,0.21900561,-0.3712421,-0.43519875,0.41616583,0.33939287,0.2329366,0.197914,-0.0350226
25,-0.46259165,-0.4799974,"('egoistic', 'altruistic')",0.47461095,0.46597964,-0.8242759,-0.8421002,-0.868771,-0.8083379,1.1546892,1.099889,-0.1052677,-0.1129134,-0.0076457
26,0.8061229,0.7908577,"('hardhearted', 'benevolent')",0.8381796,0.89021415,0.8261185,0.790478,-0.51513875,-0.5045846,1.7396109,1.6594249,0.7389787,0.725278,-0.0137007
27,-0.1863819,-0.11793001,"('hardhearted', 'softhearted')",0.6596126,0.6771027,-0.5786616,-0.47424325,-0.32945263,-0.2947555,0.9393968,0.8582377,0.1009027,0.1296823,0.0287796
28,0.045522593,-0.09959923,"('disloyal', 'loyal')",0.33422673,0.32324055,1.0417826,0.96742517,-1.6221981,-1.712734,0.57923466,0.40739685,0.0757137,-0.0228541,-0.0985678
29,-0.8215755,-0.84752953,"('unfair', 'fair')",-0.62430805,-0.54849017,0.2566274,0.25179535,-0.02308974,-0.021676578,-0.73428905,-0.8557473,-0.389327,-0.4043296,-0.0150026
