,calendar_male,calendar_female,tuple,average_male,average_female,female-male
0,-0.28479493,-0.2929644,"('unsociable', 'sociable')",-0.2847949,-0.2929644,-0.0081695
1,1.8362691,1.9368305,"('unfriendly', 'friendly')",1.8362691,1.9368305,0.1005614
2,0.08427094,0.194064,"('unlikable', 'likable')",0.0842709,0.194064,0.1097931
3,0.5837475,0.4823861,"('repellent', 'pleasant')",0.5837475,0.4823861,-0.1013614
4,-7.396918,-7.6598825,"('disliked', 'liked')",-7.3969178,-7.6598825,-0.2629647
5,-0.09108298,-0.07535132,"('distant', 'outgoing')",-0.091083,-0.0753513,0.0157317
6,0.3547595,0.31003094,"('distant', 'open')",0.3547595,0.3100309,-0.0447286
7,0.83821034,0.9579013,"('insensitive', 'sensitive')",0.8382103,0.9579013,0.119691
8,1.5072929,1.499051,"('unaffectionate', 'affectionate')",1.5072929,1.499051,-0.0082419
9,1.4305357,1.6103328,"('unaffectionate', 'caring')",1.4305357,1.6103328,0.1797971
10,0.34404045,0.18365414,"('unsympathetic', 'sympathetic')",0.3440405,0.1836541,-0.1603864
11,1.2464919,1.2861044,"('unhelpful', 'helpful')",1.2464919,1.2861044,0.0396125
12,-1.6700321,-1.6545199,"('unsupportive', 'supportive')",-1.6700321,-1.6545199,0.0155122
13,-0.842461,-0.9283486,"('impolite', 'polite')",-0.842461,-0.9283486,-0.0858876
14,-0.31736824,-0.35079926,"('antisocial', 'social')",-0.3173682,-0.3507993,-0.0334311
15,0.0069291806,-0.06401299,"('boring', 'funny')",0.0069292,-0.064013,-0.0709422
16,-0.37374896,-0.3174532,"('unpopular', 'popular')",-0.373749,-0.3174532,0.0562958
17,-0.64140683,-0.5516819,"('nasty', 'nice')",-0.6414068,-0.5516819,0.0897249
18,-0.09088452,-0.17470647,"('disagreeable', 'welcoming')",-0.0908845,-0.1747065,-0.083822
19,-0.28293774,-0.22917303,"('inhospitable', 'hospitable')",-0.2829377,-0.229173,0.0537647
20,1.2062606,1.2087312,"('rough', 'thoughtful')",1.2062606,1.2087312,0.0024706
21,-0.9687935,-0.95225585,"('immoral', 'moral')",-0.9687935,-0.9522558,0.0165377
22,-0.55828416,-0.70562315,"('untrustworthy', 'trustworthy')",-0.5582842,-0.7056231,-0.1473389
23,6.4744534,6.596171,"('insincere', 'sincere')",6.4744534,6.5961709,0.1217175
24,1.4919995,1.3049105,"('dishonest', 'honest')",1.4919995,1.3049105,-0.187089
25,1.0555418,1.0362086,"('egoistic', 'altruistic')",1.0555418,1.0362086,-0.0193332
26,0.8241058,0.92532563,"('hardhearted', 'benevolent')",0.8241058,0.9253256,0.1012198
27,1.5663391,1.4640026,"('hardhearted', 'softhearted')",1.5663391,1.4640026,-0.1023365
28,1.0898396,1.019416,"('disloyal', 'loyal')",1.0898396,1.019416,-0.0704236
29,-0.3501222,-0.46086463,"('unfair', 'fair')",-0.3501222,-0.4608646,-0.1107424
30,0.5986208,0.6352947,"('intolerant', 'tolerant')",0.5986208,0.6352947,0.0366739
31,-0.7904097,-0.72492945,"('evil', 'good')",-0.7904097,-0.7249295,0.0654802
32,0.6550144,0.60404706,"('unkind', 'kind')",0.6550144,0.6040471,-0.0509673
33,-0.22403538,-0.10818432,"('wrong', 'right')",-0.2240354,-0.1081843,0.1158511
34,4.7366414,4.956431,"('mean', 'honorable')",4.7366414,4.9564309,0.2197895
35,-0.28758305,-0.47805566,"('corrupt', 'incorrupt')",-0.2875831,-0.4780557,-0.1904726
36,-0.31421694,-0.28450567,"('hostile', 'amicable')",-0.3142169,-0.2845057,0.0297112
