,sempra_male,sempra_female,tuple,energy_male,energy_female,average_male,average_female,female-male
0,-0.91908306,-1.052319,"('unsociable', 'sociable')",-0.07613905,-0.1244332,-0.497611,-0.5883761,-0.0907651
1,-1.430555,-1.5906109,"('unfriendly', 'friendly')",1.8739549,1.6934446,0.2217,0.0514169,-0.1702831
2,1.0879033,1.0738249,"('unlikable', 'likable')",0.86113197,0.90672684,0.9745176,0.9902759,0.0157583
3,-0.38666213,-0.24344014,"('repellent', 'pleasant')",0.021669907,0.14620231,-0.1824961,-0.0486189,0.1338772
4,0.21679744,0.112368114,"('disliked', 'liked')",-7.002488,-6.971138,-3.3928454,-3.4293849,-0.0365395
5,-1.0092087,-1.1253209,"('distant', 'outgoing')",0.15098168,0.01100117,-0.4291135,-0.5571599,-0.1280464
6,-1.3343593,-1.4203415,"('distant', 'open')",0.026570171,-0.20444995,-0.6538945,-0.8123957,-0.1585012
7,-0.5197363,-0.48509902,"('insensitive', 'sensitive')",0.6942115,0.820136,0.0872376,0.1675185,0.0802809
8,-1.5167859,-1.6397402,"('unaffectionate', 'affectionate')",1.0483227,0.80647105,-0.2342316,-0.4166346,-0.182403
9,-1.2730278,-1.4113613,"('unaffectionate', 'caring')",1.7776488,1.640976,0.2523105,0.1148073,-0.1375032
10,-1.2296392,-1.2482249,"('unsympathetic', 'sympathetic')",-0.3144335,-0.24551532,-0.7720363,-0.7468701,0.0251662
11,-0.43639597,-0.4588979,"('unhelpful', 'helpful')",2.091,2.1641462,0.827302,0.8526242,0.0253222
12,-0.9925645,-0.97087574,"('unsupportive', 'supportive')",-1.4081589,-1.4266865,-1.2003617,-1.1987811,0.0015806
13,-0.3495634,-0.3433277,"('impolite', 'polite')",-0.10129342,-0.03130196,-0.2254284,-0.1873148,0.0381136
14,0.015087843,0.07984628,"('antisocial', 'social')",0.37754878,0.51923054,0.1963183,0.2995384,0.1032201
15,0.5156401,0.32857507,"('boring', 'funny')",0.072212905,-0.055245474,0.2939265,0.1366648,-0.1572617
16,-0.24280943,-0.2322483,"('unpopular', 'popular')",0.5511843,0.5486585,0.1541874,0.1582051,0.0040177
17,-0.019251063,0.024893615,"('nasty', 'nice')",-0.42510995,-0.4139998,-0.2221805,-0.1945531,0.0276274
18,-0.3776757,-0.3381172,"('disagreeable', 'welcoming')",-0.5085656,-0.60122454,-0.4431207,-0.4696709,-0.0265502
19,-1.0294163,-1.1133319,"('inhospitable', 'hospitable')",-0.5220571,-0.62008035,-0.7757367,-0.8667061,-0.0909694
20,-0.2550699,-0.14130548,"('rough', 'thoughtful')",0.44912663,0.5259576,0.0970284,0.1923261,0.0952977
21,-0.2793253,-0.21475115,"('immoral', 'moral')",-0.23983997,-0.02377538,-0.2595826,-0.1192633,0.1403193
22,0.30258167,0.34289706,"('untrustworthy', 'trustworthy')",-1.144859,-1.0982883,-0.4211386,-0.3776956,0.043443
23,-0.49267468,-0.52794653,"('insincere', 'sincere')",6.5593266,6.5360136,3.0333259,3.0040336,-0.0292923
24,-0.2134365,-0.29664582,"('dishonest', 'honest')",1.1726652,1.1787645,0.4796144,0.4410593,-0.0385551
25,-0.032446258,-0.13128515,"('egoistic', 'altruistic')",1.2211096,1.1242969,0.5943317,0.4965059,-0.0978258
26,0.093461126,0.02942226,"('hardhearted', 'benevolent')",1.2298,1.1263654,0.6616306,0.5778939,-0.0837367
27,-0.385887,-0.38203955,"('hardhearted', 'softhearted')",0.8603397,0.81311697,0.2372264,0.2155387,-0.0216877
28,-0.85622,-0.9146175,"('disloyal', 'loyal')",1.0702319,1.0204281,0.107006,0.0529053,-0.0541007
29,-0.7457044,-0.8284112,"('unfair', 'fair')",-0.7297819,-0.8633555,-0.7377431,-0.8458834,-0.1081403
30,0.540487,0.48940143,"('intolerant', 'tolerant')",1.4439765,1.4906728,0.9922317,0.9900371,-0.0021946
