,global_male,global_female,tuple,payments_male,payments_female,inc_male,inc_female,average_male,average_female,female-male
0,0.4728508,0.47480887,"('unsociable', 'sociable')",1.4650434,1.3839108,-0.2988529,-0.34337193,0.5463471,0.5051159,-0.0412312
1,0.18808225,0.09503078,"('unfriendly', 'friendly')",0.7030121,0.6014185,1.9267282,1.841936,0.9392742,0.8461285,-0.0931457
2,1.0391306,1.138272,"('unlikable', 'likable')",0.7877096,0.84089375,0.4892692,0.5626181,0.7720365,0.8472613,0.0752248
3,-0.4279762,-0.34728,"('repellent', 'pleasant')",-0.11405016,-0.087705255,-0.010819584,0.0504698,-0.184282,-0.1281718,0.0561102
4,-0.17966613,-0.2846796,"('disliked', 'liked')",0.27090663,0.20720966,-6.3954277,-6.564065,-2.1013958,-2.2138449,-0.1124491
5,-0.2904043,-0.29323024,"('distant', 'outgoing')",0.4546129,0.43416232,0.065873206,-0.015007801,0.0766939,0.0419748,-0.0347191
6,-0.82080215,-0.82662773,"('distant', 'open')",-0.4628659,-0.45538506,0.6220069,0.5358135,-0.2205537,-0.2487331,-0.0281794
7,0.8801062,0.87061507,"('insensitive', 'sensitive')",0.4480129,0.4489526,0.48771676,0.5272005,0.6052786,0.6155894,0.0103108
8,-0.2786764,-0.3250602,"('unaffectionate', 'affectionate')",-0.49851993,-0.48485005,0.93623793,0.8637095,0.0530139,0.0179331,-0.0350808
9,0.73336416,0.69276696,"('unaffectionate', 'caring')",0.9701336,0.9385801,1.1787912,1.1770651,0.960763,0.9361374,-0.0246256
10,0.3207257,0.3758954,"('unsympathetic', 'sympathetic')",-0.2326656,-0.18842563,-0.6321974,-0.5360451,-0.1813791,-0.1161918,0.0651873
11,0.83997786,0.9245422,"('unhelpful', 'helpful')",0.81660825,0.83627945,1.5589175,1.6832916,1.0718346,1.1480378,0.0762032
12,2.293382,2.4352005,"('unsupportive', 'supportive')",0.8714359,0.9411661,-1.9218379,-1.8996476,0.4143266,0.4922397,0.0779131
13,0.93215513,1.0068969,"('impolite', 'polite')",0.9245646,0.9895826,-0.40991735,-0.3499717,0.4822675,0.5488359,0.0665684
14,0.8185319,0.85252845,"('antisocial', 'social')",2.2323651,2.2346184,-0.6109631,-0.61205125,0.8133113,0.8250318,0.0117205
15,0.07603966,-0.033077724,"('boring', 'funny')",0.30187836,0.2699933,0.5939252,0.50175595,0.3239477,0.2462238,-0.0777239
16,-1.3446035,-1.4215158,"('unpopular', 'popular')",-1.614538,-1.6576809,0.18788809,0.13619623,-0.9237511,-0.9810002,-0.0572491
17,-1.0675163,-0.9736187,"('nasty', 'nice')",0.008193977,0.103001125,-0.23900995,-0.194922,-0.4327774,-0.3551799,0.0775975
18,0.6509903,0.70248985,"('disagreeable', 'welcoming')",0.064308584,0.08891979,-0.15104522,-0.19997524,0.1880846,0.1971448,0.0090602
19,-0.46829036,-0.46846685,"('inhospitable', 'hospitable')",-1.2480878,-1.2370816,-0.005023364,0.017845634,-0.5738005,-0.5625676,0.0112329
20,0.43105078,0.47956008,"('rough', 'thoughtful')",0.03887873,0.03330867,0.9490977,0.94623834,0.4730091,0.4863691,0.01336
21,0.64535475,0.68756574,"('immoral', 'moral')",0.7225247,0.7033467,-0.8414519,-0.74677837,0.1754758,0.2147114,0.0392356
22,0.71382123,0.70850825,"('untrustworthy', 'trustworthy')",-0.31470165,-0.3277178,-0.7446199,-0.7413793,-0.1151668,-0.1201963,-0.0050295
23,0.925001,0.97481084,"('insincere', 'sincere')",1.3634912,1.3235707,5.6319003,5.679801,2.6401308,2.6593943,0.0192635
24,1.026987,1.004189,"('dishonest', 'honest')",0.044999883,0.023162171,0.7600658,0.7525058,0.6106842,0.5932856,-0.0173986
25,-0.17318635,-0.23068169,"('egoistic', 'altruistic')",0.56684244,0.5172136,1.8702286,1.8067684,0.7546283,0.6977668,-0.0568615
26,0.569922,0.525277,"('hardhearted', 'benevolent')",1.576482,1.5492299,1.9406021,1.9249494,1.3623354,1.3331521,-0.0291833
27,-0.15560101,-0.09718442,"('hardhearted', 'softhearted')",0.035622444,0.028461143,1.5339612,1.4304425,0.4713275,0.4539064,-0.0174211
28,0.55079514,0.42673188,"('disloyal', 'loyal')",0.48000473,0.36494318,1.0307451,0.97844326,0.6871816,0.5900395,-0.0971421
29,0.6744467,0.64249605,"('unfair', 'fair')",-0.7617852,-0.80301714,-0.3450489,-0.48083967,-0.1441291,-0.2137869,-0.0696578
