,lymphocyte_male,lymphocyte_female,tuple,average_male,average_female,female-male
0,-1.367341,-1.5300317,"('unsociable', 'sociable')",-1.367341,-1.5300317,-0.1626907
1,0.17954832,-0.010831334,"('unfriendly', 'friendly')",0.1795483,-0.0108313,-0.1903796
2,0.13780689,0.15697844,"('unlikable', 'likable')",0.1378069,0.1569784,0.0191715
3,-2.4311137,-2.24361,"('repellent', 'pleasant')",-2.4311137,-2.2436099,0.1875038
4,-0.0447092,0.0058834907,"('disliked', 'liked')",-0.0447092,0.0058835,0.0505927
5,1.0485388,0.9979603,"('distant', 'outgoing')",1.0485388,0.9979603,-0.0505785
6,1.4749863,1.3962014,"('distant', 'open')",1.4749863,1.3962014,-0.0787849
7,-1.9566557,-1.8549523,"('insensitive', 'sensitive')",-1.9566557,-1.8549523,0.1017034
8,0.7950304,0.6061696,"('unaffectionate', 'affectionate')",0.7950304,0.6061696,-0.1888608
9,0.4650955,0.2774831,"('unaffectionate', 'caring')",0.4650955,0.2774831,-0.1876124
10,-3.390134,-3.4940217,"('unsympathetic', 'sympathetic')",-3.3901341,-3.4940217,-0.1038876
11,-1.0725706,-1.0533949,"('unhelpful', 'helpful')",-1.0725706,-1.0533949,0.0191757
12,0.15568578,0.11470164,"('unsupportive', 'supportive')",0.1556858,0.1147016,-0.0409842
13,-1.9236305,-2.0352123,"('impolite', 'polite')",-1.9236305,-2.0352123,-0.1115818
14,-1.4258556,-1.4040427,"('antisocial', 'social')",-1.4258556,-1.4040427,0.0218129
15,1.1869041,1.002218,"('boring', 'funny')",1.1869041,1.002218,-0.1846861
16,0.20158963,0.34304512,"('unpopular', 'popular')",0.2015896,0.3430451,0.1414555
17,-0.5834038,-0.47043225,"('nasty', 'nice')",-0.5834038,-0.4704323,0.1129715
18,-0.16923214,-0.15768915,"('disagreeable', 'welcoming')",-0.1692321,-0.1576892,0.0115429
19,-0.2921622,-0.24266079,"('inhospitable', 'hospitable')",-0.2921622,-0.2426608,0.0495014
20,-1.0030416,-0.875923,"('rough', 'thoughtful')",-1.0030416,-0.875923,0.1271186
21,-1.7735678,-1.6728277,"('immoral', 'moral')",-1.7735678,-1.6728277,0.1007401
22,-1.1428479,-1.1637099,"('untrustworthy', 'trustworthy')",-1.1428479,-1.1637099,-0.020862
23,-1.1409626,-1.1694534,"('insincere', 'sincere')",-1.1409626,-1.1694534,-0.0284908
