,nucor_male,nucor_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.673375,-0.9192931,"('unsociable', 'sociable')",-0.14042051,-0.41232732,-0.4068978,-0.6658102,-0.2589124
1,-1.5717582,-1.579268,"('unfriendly', 'friendly')",1.2141633,1.0542954,-0.1787974,-0.2624863,-0.0836889
2,0.42339444,0.32926857,"('unlikable', 'likable')",0.95526636,0.8921411,0.6893304,0.6107048,-0.0786256
3,-0.1338555,-0.073504984,"('repellent', 'pleasant')",0.94290245,0.8264763,0.4045235,0.3764856,-0.0280379
4,-0.5317869,-0.47171676,"('disliked', 'liked')",-6.471763,-6.525922,-3.501775,-3.4988194,0.0029556
5,-1.6751077,-1.610711,"('distant', 'outgoing')",-0.90691787,-0.68416494,-1.2910128,-1.1474379,0.1435749
6,-1.9746166,-1.9347637,"('distant', 'open')",-0.9143157,-0.7451979,-1.4444661,-1.3399808,0.1044853
7,-0.20663337,-0.14706878,"('insensitive', 'sensitive')",0.013306394,-0.019488152,-0.0966635,-0.0832785,0.013385
8,-1.2467834,-1.2680373,"('unaffectionate', 'affectionate')",0.5098905,0.46781456,-0.3684464,-0.4001114,-0.031665
9,-1.521376,-1.5886952,"('unaffectionate', 'caring')",0.8742193,0.9327182,-0.3235784,-0.3279885,-0.0044101
10,-0.47403133,-0.61252576,"('unsympathetic', 'sympathetic')",-0.4089762,-0.5175224,-0.4415038,-0.5650241,-0.1235203
11,-0.015899252,-0.14992368,"('unhelpful', 'helpful')",1.9426732,2.0599644,0.963387,0.9550204,-0.0083666
12,-0.7477776,-0.70199513,"('unsupportive', 'supportive')",-2.2510257,-2.1763513,-1.4994016,-1.4391732,0.0602284
13,-0.41866452,-0.58043313,"('impolite', 'polite')",-0.77339655,-0.74759895,-0.5960305,-0.664016,-0.0679855
14,0.8477024,0.76860976,"('antisocial', 'social')",0.18054336,-0.119276464,0.5141228,0.3246666,-0.1894562
15,0.29537034,0.19892362,"('boring', 'funny')",-0.015955431,0.00998015,0.1397075,0.1044519,-0.0352556
16,-0.53389084,-0.4506871,"('unpopular', 'popular')",0.54559237,0.4858135,0.0058508,0.0175632,0.0117124
17,-0.2526286,-0.23036003,"('nasty', 'nice')",-0.5834035,-0.50665766,-0.4180161,-0.3685088,0.0495073
