,united_male,united_female,tuple,parcel_male,parcel_female,service_male,service_female,inc_male,inc_female,average_male,average_female,female-male
0,1.2761132,1.3025365,"('unsociable', 'sociable')",-0.5153562,-0.5263775,0.6970157,0.69479954,-0.13212505,-0.26778555,0.3314119,0.3007932,-0.0306187
1,-1.2495273,-1.3841141,"('unfriendly', 'friendly')",1.1172514,0.96461195,-0.7927366,-0.91920984,2.031544,1.8553476,0.2766328,0.1291589,-0.1474739
2,0.24211133,0.1893793,"('unlikable', 'likable')",0.08308476,0.10221296,0.3613201,0.3458402,0.641371,0.7040209,0.3319718,0.3353633,0.0033915
3,0.38469958,0.5553181,"('repellent', 'pleasant')",-1.7164754,-1.6712028,-0.6043212,-0.43695152,0.07225431,0.20211273,-0.4659607,-0.3376809,0.1282798
4,-0.7414128,-0.89376825,"('disliked', 'liked')",0.88220483,0.8036599,-0.35447937,-0.36077353,-6.3439875,-6.3852863,-1.6394187,-1.7090421,-0.0696234
5,-0.4010914,-0.51637894,"('distant', 'outgoing')",1.0989809,1.0506388,-0.66637295,-0.7809878,0.032908306,-0.049268838,0.0161062,-0.0739992,-0.0901054
6,-0.68874913,-0.79930717,"('distant', 'open')",1.3086952,1.2322352,-0.7485008,-0.8587635,0.5848845,0.5130989,0.1140824,0.0218159,-0.0922665
7,0.8515302,0.8879785,"('insensitive', 'sensitive')",0.012274966,0.004172869,-0.0375508,0.05577247,0.81562096,0.81849796,0.4104688,0.4416054,0.0311366
8,-2.3276498,-2.3781555,"('unaffectionate', 'affectionate')",1.0623281,1.0144851,-1.1426111,-1.2425548,0.63263327,0.5256579,-0.4438249,-0.5201418,-0.0763169
9,-0.49843153,-0.5274163,"('unaffectionate', 'caring')",1.2723505,1.2061486,-0.24440816,-0.31876785,1.3766451,1.3170626,0.476539,0.4192568,-0.0572822
10,1.6422702,1.7810596,"('unsympathetic', 'sympathetic')",-1.3686378,-1.3514977,-0.1796682,-0.07687079,0.038243636,0.018921033,0.033052,0.092903,0.059851
