,deere_male,deere_female,tuple,&_male,&_female,co_male,co_female,average_male,average_female,female-male
0,-0.13147384,-0.35635886,"('unsociable', 'sociable')",0.7211466,0.72383136,0.114111915,0.03246612,0.2345949,0.1333129,-0.101282
1,-0.4643846,-0.4523963,"('unfriendly', 'friendly')",0.86170954,0.65309185,1.2390372,0.90017986,0.545454,0.3669585,-0.1784955
2,0.14027688,0.22523002,"('unlikable', 'likable')",1.4267275,1.5190868,0.7681197,0.88859814,0.7783747,0.8776383,0.0992636
3,-0.7985353,-0.74305916,"('repellent', 'pleasant')",-0.7500938,-0.703579,0.23213466,0.32682356,-0.4388314,-0.3732715,0.0655599
4,0.79969794,0.77630955,"('disliked', 'liked')",-0.17352726,-0.39530244,-5.229445,-4.9260054,-1.5344248,-1.5149994,0.0194254
5,0.55156124,0.5973966,"('distant', 'outgoing')",0.3658648,0.26095206,0.47964326,0.4144594,0.4656898,0.4242694,-0.0414204
6,0.7500065,0.81938946,"('distant', 'open')",0.42152125,0.29904243,0.31576002,0.18005086,0.4957626,0.4328276,-0.062935
7,-0.35520914,-0.33022764,"('insensitive', 'sensitive')",-0.23015934,-0.1602996,-0.55998427,-0.5379642,-0.3817843,-0.3428305,0.0389538
8,0.09522532,0.10132123,"('unaffectionate', 'affectionate')",0.6859264,0.61040485,0.82628006,0.49515992,0.5358106,0.4022954,-0.1335152
9,-0.31333873,-0.28492445,"('unaffectionate', 'caring')",0.5912955,0.46429154,0.9733916,0.70694524,0.4171161,0.2954375,-0.1216786
10,-0.4530691,-0.52189314,"('unsympathetic', 'sympathetic')",0.3065912,0.3103725,0.0056404695,-0.039415963,-0.0469458,-0.0836455,-0.0366997
11,-0.96681106,-1.10246,"('unhelpful', 'helpful')",-0.74703914,-0.8207826,1.3793511,1.2320614,-0.1114997,-0.2303937,-0.118894
12,-0.23101975,-0.20104393,"('unsupportive', 'supportive')",0.6140825,0.7192335,-1.7359515,-1.6106464,-0.4509629,-0.3641523,0.0868106
13,-0.6265765,-0.75213516,"('impolite', 'polite')",-0.2095047,-0.0698075,-0.186688,-0.079376586,-0.3409231,-0.3004398,0.0404833
14,-0.15052605,-0.31001157,"('antisocial', 'social')",1.1404258,1.2135847,-0.3923904,-0.38047898,0.1991698,0.1743647,-0.0248051
15,0.6584045,0.6613275,"('boring', 'funny')",0.6949109,0.6466993,0.2906199,0.32497352,0.5479784,0.5443335,-0.0036449
16,0.06912331,0.17181318,"('unpopular', 'popular')",0.14175898,0.33917448,0.38565788,0.47199118,0.1988467,0.3276596,0.1288129
17,-0.13457097,-0.09732066,"('nasty', 'nice')",0.23845474,0.36078066,-0.059544362,0.042556196,0.0147798,0.1020054,0.0872256
18,-0.48997173,-0.4167408,"('disagreeable', 'welcoming')",0.3042739,0.5262268,-1.1698861,-1.2532611,-0.4518613,-0.3812584,0.0706029
19,0.41533595,0.52125967,"('inhospitable', 'hospitable')",-0.82891345,-0.80245626,0.15938017,0.086147,-0.0847324,-0.0650165,0.0197159
20,0.081103295,0.055577748,"('rough', 'thoughtful')",0.33138356,0.52574784,-0.50596607,-0.44383606,-0.0311597,0.0458298,0.0769895
21,-0.6887891,-0.71200705,"('immoral', 'moral')",-0.44380498,-0.23186243,-1.6811911,-1.5633878,-0.9379284,-0.8357524,0.102176
22,-0.48590013,-0.66435033,"('untrustworthy', 'trustworthy')",-0.47817445,-0.63361585,-1.5664084,-1.5718125,-0.8434943,-0.9565929,-0.1130986
23,-1.2743305,-1.3873962,"('insincere', 'sincere')",-0.16000178,-0.08879516,3.702817,3.3189015,0.7561615,0.6142367,-0.1419248
24,-0.68238246,-0.7488621,"('dishonest', 'honest')",0.20633757,0.26383844,-0.1825477,-0.2335664,-0.2195309,-0.23953,-0.0199991
25,0.06407738,0.25103638,"('egoistic', 'altruistic')",0.2674187,0.47163853,1.0085577,1.0325234,0.4466846,0.5850661,0.1383815
26,0.5172388,0.45450425,"('hardhearted', 'benevolent')",3.240336,3.0314941,1.7386553,1.5404013,1.8320767,1.6754665,-0.1566102
27,-1.0556946,-0.9578225,"('hardhearted', 'softhearted')",-0.5534109,-0.4244805,0.07323788,-0.008786175,-0.5119559,-0.4636964,0.0482595
28,0.23478243,0.11646464,"('disloyal', 'loyal')",0.29336593,0.13005249,0.17001191,-0.08715696,0.2327201,0.0531201,-0.1796
29,0.27063316,0.30740446,"('unfair', 'fair')",-0.38314,-0.34031183,-0.87333614,-0.89459825,-0.3286143,-0.3091685,0.0194458
30,-0.53182423,-0.6325281,"('intolerant', 'tolerant')",-0.051338755,0.018598646,-0.6839023,-0.49532694,-0.4223551,-0.3697522,0.0526029
31,-0.10302366,0.010934077,"('evil', 'good')",-0.16155748,-0.2689076,-0.19993472,-0.26176915,-0.1548386,-0.1732476,-0.018409
32,-0.10047579,-0.17959982,"('unkind', 'kind')",0.35653093,0.34408772,-0.13244218,-0.2952017,0.0412043,-0.0435713,-0.0847756
33,1.223792,1.319288,"('wrong', 'right')",0.5763239,0.70473886,-0.43061063,-0.34151065,0.4565017,0.5608387,0.104337
