,broadridge_male,broadridge_female,tuple,financial_male,financial_female,solutns_male,solutns_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.7653807,-0.9090317,"('unsociable', 'sociable')",1.225299,0.9748495,-0.12180227,-0.13820563,-0.24633428,-0.40815702,0.0229454,-0.1201362,-0.1430816
1,-2.4910233,-2.4562643,"('unfriendly', 'friendly')",0.35565862,0.17459746,-2.0804074,-2.037786,1.7803749,1.6032245,-0.6088493,-0.6790571,-0.0702078
2,0.074670985,0.12987688,"('unlikable', 'likable')",2.2568748,2.2910082,1.0109627,1.091222,0.7094371,0.9022951,1.0129864,1.1036005,0.0906141
3,0.31443864,0.40704522,"('repellent', 'pleasant')",0.039324917,0.03681118,-0.27368912,-0.21882735,0.17650749,0.24239811,0.0641455,0.1168568,0.0527113
4,-0.28035977,-0.25439972,"('disliked', 'liked')",-1.0900491,-1.0134706,-0.78251195,-0.7330976,-5.414321,-5.3752193,-1.8918104,-1.8440468,0.0477636
5,-0.85883224,-0.79183346,"('distant', 'outgoing')",-0.4972617,-0.3983018,-1.5597335,-1.4627308,-0.2888252,-0.24924414,-0.8011631,-0.7255275,0.0756356
6,-1.0378952,-0.8939561,"('distant', 'open')",-1.2512296,-1.139704,-2.2362194,-2.1366947,0.28442618,0.2706654,-1.0602295,-0.9749224,0.0853071
7,0.1464973,0.14236687,"('insensitive', 'sensitive')",0.8794314,0.8966191,0.31165433,0.39874136,0.5830652,0.61152864,0.4801621,0.512314,0.0321519
8,-1.4993731,-1.4628938,"('unaffectionate', 'affectionate')",-0.4186017,-0.4664166,-2.8528452,-2.8144388,0.35330078,0.2484051,-1.1043798,-1.123836,-0.0194562
9,-1.2393588,-1.1986074,"('unaffectionate', 'caring')",1.0163956,0.9240869,-2.4041278,-2.3354836,0.97407746,0.8982242,-0.4132534,-0.427945,-0.0146916
10,-0.03176473,-0.022322204,"('unsympathetic', 'sympathetic')",0.25065207,0.21867296,-0.64933723,-0.57920176,0.09384391,0.0074757403,-0.0841515,-0.0938438,-0.0096923
11,-0.065889925,-0.08448639,"('unhelpful', 'helpful')",1.2194595,1.1406845,-0.15635589,-0.1364991,1.9727166,2.0505362,0.7424825,0.7425588,7.63e-05
12,-0.023683898,0.066220604,"('unsupportive', 'supportive')",1.6264431,1.7367277,-1.3548156,-1.194765,-1.6833565,-1.5759052,-0.3588532,-0.2419305,0.1169227
13,0.52044463,0.4037093,"('impolite', 'polite')",1.7615446,1.680535,1.2822344,1.287871,-0.05717854,-0.058981504,0.8767613,0.8282834,-0.0484779
14,0.40534917,0.32116038,"('antisocial', 'social')",2.2722597,2.2182002,1.095369,1.1484854,-0.7785361,-0.7351149,0.7486104,0.7381828,-0.0104276
15,-0.86330044,-0.971723,"('boring', 'funny')",0.09800791,0.09749157,0.5333013,0.47861296,0.32732993,0.3492914,0.0238347,-0.0115818,-0.0354165
16,-0.592506,-0.5315207,"('unpopular', 'popular')",-1.2486058,-1.1879592,-1.0496391,-1.0169848,0.42147923,0.42167282,-0.6173179,-0.578698,0.0386199
17,-0.08843773,-0.063897304,"('nasty', 'nice')",-0.39655823,-0.29005304,0.4244105,0.5039238,-0.5934843,-0.52757925,-0.1635174,-0.0944015,0.0691159
18,-0.35700065,-0.30265415,"('disagreeable', 'welcoming')",-0.45339656,-0.3972696,-0.6720058,-0.58165884,-0.33927792,-0.30572155,-0.4554203,-0.396826,0.0585943
19,-0.37869212,-0.28532234,"('inhospitable', 'hospitable')",-0.761177,-0.7377525,-1.4209739,-1.340634,-0.23558441,-0.15087496,-0.6991069,-0.628646,0.0704609
20,0.14459306,0.18802871,"('rough', 'thoughtful')",-0.016363043,-0.032769695,-0.2782672,-0.27902672,0.9433739,0.9083297,0.1983342,0.1961405,-0.0021937
21,0.5609766,0.52609503,"('immoral', 'moral')",1.7851841,1.7657341,0.6753713,0.7140502,-0.82197416,-0.7933124,0.5498894,0.5531418,0.0032524
22,0.8139435,0.7969795,"('untrustworthy', 'trustworthy')",0.48050135,0.38473368,0.6967956,0.7489993,-0.83141065,-0.78664744,0.2899574,0.2860163,-0.0039411
23,0.08001262,0.04559929,"('insincere', 'sincere')",1.9404328,1.7321012,-0.395773,-0.37824354,5.1067863,4.9598083,1.6828647,1.5898163,-0.0930484
24,-0.037883237,-0.06815082,"('dishonest', 'honest')",0.8638112,0.8372265,-0.48629117,-0.4522993,0.72576946,0.698933,0.2663516,0.2539274,-0.0124242
25,-0.99163574,-1.0086576,"('egoistic', 'altruistic')",-0.89036125,-0.89337885,-0.46748793,-0.4570777,1.3472096,1.2295196,-0.2505688,-0.2823986,-0.0318298
26,-1.460191,-1.496429,"('hardhearted', 'benevolent')",0.6702012,0.6164292,0.18727621,0.18766586,1.6361506,1.5184169,0.2583593,0.2065208,-0.0518385
27,-0.9650846,-0.90605193,"('hardhearted', 'softhearted')",-1.027824,-0.98482925,-0.4056157,-0.3734518,1.1837174,1.072458,-0.3037017,-0.2979687,0.005733
