,society_male,society_female,tuple,average_male,average_female,female-male
0,0.801576,0.52595466,"('unsociable', 'sociable')",0.801576,0.5259547,-0.2756213
1,1.3651811,1.2834836,"('unfriendly', 'friendly')",1.3651811,1.2834836,-0.0816975
2,0.35088515,0.4751722,"('unlikable', 'likable')",0.3508852,0.4751722,0.124287
3,0.24376826,0.25691003,"('repellent', 'pleasant')",0.2437683,0.25691,0.0131417
4,-6.333882,-6.588534,"('disliked', 'liked')",-6.3338819,-6.5885339,-0.254652
5,-0.7160974,-0.47460762,"('distant', 'outgoing')",-0.7160974,-0.4746076,0.2414898
6,-0.2796512,-0.07482953,"('distant', 'open')",-0.2796512,-0.0748295,0.2048217
7,0.89712745,0.8275601,"('insensitive', 'sensitive')",0.8971274,0.8275601,-0.0695673
8,0.9409281,0.9856009,"('unaffectionate', 'affectionate')",0.9409281,0.9856009,0.0446728
9,1.7274635,1.8120633,"('unaffectionate', 'caring')",1.7274635,1.8120633,0.0845998
10,0.40893805,0.4251666,"('unsympathetic', 'sympathetic')",0.4089381,0.4251666,0.0162285
11,2.302903,2.3532252,"('unhelpful', 'helpful')",2.3029029,2.3532252,0.0503223
12,-1.4365414,-1.5041537,"('unsupportive', 'supportive')",-1.4365414,-1.5041537,-0.0676123
13,0.21007212,0.120874904,"('impolite', 'polite')",0.2100721,0.1208749,-0.0891972
14,0.83328694,0.63925505,"('antisocial', 'social')",0.8332869,0.639255,-0.1940319
15,0.6075526,0.5548398,"('boring', 'funny')",0.6075526,0.5548398,-0.0527128
16,0.22295344,0.109654576,"('unpopular', 'popular')",0.2229534,0.1096546,-0.1132988
17,-0.21130422,-0.14324588,"('nasty', 'nice')",-0.2113042,-0.1432459,0.0680583
18,-0.7242204,-0.74484044,"('disagreeable', 'welcoming')",-0.7242204,-0.7448404,-0.02062
19,-0.5588757,-0.43966085,"('inhospitable', 'hospitable')",-0.5588757,-0.4396608,0.1192149
20,1.0760356,0.96672046,"('rough', 'thoughtful')",1.0760356,0.9667205,-0.1093151
21,0.2542437,0.21525279,"('immoral', 'moral')",0.2542437,0.2152528,-0.0389909
22,-0.21756701,-0.25962043,"('untrustworthy', 'trustworthy')",-0.217567,-0.2596204,-0.0420534
23,6.1664114,6.253947,"('insincere', 'sincere')",6.1664114,6.2539468,0.0875354
24,1.01747,1.0536454,"('dishonest', 'honest')",1.01747,1.0536454,0.0361754
25,0.5735757,0.51591647,"('egoistic', 'altruistic')",0.5735757,0.5159165,-0.0576592
26,2.0882351,1.8400731,"('hardhearted', 'benevolent')",2.0882351,1.8400731,-0.248162
27,1.3795669,1.306282,"('hardhearted', 'softhearted')",1.3795669,1.306282,-0.0732849
28,1.1877087,1.1881113,"('disloyal', 'loyal')",1.1877087,1.1881113,0.0004026
29,-0.8113696,-0.92750406,"('unfair', 'fair')",-0.8113696,-0.9275041,-0.1161345
30,1.092463,1.0157828,"('intolerant', 'tolerant')",1.092463,1.0157828,-0.0766802
31,-1.5474606,-1.6041228,"('evil', 'good')",-1.5474606,-1.6041228,-0.0566622
32,1.3061488,1.2084602,"('unkind', 'kind')",1.3061488,1.2084602,-0.0976886
33,-0.29284096,-0.3016309,"('wrong', 'right')",-0.292841,-0.3016309,-0.0087899
34,5.3911695,5.626316,"('mean', 'honorable')",5.3911695,5.6263161,0.2351466
35,-1.006089,-1.0888699,"('corrupt', 'incorrupt')",-1.006089,-1.0888699,-0.0827809
36,-0.6377248,-0.69699013,"('hostile', 'amicable')",-0.6377248,-0.6969901,-0.0592653
37,0.2731492,0.3398083,"('fake', 'genuine')",0.2731492,0.3398083,0.0666591
38,0.15621871,0.21196243,"('untruthful', 'truthful')",0.1562187,0.2119624,0.0557437
39,0.64606875,0.6509442,"('exploitative', 'cooperative')",0.6460688,0.6509442,0.0048754
40,-2.338317,-2.4679143,"('stingy', 'generous')",-2.3383169,-2.4679143,-0.1295974
41,0.40392813,0.34379318,"('unforgiving', 'forgiving')",0.4039281,0.3437932,-0.0601349
42,-2.5413945,-2.5493913,"('unreliable', 'reliable')",-2.5413945,-2.5493913,-0.0079968
43,1.4497849,1.514412,"('irresponsible', 'responsible')",1.4497849,1.514412,0.0646271
44,-1.2755178,-1.1646111,"('prejudiced', 'unprejudiced')",-1.2755178,-1.1646111,0.1109067
45,0.5330376,0.45908356,"('incompetent', 'competent')",0.5330376,0.4590836,-0.073954
46,-0.7195378,-0.844955,"('uncompetitive', 'competitive')",-0.7195378,-0.844955,-0.1254172
47,5.3598304,5.615688,"('stupid', 'smart')",5.3598304,5.6156878,0.2558574
48,1.0976981,0.9605268,"('unintelligent', 'intelligent')",1.0976981,0.9605268,-0.1371713
49,0.6128572,0.6752064,"('unable', 'able')",0.6128572,0.6752064,0.0623492
50,-0.6428069,-0.5911662,"('clumsy', 'skillful')",-0.6428069,-0.5911662,0.0516407
51,0.2687292,0.09735721,"('uneducated', 'educated')",0.2687292,0.0973572,-0.171372
52,-0.38596213,-0.50654685,"('irrational', 'rational')",-0.3859621,-0.5065469,-0.1205848
53,-0.26695833,-0.23818849,"('uncreative', 'creative')",-0.2669583,-0.2381885,0.0287698
54,0.8303072,0.9738787,"('incapable', 'capable')",0.8303072,0.9738787,0.1435715
55,0.74569476,0.65494114,"('incompetent', 'clever')",0.7456948,0.6549411,-0.0907537
56,1.3301951,1.2511615,"('impractical', 'practical')",1.3301951,1.2511615,-0.0790336
57,-2.6305242,-2.733302,"('unimaginative', 'imaginative')",-2.6305242,-2.7333021,-0.1027779
58,0.17650929,0.08263996,"('undiscriminating', 'discriminating')",0.1765093,0.08264,-0.0938693
59,-0.20035496,-0.15856844,"('foolish', 'wise')",-0.200355,-0.1585684,0.0417866
60,0.47268072,0.57377934,"('inefficient', 'efficient')",0.4726807,0.5737793,0.1010986
61,0.28866604,0.033019617,"('illogical', 'logical')",0.288666,0.0330196,-0.2556464
62,1.0375584,1.1228266,"('incompetent', 'brilliant')",1.0375584,1.1228266,0.0852682
63,0.57518196,0.5770815,"('unperceptive', 'insightful')",0.575182,0.5770815,0.0018995
64,-6.3014765,-6.468349,"('shy', 'confident')",-6.3014765,-6.468349,-0.1668725
65,0.18832746,0.16704355,"('insecure', 'secure')",0.1883275,0.1670436,-0.0212839
66,-0.05019827,-0.15959135,"('inactive', 'active')",-0.0501983,-0.1595913,-0.109393
67,-0.137142,-0.08219229,"('doubtful', 'determined')",-0.137142,-0.0821923,0.0549497
68,-0.74908096,-0.8075479,"('dependent', 'independent')",-0.749081,-0.8075479,-0.0584669
69,-0.8583705,-0.8854699,"('lazy', 'industrious')",-0.8583705,-0.8854699,-0.0270994
70,1.0689414,1.0029066,"('lethargic', 'energetic')",1.0689414,1.0029066,-0.0660348
71,0.97732496,0.98356247,"('diffident', 'self-confident')",0.977325,0.9835625,0.0062375
72,0.24514379,0.42119017,"('unambitious', 'ambitious')",0.2451438,0.4211902,0.1760464
73,-3.0814865,-3.145436,"('helpless', 'self-reliant')",-3.0814865,-3.145436,-0.0639495
74,0.191153,0.090897314,"('undedicated', 'dedicated')",0.191153,0.0908973,-0.1002557
75,-0.55627155,-0.48615614,"('meek', 'impulsive')",-0.5562716,-0.4861561,0.0701155
76,0.011860499,0.09528267,"('anxious', 'daring')",0.0118605,0.0952827,0.0834222
77,-0.86597484,-0.8702481,"('unmotivated', 'motivated')",-0.8659748,-0.8702481,-0.0042733
78,-0.41577783,-0.43153566,"('nonresilient', 'resilient')",-0.4157778,-0.4315357,-0.0157579
79,-0.6172228,-0.50144035,"('wavering', 'unwavering')",-0.6172228,-0.5014403,0.1157825
80,-0.17336732,-0.30423298,"('dominated', 'dominating')",-0.1733673,-0.304233,-0.1308657
81,-0.34042907,-0.33666536,"('submissive', 'aggressive')",-0.3404291,-0.3366654,0.0037637
82,6.266429,6.452137,"('poor', 'rich')",6.2664289,6.452137,0.1857081
83,-0.289416,-0.35393178,"('powerless', 'powerful')",-0.289416,-0.3539318,-0.0645158
84,-0.06412111,-0.09431483,"('inferior', 'superior')",-0.0641211,-0.0943148,-0.0301937
85,-0.35719398,-0.4326822,"('insignificant', 'prestigious')",-0.357194,-0.4326822,-0.0754882
86,0.7098876,0.4987926,"('uninfluential', 'influential')",0.7098876,0.4987926,-0.211095
87,0.39510345,0.3343818,"('unsuccessful', 'successful')",0.3951035,0.3343818,-0.0607217
88,0.3820973,0.19107117,"('low', 'eminent')",0.3820973,0.1910712,-0.1910261
