,wink_male,wink_female,tuple,average_male,average_female,female-male
0,0.26310095,0.14245932,"('unsociable', 'sociable')",0.263101,0.1424593,-0.1206417
1,1.2593125,1.1055915,"('unfriendly', 'friendly')",1.2593125,1.1055915,-0.153721
2,0.7924411,0.924139,"('unlikable', 'likable')",0.7924411,0.924139,0.1316979
3,1.1043893,1.1335834,"('repellent', 'pleasant')",1.1043893,1.1335834,0.0291941
4,-6.6824894,-6.649608,"('disliked', 'liked')",-6.6824894,-6.6496081,0.0328813
5,0.05880274,0.11617508,"('distant', 'outgoing')",0.0588027,0.1161751,0.0573724
6,0.1959544,0.24373896,"('distant', 'open')",0.1959544,0.243739,0.0477846
7,0.73787296,0.7860706,"('insensitive', 'sensitive')",0.737873,0.7860706,0.0481976
8,0.80500746,0.7638326,"('unaffectionate', 'affectionate')",0.8050075,0.7638326,-0.0411749
9,1.48951,1.5065671,"('unaffectionate', 'caring')",1.4895101,1.5065671,0.017057
10,1.2799264,1.3474107,"('unsympathetic', 'sympathetic')",1.2799264,1.3474107,0.0674843
11,2.1394796,2.1659606,"('unhelpful', 'helpful')",2.1394796,2.1659606,0.026481
12,-1.3618338,-1.3281488,"('unsupportive', 'supportive')",-1.3618338,-1.3281488,0.033685
13,0.694898,0.6602104,"('impolite', 'polite')",0.694898,0.6602104,-0.0346876
14,-0.20963249,-0.33543938,"('antisocial', 'social')",-0.2096325,-0.3354394,-0.1258069
15,0.5717503,0.47224507,"('boring', 'funny')",0.5717503,0.4722451,-0.0995052
16,-0.07330014,-0.04383347,"('unpopular', 'popular')",-0.0733001,-0.0438335,0.0294666
17,0.09171322,0.14288886,"('nasty', 'nice')",0.0917132,0.1428889,0.0511757
18,-0.38360286,-0.51429033,"('disagreeable', 'welcoming')",-0.3836029,-0.5142903,-0.1306874
19,-0.4539787,-0.3151927,"('inhospitable', 'hospitable')",-0.4539787,-0.3151927,0.138786
20,0.68043196,0.579003,"('rough', 'thoughtful')",0.680432,0.579003,-0.101429
21,0.30918846,0.40022543,"('immoral', 'moral')",0.3091885,0.4002254,0.0910369
22,0.019188356,0.014910573,"('untrustworthy', 'trustworthy')",0.0191884,0.0149106,-0.0042778
23,6.2272987,6.1540737,"('insincere', 'sincere')",6.2272987,6.1540737,-0.073225
24,1.832933,1.849769,"('dishonest', 'honest')",1.8329329,1.849769,0.0168361
25,0.5312058,0.38541675,"('egoistic', 'altruistic')",0.5312058,0.3854167,-0.1457891
26,0.059734404,-0.03484428,"('hardhearted', 'benevolent')",0.0597344,-0.0348443,-0.0945787
27,1.3643023,1.2167856,"('hardhearted', 'softhearted')",1.3643023,1.2167856,-0.1475167
28,1.0452675,1.0140798,"('disloyal', 'loyal')",1.0452675,1.0140798,-0.0311877
29,-0.677948,-0.7026638,"('unfair', 'fair')",-0.677948,-0.7026638,-0.0247158
30,0.8799393,0.8388881,"('intolerant', 'tolerant')",0.8799393,0.8388881,-0.0410512
31,-1.5570214,-1.5188342,"('evil', 'good')",-1.5570214,-1.5188342,0.0381872
32,1.283654,1.3330904,"('unkind', 'kind')",1.283654,1.3330904,0.0494364
33,-0.22223492,-0.19274828,"('wrong', 'right')",-0.2222349,-0.1927483,0.0294866
34,4.4517317,4.5780725,"('mean', 'honorable')",4.4517317,4.5780725,0.1263408
35,-1.2415537,-1.3144367,"('corrupt', 'incorrupt')",-1.2415537,-1.3144367,-0.072883
36,-0.90076244,-0.9196146,"('hostile', 'amicable')",-0.9007624,-0.9196146,-0.0188522
37,0.6260524,0.69855374,"('fake', 'genuine')",0.6260524,0.6985537,0.0725013
38,-0.042449016,1.1853874e-05,"('untruthful', 'truthful')",-0.042449,1.19e-05,0.0424609
39,0.1637056,0.14083071,"('exploitative', 'cooperative')",0.1637056,0.1408307,-0.0228749
40,-1.2861078,-1.4835255,"('stingy', 'generous')",-1.2861078,-1.4835255,-0.1974177
41,-0.07886182,-0.010271866,"('unforgiving', 'forgiving')",-0.0788618,-0.0102719,0.0685899
42,-1.6564667,-1.6526421,"('unreliable', 'reliable')",-1.6564667,-1.6526421,0.0038246
43,1.2980015,1.2863629,"('irresponsible', 'responsible')",1.2980015,1.2863629,-0.0116386
44,-1.108546,-1.1157897,"('prejudiced', 'unprejudiced')",-1.108546,-1.1157897,-0.0072437
45,0.41590333,0.4670706,"('incompetent', 'competent')",0.4159033,0.4670706,0.0511673
46,-0.13683453,-0.120801546,"('uncompetitive', 'competitive')",-0.1368345,-0.1208015,0.016033
47,5.173462,5.3640857,"('stupid', 'smart')",5.1734619,5.3640857,0.1906238
48,0.85442764,0.6952936,"('unintelligent', 'intelligent')",0.8544276,0.6952936,-0.159134
49,0.29644877,0.4586419,"('unable', 'able')",0.2964488,0.4586419,0.1621931
50,0.24362996,0.27217722,"('clumsy', 'skillful')",0.24363,0.2721772,0.0285472
51,0.5483278,0.5500271,"('uneducated', 'educated')",0.5483278,0.5500271,0.0016993
52,-0.5843537,-0.5774693,"('irrational', 'rational')",-0.5843537,-0.5774693,0.0068844
53,0.16553213,0.10785235,"('uncreative', 'creative')",0.1655321,0.1078523,-0.0576798
54,1.1011856,1.2924656,"('incapable', 'capable')",1.1011856,1.2924656,0.19128
55,0.90359086,0.7769357,"('incompetent', 'clever')",0.9035909,0.7769357,-0.1266552
56,0.9608566,0.92855597,"('impractical', 'practical')",0.9608566,0.928556,-0.0323006
57,-2.1369905,-2.0978851,"('unimaginative', 'imaginative')",-2.1369905,-2.0978851,0.0391054
58,-0.23706786,-0.2564965,"('undiscriminating', 'discriminating')",-0.2370679,-0.2564965,-0.0194286
59,0.051263306,0.1815407,"('foolish', 'wise')",0.0512633,0.1815407,0.1302774
60,1.1034932,1.0691597,"('inefficient', 'efficient')",1.1034932,1.0691597,-0.0343335
61,0.15095279,-0.025183477,"('illogical', 'logical')",0.1509528,-0.0251835,-0.1761363
62,1.5315875,1.5733902,"('incompetent', 'brilliant')",1.5315875,1.5733902,0.0418027
63,0.7993674,0.8194078,"('unperceptive', 'insightful')",0.7993674,0.8194078,0.0200404
64,-5.436657,-5.3511577,"('shy', 'confident')",-5.436657,-5.3511577,0.0854993
65,0.9582331,0.8754985,"('insecure', 'secure')",0.9582331,0.8754985,-0.0827346
66,-0.14806306,-0.08679679,"('inactive', 'active')",-0.1480631,-0.0867968,0.0612663
67,-0.7359342,-0.57573783,"('doubtful', 'determined')",-0.7359342,-0.5757378,0.1601964
68,-0.19784535,-0.21762303,"('dependent', 'independent')",-0.1978454,-0.217623,-0.0197776
69,-1.6194791,-1.5631453,"('lazy', 'industrious')",-1.6194791,-1.5631453,0.0563338
70,1.6485023,1.6582155,"('lethargic', 'energetic')",1.6485023,1.6582155,0.0097132
71,0.61490387,0.65615857,"('diffident', 'self-confident')",0.6149039,0.6561586,0.0412547
72,0.8628804,0.93435824,"('unambitious', 'ambitious')",0.8628804,0.9343582,0.0714778
73,-2.8098037,-2.8341727,"('helpless', 'self-reliant')",-2.8098037,-2.8341727,-0.024369
74,0.029831087,-0.05619038,"('undedicated', 'dedicated')",0.0298311,-0.0561904,-0.0860215
75,-0.6373898,-0.42854738,"('meek', 'impulsive')",-0.6373898,-0.4285474,0.2088424
76,0.8441558,0.7703749,"('anxious', 'daring')",0.8441558,0.7703749,-0.0737809
77,-0.9119272,-0.8595954,"('unmotivated', 'motivated')",-0.9119272,-0.8595954,0.0523318
78,-0.43757728,-0.50059754,"('nonresilient', 'resilient')",-0.4375773,-0.5005975,-0.0630202
79,-0.27877527,-0.15834269,"('wavering', 'unwavering')",-0.2787753,-0.1583427,0.1204326
80,-0.18068664,-0.15369262,"('dominated', 'dominating')",-0.1806866,-0.1536926,0.026994
81,0.384637,0.41722235,"('submissive', 'aggressive')",0.384637,0.4172224,0.0325854
82,6.735,6.826174,"('poor', 'rich')",6.7350001,6.8261738,0.0911737
83,-0.46071732,-0.37578484,"('powerless', 'powerful')",-0.4607173,-0.3757848,0.0849325
84,-0.03669484,0.053449746,"('inferior', 'superior')",-0.0366948,0.0534497,0.0901445
85,-1.295104,-1.3442054,"('insignificant', 'prestigious')",-1.295104,-1.3442054,-0.0491014
86,0.4082114,0.49921075,"('uninfluential', 'influential')",0.4082114,0.4992107,0.0909993
87,-0.030850843,0.07714719,"('unsuccessful', 'successful')",-0.0308508,0.0771472,0.107998
88,0.14672266,0.22406676,"('low', 'eminent')",0.1467227,0.2240668,0.0773441
