,housing_male,housing_female,tuple,average_male,average_female,female-male
0,0.038283296,-0.07237975,"('unsociable', 'sociable')",0.0382833,-0.0723798,-0.1106631
1,2.2344637,2.2350326,"('unfriendly', 'friendly')",2.2344637,2.2350326,0.0005689
2,0.34118247,0.51304656,"('unlikable', 'likable')",0.3411825,0.5130466,0.1718641
3,0.17153834,0.34908447,"('repellent', 'pleasant')",0.1715383,0.3490845,0.1775462
4,-6.4338818,-6.557982,"('disliked', 'liked')",-6.4338818,-6.557982,-0.1241002
5,0.6824224,0.7106304,"('distant', 'outgoing')",0.6824224,0.7106304,0.028208
6,0.9230604,0.9319845,"('distant', 'open')",0.9230604,0.9319845,0.0089241
7,0.64798224,0.6779436,"('insensitive', 'sensitive')",0.6479822,0.6779436,0.0299614
8,2.0893347,1.9993093,"('unaffectionate', 'affectionate')",2.0893347,1.9993093,-0.0900254
9,2.4341807,2.4939883,"('unaffectionate', 'caring')",2.4341807,2.4939883,0.0598076
10,-0.09630102,-0.07250388,"('unsympathetic', 'sympathetic')",-0.096301,-0.0725039,0.0237971
11,1.7243073,1.8523575,"('unhelpful', 'helpful')",1.7243073,1.8523575,0.1280502
12,-1.0786501,-0.9472688,"('unsupportive', 'supportive')",-1.0786501,-0.9472688,0.1313813
13,-0.60095286,-0.51324403,"('impolite', 'polite')",-0.6009529,-0.513244,0.0877089
14,-0.009592682,-0.016977858,"('antisocial', 'social')",-0.0095927,-0.0169779,-0.0073852
15,0.53759927,0.4030092,"('boring', 'funny')",0.5375993,0.4030092,-0.1345901
16,0.15869413,0.21652916,"('unpopular', 'popular')",0.1586941,0.2165292,0.0578351
17,0.5359564,0.6072738,"('nasty', 'nice')",0.5359564,0.6072738,0.0713174
18,-0.10060257,0.0604736,"('disagreeable', 'welcoming')",-0.1006026,0.0604736,0.1610762
19,0.24392565,0.31072813,"('inhospitable', 'hospitable')",0.2439256,0.3107281,0.0668025
20,0.3347692,0.1513405,"('rough', 'thoughtful')",0.3347692,0.1513405,-0.1834287
21,-0.960811,-0.7071253,"('immoral', 'moral')",-0.960811,-0.7071253,0.2536857
22,-1.2867153,-1.1206815,"('untrustworthy', 'trustworthy')",-1.2867153,-1.1206815,0.1660338
23,6.4702907,6.6428595,"('insincere', 'sincere')",6.4702907,6.6428595,0.1725688
24,1.2922714,1.3818307,"('dishonest', 'honest')",1.2922714,1.3818307,0.0895593
25,1.5186149,1.6321924,"('egoistic', 'altruistic')",1.5186149,1.6321924,0.1135775
26,1.8167448,1.5084689,"('hardhearted', 'benevolent')",1.8167448,1.5084689,-0.3082759
27,1.9918742,1.9325052,"('hardhearted', 'softhearted')",1.9918742,1.9325052,-0.059369
28,1.2390606,1.089841,"('disloyal', 'loyal')",1.2390606,1.089841,-0.1492196
29,-0.54989576,-0.7480395,"('unfair', 'fair')",-0.5498958,-0.7480395,-0.1981437
30,0.70750314,0.83152676,"('intolerant', 'tolerant')",0.7075031,0.8315268,0.1240237
31,-0.12860182,-0.12443735,"('evil', 'good')",-0.1286018,-0.1244373,0.0041645
32,1.1952736,1.0661944,"('unkind', 'kind')",1.1952736,1.0661944,-0.1290792
33,0.50191915,0.5111199,"('wrong', 'right')",0.5019192,0.5111199,0.0092007
34,4.9124694,5.2597404,"('mean', 'honorable')",4.9124694,5.2597404,0.347271
35,-0.20846799,-0.51511604,"('corrupt', 'incorrupt')",-0.208468,-0.515116,-0.306648
36,0.24447465,0.0769459,"('hostile', 'amicable')",0.2444746,0.0769459,-0.1675287
37,0.8534427,0.82699305,"('fake', 'genuine')",0.8534427,0.826993,-0.0264497
38,0.63569933,0.70742273,"('untruthful', 'truthful')",0.6356993,0.7074227,0.0717234
39,0.046143755,0.14853087,"('exploitative', 'cooperative')",0.0461438,0.1485309,0.1023871
40,-1.3775327,-1.4296563,"('stingy', 'generous')",-1.3775327,-1.4296563,-0.0521236
41,0.523172,0.43469417,"('unforgiving', 'forgiving')",0.523172,0.4346942,-0.0884778
42,-3.3651218,-3.2057745,"('unreliable', 'reliable')",-3.3651218,-3.2057745,0.1593473
43,0.80587876,0.89593816,"('irresponsible', 'responsible')",0.8058788,0.8959382,0.0900594
44,-1.5555423,-1.6299193,"('prejudiced', 'unprejudiced')",-1.5555423,-1.6299193,-0.074377
45,0.083158724,0.040131584,"('incompetent', 'competent')",0.0831587,0.0401316,-0.0430271
46,-1.7047336,-1.7501049,"('uncompetitive', 'competitive')",-1.7047336,-1.7501049,-0.0453713
47,5.5378613,5.671332,"('stupid', 'smart')",5.5378613,5.6713319,0.1334706
48,0.095635,0.06652904,"('unintelligent', 'intelligent')",0.095635,0.066529,-0.029106
49,-0.0015434213,0.14839798,"('unable', 'able')",-0.0015434,0.148398,0.1499414
50,-0.27361712,-0.22694787,"('clumsy', 'skillful')",-0.2736171,-0.2269479,0.0466692
51,-0.21502858,-0.13234451,"('uneducated', 'educated')",-0.2150286,-0.1323445,0.0826841
52,0.7071776,0.62729794,"('irrational', 'rational')",0.7071776,0.6272979,-0.0798797
53,0.43820485,0.3406451,"('uncreative', 'creative')",0.4382049,0.3406451,-0.0975598
54,1.1509408,1.2420962,"('incapable', 'capable')",1.1509408,1.2420962,0.0911554
55,-0.2277922,-0.035069667,"('incompetent', 'clever')",-0.2277922,-0.0350697,0.1927225
56,-0.074994914,0.0592646,"('impractical', 'practical')",-0.0749949,0.0592646,0.1342595
57,-2.544741,-2.8026657,"('unimaginative', 'imaginative')",-2.5447409,-2.8026657,-0.2579248
58,0.2054493,0.21816924,"('undiscriminating', 'discriminating')",0.2054493,0.2181692,0.0127199
59,0.99149954,1.0383984,"('foolish', 'wise')",0.9914995,1.0383984,0.0468989
60,-0.5935016,-0.30867147,"('inefficient', 'efficient')",-0.5935016,-0.3086715,0.2848301
61,0.2539161,0.09443748,"('illogical', 'logical')",0.2539161,0.0944375,-0.1594786
62,0.32880607,0.555782,"('incompetent', 'brilliant')",0.3288061,0.555782,0.2269759
63,0.20383087,0.39724284,"('unperceptive', 'insightful')",0.2038309,0.3972428,0.1934119
64,-7.315288,-7.165529,"('shy', 'confident')",-7.3152881,-7.1655288,0.1497593
65,-1.1757591,-0.95523614,"('insecure', 'secure')",-1.1757591,-0.9552361,0.220523
66,0.23001525,0.010807864,"('inactive', 'active')",0.2300152,0.0108079,-0.2192073
67,-0.4995991,-0.3997641,"('doubtful', 'determined')",-0.4995991,-0.3997641,0.099835
68,-1.3109051,-1.1330109,"('dependent', 'independent')",-1.3109051,-1.1330109,0.1778942
69,-0.9441065,-0.9746031,"('lazy', 'industrious')",-0.9441065,-0.9746031,-0.0304966
70,-0.147938,-0.086944796,"('lethargic', 'energetic')",-0.147938,-0.0869448,0.0609932
71,1.0959837,1.1108797,"('diffident', 'self-confident')",1.0959837,1.1108797,0.014896
72,0.765633,0.90678,"('unambitious', 'ambitious')",0.765633,0.90678,0.141147
73,-2.938479,-2.7324562,"('helpless', 'self-reliant')",-2.9384789,-2.7324562,0.2060227
74,0.0149804205,-0.029133268,"('undedicated', 'dedicated')",0.0149804,-0.0291333,-0.0441137
75,-1.0322851,-1.0571806,"('meek', 'impulsive')",-1.0322851,-1.0571806,-0.0248955
76,-0.6955862,-0.6806231,"('anxious', 'daring')",-0.6955862,-0.6806231,0.0149631
77,-1.8523011,-1.6080511,"('unmotivated', 'motivated')",-1.8523011,-1.6080511,0.24425
78,-0.26309162,-0.3697617,"('nonresilient', 'resilient')",-0.2630916,-0.3697617,-0.1066701
79,0.5399076,0.45364782,"('wavering', 'unwavering')",0.5399076,0.4536478,-0.0862598
80,-0.7754024,-0.84990436,"('dominated', 'dominating')",-0.7754024,-0.8499044,-0.074502
81,-1.4813892,-1.4028627,"('submissive', 'aggressive')",-1.4813892,-1.4028627,0.0785265
82,5.8958693,6.0749288,"('poor', 'rich')",5.8958693,6.0749288,0.1790595
83,-0.37945205,-0.28979245,"('powerless', 'powerful')",-0.379452,-0.2897924,0.0896596
84,-0.0680168,-0.023777839,"('inferior', 'superior')",-0.0680168,-0.0237778,0.044239
85,0.44262552,0.41055626,"('insignificant', 'prestigious')",0.4426255,0.4105563,-0.0320692
86,0.28072008,0.26177457,"('uninfluential', 'influential')",0.2807201,0.2617746,-0.0189455
87,0.45757955,0.48176768,"('unsuccessful', 'successful')",0.4575796,0.4817677,0.0241881
88,-0.18751836,-0.14557679,"('low', 'eminent')",-0.1875184,-0.1455768,0.0419416
