,align_male,align_female,tuple,technology_male,technology_female,inc_male,inc_female,average_male,average_female,female-male
0,1.2327037,1.2347537,"('unsociable', 'sociable')",0.22779709,0.16660391,-0.6239454,-0.79621315,0.2788518,0.2017148,-0.077137
1,-0.14522135,-0.11048547,"('unfriendly', 'friendly')",0.3136295,0.19508816,2.1798368,2.1262224,0.7827483,0.7369417,-0.0458066
2,0.45040137,0.47991103,"('unlikable', 'likable')",0.57637674,0.6997508,0.43071568,0.5013051,0.4858313,0.5603223,0.074491
3,0.29055837,0.39473912,"('repellent', 'pleasant')",0.20890015,0.35100818,0.0010908395,0.017819466,0.1668498,0.2545223,0.0876725
4,-2.4741545,-2.526431,"('disliked', 'liked')",-0.61237997,-0.6231642,-6.0586205,-6.1792545,-3.048385,-3.1096166,-0.0612316
5,-2.5124981,-2.6003006,"('distant', 'outgoing')",-1.0587575,-1.017923,0.07053268,0.111060224,-1.1669076,-1.1690545,-0.0021469
6,-2.5588996,-2.5935347,"('distant', 'open')",-1.0836985,-1.0468879,0.64387727,0.6892615,-0.9995736,-0.9837204,0.0158532
7,2.2826602,2.3184853,"('insensitive', 'sensitive')",0.66636646,0.7906488,0.97962487,0.99200535,1.3095504,1.3670465,0.0574961
8,-1.147731,-1.0738297,"('unaffectionate', 'affectionate')",-0.17034268,-0.16542692,1.4447436,1.4015174,0.0422233,0.0540869,0.0118636
9,-0.046427272,0.02310194,"('unaffectionate', 'caring')",0.09246542,0.105887264,1.5327469,1.5292672,0.5262617,0.5527521,0.0264904
10,2.4977617,2.6828003,"('unsympathetic', 'sympathetic')",-0.029961795,0.06263304,-0.6840233,-0.71234596,0.5945922,0.6776958,0.0831036
11,1.9933171,2.1153803,"('unhelpful', 'helpful')",1.1005653,1.1988153,1.5492013,1.6492091,1.5476945,1.6544682,0.1067737
12,2.2261055,2.3220162,"('unsupportive', 'supportive')",0.9756669,1.1388279,-1.4184197,-1.4893122,0.5944508,0.6571773,0.0627265
13,1.6569058,1.6095881,"('impolite', 'polite')",0.38437533,0.41455925,-0.62961316,-0.65431046,0.470556,0.4566123,-0.0139437
14,2.0943973,2.0475903,"('antisocial', 'social')",1.3669251,1.4548244,-0.8803021,-0.9337475,0.8603401,0.8562224,-0.0041177
