,locomotive_male,locomotive_female,tuple,average_male,average_female,female-male
0,-0.30443913,-0.37032527,"('unsociable', 'sociable')",-0.3044391,-0.3703253,-0.0658862
1,1.5594993,1.4388072,"('unfriendly', 'friendly')",1.5594993,1.4388072,-0.1206921
2,0.20104784,0.23168713,"('unlikable', 'likable')",0.2010478,0.2316871,0.0306393
3,-0.49312943,-0.39042184,"('repellent', 'pleasant')",-0.4931294,-0.3904218,0.1027076
4,-6.8593564,-6.9664006,"('disliked', 'liked')",-6.8593564,-6.9664006,-0.1070442
5,-0.20988971,-0.17254019,"('distant', 'outgoing')",-0.2098897,-0.1725402,0.0373495
6,0.45884183,0.45573932,"('distant', 'open')",0.4588418,0.4557393,-0.0031025
7,0.75469995,0.7356493,"('insensitive', 'sensitive')",0.7546999,0.7356493,-0.0190506
8,1.5578867,1.4379919,"('unaffectionate', 'affectionate')",1.5578867,1.4379919,-0.1198948
9,1.998208,1.8931115,"('unaffectionate', 'caring')",1.998208,1.8931115,-0.1050965
10,0.3365683,0.3322392,"('unsympathetic', 'sympathetic')",0.3365683,0.3322392,-0.0043291
11,1.5900259,1.5296327,"('unhelpful', 'helpful')",1.5900259,1.5296327,-0.0603932
12,-1.6121323,-1.6669779,"('unsupportive', 'supportive')",-1.6121323,-1.6669779,-0.0548456
13,-0.83731896,-0.81056446,"('impolite', 'polite')",-0.837319,-0.8105645,0.0267545
14,-0.41073656,-0.43092084,"('antisocial', 'social')",-0.4107366,-0.4309208,-0.0201842
15,0.842648,0.70859295,"('boring', 'funny')",0.842648,0.708593,-0.134055
16,-0.09204015,-0.1470972,"('unpopular', 'popular')",-0.0920402,-0.1470972,-0.055057
17,0.20955063,0.18799534,"('nasty', 'nice')",0.2095506,0.1879953,-0.0215553
18,-0.7290777,-0.72870034,"('disagreeable', 'welcoming')",-0.7290777,-0.7287003,0.0003774
19,-0.19535108,-0.19457631,"('inhospitable', 'hospitable')",-0.1953511,-0.1945763,0.0007748
20,0.010256559,0.047423206,"('rough', 'thoughtful')",0.0102566,0.0474232,0.0371666
21,-0.46550763,-0.43075302,"('immoral', 'moral')",-0.4655076,-0.430753,0.0347546
22,-0.9398928,-1.0031241,"('untrustworthy', 'trustworthy')",-0.9398928,-1.0031241,-0.0632313
